
Host: chem76fgv94lws

Timers On : Sat Jul 25 14:40:09 2026
Timers Off: Sat Jul 25 18:39:42 2026

Wall Time:    14373.49 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    223.917u      0.700s     91.719w    114 calls
build grid                          :    188.717u      0.283s     68.742w    114 calls
post-process grid                   :     35.083u      0.417s     22.949w    114 calls
DFH: sparsity prep                  :      7.333u      0.017s      7.644w     57 calls
Libint2ERI::Libint2ERI              :     45.350u      0.117s     30.520w   1026 calls
Libint2ErfERI::Libint2ErfERI        :     36.000u      0.283s     28.933w    285 calls
JK: (A|Q)^-1                        :    144.417u      8.650s    167.991w    114 calls
JK: (A|mn)                          :    199.883u     15.633s     99.884w    114 calls
JK: (Q|mn)                          :    154.083u     24.567s     96.484w    114 calls
JK: (Q|mn) Write                    :      1.917u      3.617s      3.719w     57 calls
JK: (A|mn)^L                        :    204.517u     13.733s    103.898w    114 calls
JK: (Q|mn)^L                        :    149.483u     22.650s     92.580w    114 calls
JK: (Q|mn)^L Write                  :      2.383u      3.417s      3.171w     57 calls
JK: (Q|mn)^R                        :    159.850u     10.500s     85.321w     57 calls
JK: (Q|mn)^R Write                  :      3.500u      5.750s      5.942w     57 calls
HF: Form core H                     :      3.483u      0.067s      2.429w     57 calls
HF: Form S/X                        :      3.650u      0.083s     10.459w     57 calls
HF: Guess                           :     29.667u      6.100s     30.963w     57 calls
SAD Guess                           :     29.283u      6.067s     30.682w     57 calls
HF: Form G                          :   8617.167u    673.117s   4579.819w   1643 calls
RV: Form V                          :  13093.067u      3.150s   4888.551w   3236 calls
Properties                          :   5709.132p                         7793979 calls
Functional                          :    980.062p                         7793979 calls
V_xc                                :   3127.064p                         7659066 calls
JK: D                               :    448.900u      0.117s     11.441w   3236 calls
JK: USO2AO                          :      0.117u      0.000s      0.031w   3236 calls
JK: JK                              :  16734.050u    947.283s   4177.391w   3236 calls
JK: (Q|mn) Read                     :    127.383u    198.350s    187.564w   3286 calls
JK: J                               :   4685.183u      1.350s    125.945w   4879 calls
JK: J1                              :   2556.083u      0.617s     63.898w   4879 calls
JK: J2                              :   2107.867u      0.600s     60.743w   4879 calls
JK: K                               :   6724.217u    198.050s   1320.344w   4879 calls
JK: K1                              :   6190.433u    128.283s    988.502w   4879 calls
JK: K2                              :    529.350u     69.700s    331.582w   4879 calls
JK: (Q|mn)^L Read                   :     97.450u    152.750s    138.253w   4986 calls
JK: (Q|mn)^R Read                   :     89.933u    151.633s    139.224w   4986 calls
JK: wK                              :   4114.600u    164.833s   2137.236w   8172 calls
JK: wK1                             :   3547.083u     82.100s   1753.473w  16344 calls
JK: wK2                             :    561.650u     82.617s    383.164w   8172 calls
JK: AO2USO                          :      0.017u      0.017s      0.006w   3236 calls
HF: Form F                          :      2.183u      0.067s      5.805w   1643 calls
HF: Form D                          :      1.333u      0.100s      2.783w   1643 calls
HF: DIIS                            :     63.950u      4.117s     99.257w   1586 calls
HF: Form C                          :     82.900u      2.083s    211.067w   1586 calls
JK: (A|Q)^-1/2                      :     69.283u      1.733s     79.396w     57 calls
JK: (A|mn)^R                        :    141.517u      0.017s     69.336w     57 calls
Grad: V T Perturb                   :     59.800u      0.033s      3.858w     57 calls
Grad: S                             :      4.233u      0.000s      1.124w     57 calls
Grad: JK                            :   1469.450u     65.767s    845.000w     57 calls
JKGrad: Amn                         :    184.417u     19.200s    104.506w     57 calls
JKGrad: Awmn                        :    200.533u     19.033s    121.379w     57 calls
JKGrad: AB                          :     90.300u      5.850s    103.334w     57 calls
JKGrad: UV                          :     19.017u      3.300s     11.994w     57 calls
JKGrad: ABx                         :      9.967u      0.367s      4.544w     57 calls
JKGrad: Amnx                        :    963.483u     17.517s    498.562w     57 calls
Grad: XC                            :    325.433u      0.067s    158.673w     57 calls
V_xc gradient                       :    100.812p                         134913 calls

--------------------------------------------------------------------------------------
V: Grid                             :    223.917u      0.700s     91.719w    114 calls
| build grid                        :    188.717u      0.283s     68.742w    114 calls
| post-process grid                 :     35.083u      0.417s     22.949w    114 calls
DFH: sparsity prep                  :      7.333u      0.017s      7.644w     57 calls
| Libint2ERI::Libint2ERI            :      4.750u      0.000s      4.864w     57 calls
Libint2ERI::Libint2ERI              :     18.900u      0.017s     17.240w    342 calls
Libint2ErfERI::Libint2ErfERI        :     10.967u      0.000s     10.839w    114 calls
