theta,phi,E_opt_ortho,E_opt_meta,E_opt_para,g_norm_ortho,g_norm_meta,g_norm_para
0.0,0.0,-3010.3527440411176,-3010.3598767636304,-3010.356225149885,0.0006975863960960962,0.0011028545987346922,0.0009199243212608679
9.0,0.0,-3010.35334116479,-3010.3573250123577,-3010.351708762913,0.000600035796917247,0.0016855079775947453,0.0019878176452684873
9.0,18.0,-3010.3527424655954,-3010.356485827856,-3010.351895048139,0.0015479240675167214,0.0013996757230244196,0.0007872910663002559
9.0,36.0,-3010.352032716864,-3010.3557945463017,-3010.3524837372993,0.001776598093168933,0.0017050786243648015,0.00012788225350928776
9.0,54.0,-3010.3512817488963,-3010.355388683712,-3010.353387070592,0.0016257881620612637,0.001702357755989474,0.0002551058136913538
9.0,72.0,-3010.350572110188,-3010.355355440137,-3010.354438128456,0.0019003632841269045,0.001751688935153517,0.00018347187485286346
9.0,90.0,-3010.350016180499,-3010.3556623514055,-3010.355489472329,0.001981888872598587,0.0016243399079165436,0.00010369532924648739
9.0,108.0,-3010.3496893739016,-3010.3562775179244,-3010.3564233423795,0.002080747597304672,0.0011802742935686317,3.854553659245377e-05
9.0,126.0,-3010.349624481122,-3010.357065662672,-3010.357173081568,0.0018715492648496673,0.0006360781584809483,0.0005283491993758237
9.0,144.0,-3010.3498027304954,-3010.358212873439,-3010.357710310391,0.001999222461142524,0.00014943650611999238,0.000461432720185951
9.0,162.0,-3010.350209291943,-3010.359447906809,-3010.35803351952,0.001571297158012656,7.034081605081802e-05,0.00041802948955582523
9.0,180.0,-3010.3508435169047,-3010.3605377262174,-3010.358141490074,0.00118537219400511,0.00021426156808497277,6.233853715819515e-05
9.0,198.0,-3010.3515849255236,-3010.3614038437854,-3010.35803390741,0.0002194586518762582,0.00015413948694363282,0.00015811905577009072
9.0,216.0,-3010.3523873979652,-3010.3620253234244,-3010.357716513697,7.110416589475016e-05,0.00011236887045439623,6.757257640676254e-05
9.0,234.0,-3010.35310905197,-3010.36239467575,-3010.357185742992,0.0004632847228629462,6.731546207740497e-05,0.0001672980468336778
9.0,252.0,-3010.3536866498225,-3010.3625009698067,-3010.356436143548,5.255094224549571e-05,3.8840377753257976e-05,0.0004906134356692184
9.0,270.0,-3010.35405748904,-3010.3623335917296,-3010.355546060656,0.00015764097053398826,0.00043670671207653237,0.0007945599312550046
9.0,288.0,-3010.354247941768,-3010.361892772213,-3010.3546051429225,0.000491796939134931,0.0005710560544947144,0.0008102658568259508
9.0,306.0,-3010.354282554201,-3010.361180809438,-3010.353704458481,0.00011055362210882613,0.00097254312550977,0.0010509300650169003
9.0,324.0,-3010.354149241016,-3010.360225090488,-3010.3529283949824,0.0001288361853705564,0.0014428241250760937,0.0012729149835752555
9.0,342.0,-3010.3538385990482,-3010.3591497375205,-3010.352348277712,0.0016915162583439629,0.0017265459934968038,0.0016678392536843346
18.0,0.0,-3010.352418960186,-3010.353504300393,-3010.3448551226456,0.00047547257396091304,0.0007745928393027654,0.0015283840307896584
18.0,18.0,-3010.3514431631734,-3010.3517487342006,-3010.3452853276403,0.0011358054903551908,0.0018895034271933346,8.249654601085023e-05
18.0,36.0,-3010.3500884584155,-3010.3503223522493,-3010.3467076552197,0.0016874281868571267,0.0019117415372576468,0.0006536878145995151
18.0,54.0,-3010.348575442953,-3010.349590729971,-3010.348946532704,0.0019853980044039197,0.0019740338878082874,0.0011584321421089549
18.0,72.0,-3010.3470612365386,-3010.349618122836,-3010.3513744312863,0.0029492888840144138,0.0014279538570360114,0.0006635155664043283
18.0,90.0,-3010.3458870776794,-3010.350284118654,-3010.353486231103,0.0030257543956740446,0.001881547648120822,0.00038793528879926684
18.0,108.0,-3010.3451471692365,-3010.351476836663,-3010.355103725255,0.0032023417363359363,0.001454374849661788,0.0010557323569196217
18.0,126.0,-3010.344945327031,-3010.353239366966,-3010.356285787516,0.003349669104513687,0.00020105874938821825,0.0016844277299048799
18.0,144.0,-3010.3453647051224,-3010.355386201952,-3010.357002638503,0.002598220588857758,9.131712619448064e-05,0.0010456837999711912
18.0,162.0,-3010.346312331263,-3010.3575424594637,-3010.357299456775,0.0016902663147761498,0.00019973727190028884,0.0011427134516576783
18.0,180.0,-3010.3476285143142,-3010.3592929822507,-3010.3573677398385,0.000516410660279008,0.00031350594361240344,0.000373044391676836
18.0,198.0,-3010.349250083675,-3010.360515526892,-3010.357221306901,0.0002942987596754484,0.0005736661949370832,0.00023806939655566319
18.0,216.0,-3010.3507991109486,-3010.3614070886665,-3010.356845082365,0.00048424410085384794,0.001030895085796847,0.00013659087161110658
18.0,234.0,-3010.352004336142,-3010.361970698792,-3010.356162121382,0.0006516333199876991,0.0013013453531233897,0.0002192260459692235
18.0,252.0,-3010.3528353000024,-3010.362219803187,-3010.355065211592,0.0014792555188801377,0.0006581312136301501,0.00040735507157565017
18.0,270.0,-3010.35331070194,-3010.362094724165,-3010.3534692170515,0.0013375050178511475,0.0006229822613186864,0.0008116595504280938
18.0,288.0,-3010.353483476392,-3010.3614856047834,-3010.3516181020595,0.0014659702853073032,0.0010771576898246811,0.001330741683205785
18.0,306.0,-3010.3534449833205,-3010.3603252364483,-3010.349707580817,0.0018839906666329737,0.0012913287910632583,0.0017085620950541532
