
Host: CHEM4VYDH4JALT

Timers On : Wed Aug 12 16:51:50 2026
Timers Off: Wed Aug 12 17:16:31 2026

Wall Time:     1481.57 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     15.700u      0.367s      9.718w     48 calls
build grid                          :     13.133u      0.133s      8.085w     48 calls
post-process grid                   :      2.567u      0.233s      1.629w     48 calls
DFH: sparsity prep                  :      0.850u      0.033s      0.527w     24 calls
Libint2ERI::Libint2ERI              :      3.350u      0.167s      2.046w    264 calls
DFH: initialize()                   :    146.467u      2.967s     89.879w     24 calls
Libint2ErfERI::Libint2ErfERI        :      2.400u      0.033s      1.478w     96 calls
DFH: AO Construction                :     12.033u      0.183s      7.413w     24 calls
DFH: AO-Met. Contraction            :     77.367u      0.667s     46.870w     48 calls
DFH: wAO Construction               :     13.567u      0.033s      8.154w     24 calls
DFH: wAO Copy                       :      3.183u      0.150s      2.042w     24 calls
HF: Form core H                     :      0.317u      0.017s      0.201w     24 calls
HF: Form S/X                        :      0.367u      0.017s      0.201w     24 calls
HF: Guess                           :      1.033u      0.333s      0.833w     24 calls
SAD Guess                           :      1.017u      0.333s      0.821w     24 calls
HF: Form G                          :    965.750u     20.433s    592.413w    554 calls
RV: Form V                          :   1001.467u     14.333s    612.003w    910 calls
Properties                          :    537.933u      3.150s    328.063w 2205812 calls
Functional                          :     74.417u      1.467s     45.489w 2205812 calls
V_xc                                :    417.700u      1.900s    254.269w 2149132 calls
JK: D                               :      0.100u      0.000s      0.084w    910 calls
JK: USO2AO                          :      0.000u      0.050s      0.041w    910 calls
JK: JK                              :    805.017u     16.533s    493.476w    910 calls
DFH: compute_JK()                   :    181.450u      4.067s    111.645w    554 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    554 calls
DFH: compute_J                      :     11.583u      0.183s      6.870w    554 calls
DFH: compute_K                      :    168.783u      0.417s    101.873w    554 calls
DFH: compute_wK()                   :    256.000u      7.517s    158.122w    554 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    910 calls
HF: Form F                          :      0.000u      0.000s      0.011w    554 calls
HF: Form D                          :      0.067u      0.000s      0.050w    554 calls
HF: DIIS                            :      2.900u      0.817s      2.238w    530 calls
HF: Form C                          :      6.150u      0.067s      3.832w    530 calls
JK: (A|mn)                          :     12.017u      0.333s      7.404w     24 calls
JK: (A|Q)^-1/2                      :     19.300u      0.117s     11.636w     24 calls
JK: (Q|mn)                          :     32.933u      0.317s     19.977w     24 calls
JK: (A|mn)^L                        :     13.100u      0.383s      8.060w     24 calls
JK: (A|Q)^-1                        :     19.350u      0.083s     11.659w     24 calls
JK: (Q|mn)^L                        :     32.817u      0.350s     19.919w     24 calls
JK: (A|mn)^R                        :     14.050u      0.000s      8.462w     24 calls
JK: J                               :      3.917u      0.050s      2.293w    356 calls
JK: J1                              :      2.083u      0.033s      1.015w    356 calls
JK: J2                              :      1.800u      0.017s      1.264w    356 calls
JK: K                               :    146.550u      0.317s     88.080w    356 calls
JK: K1                              :     91.917u      0.200s     55.332w    356 calls
JK: K2                              :     54.633u      0.083s     32.730w    356 calls
JK: wK                              :    215.750u      0.433s    129.966w    712 calls
JK: wK1                             :    160.217u      0.250s     96.539w   1424 calls
JK: wK2                             :     55.533u      0.117s     33.363w    712 calls
Grad: V T Perturb                   :      0.583u      0.000s      0.342w     24 calls
Grad: S                             :      0.033u      0.000s      0.036w     24 calls
Grad: JK                            :    194.733u      5.583s    120.305w     24 calls
JKGrad: Amn                         :     18.483u      1.150s     11.767w     24 calls
