theta,phi,E_opt_ortho,E_opt_meta,E_opt_para
0.0,0.0,-3010.3527440411176,-3010.3598767636304,-3010.356225149885
9.0,0.0,-3010.35334116479,-3010.3573250123577,-3010.351708762913
9.0,18.0,-3010.3527424655954,-3010.356485827856,-3010.351895048139
9.0,36.0,-3010.352032716864,-3010.3557945463017,-3010.3524837372993
9.0,54.0,-3010.3512817488963,-3010.355388683712,-3010.353387070592
9.0,72.0,-3010.350572110188,-3010.355355440137,-3010.354438128456
9.0,90.0,-3010.350016180499,-3010.3556623514055,-3010.355489472329
9.0,108.0,-3010.3496893739016,-3010.3562775179244,-3010.3564233423795
9.0,126.0,-3010.349624481122,-3010.357065662672,-3010.357173081568
9.0,144.0,-3010.3498027304954,-3010.358212873439,-3010.357710310391
9.0,162.0,-3010.350209291943,-3010.359447906809,-3010.35803351952
9.0,180.0,-3010.3508435169047,-3010.3605377262174,-3010.358141490074
9.0,198.0,-3010.3515849255236,-3010.3614038437854,-3010.35803390741
9.0,216.0,-3010.3523873979652,-3010.3620253234244,-3010.357716513697
9.0,234.0,-3010.35310905197,-3010.36239467575,-3010.357185742992
9.0,252.0,-3010.3536866498225,-3010.3625009698067,-3010.356436143548
9.0,270.0,-3010.35405748904,-3010.3623335917296,-3010.355546060656
9.0,288.0,-3010.354247941768,-3010.361892772213,-3010.3546051429225
9.0,306.0,-3010.354282554201,-3010.361180809438,-3010.353704458481
9.0,324.0,-3010.354149241016,-3010.360225090488,-3010.3529283949824
9.0,342.0,-3010.3538385990482,-3010.3591497375205,-3010.352348277712
18.0,0.0,-3010.352418960186,-3010.353504300393,-3010.3448551226456
18.0,18.0,-3010.3514431631734,-3010.3517487342006,-3010.3452853276403
18.0,36.0,-3010.3500884584155,-3010.3503223522493,-3010.3467076552197
18.0,54.0,-3010.348575442953,-3010.349590729971,-3010.348946532704
18.0,72.0,-3010.3470612365386,-3010.349618122836,-3010.3513744312863
18.0,90.0,-3010.3458870776794,-3010.350284118654,-3010.353486231103
18.0,108.0,-3010.3451471692365,-3010.351476836663,-3010.355103725255
18.0,126.0,-3010.344945327031,-3010.353239366966,-3010.356285787516
18.0,144.0,-3010.3453647051224,-3010.355386201952,-3010.357002638503
18.0,162.0,-3010.346312331263,-3010.3575424594637,-3010.357299456775
18.0,180.0,-3010.3476285143142,-3010.3592929822507,-3010.3573677398385
18.0,198.0,-3010.349250083675,-3010.360515526892,-3010.357221306901
18.0,216.0,-3010.3507991109486,-3010.3614070886665,-3010.356845082365
18.0,234.0,-3010.352004336142,-3010.361970698792,-3010.356162121382
18.0,252.0,-3010.3528353000024,-3010.362219803187,-3010.355065211592
18.0,270.0,-3010.35331070194,-3010.362094724165,-3010.3534692170515
18.0,288.0,-3010.353483476392,-3010.3614856047834,-3010.3516181020595
18.0,306.0,-3010.3534449833205,-3010.3603252364483,-3010.349707580817
18.0,324.0,-3010.3533555208305,-3010.358675208233,-3010.347932575129
18.0,342.0,-3010.353053427644,-3010.356577173384,-3010.3465486956616
27.0,0.0,-3010.3502265859033,-3010.348841282589,-3010.3376248648574
27.0,18.0,-3010.349246770476,-3010.346260026103,-3010.338289444658
27.0,36.0,-3010.347479218547,-3010.3442887035776,-3010.340195354659
27.0,54.0,-3010.3452535606425,-3010.3434750571546,-3010.343647663234
27.0,72.0,-3010.3429218187944,-3010.343540987779,-3010.347475994675
27.0,90.0,-3010.340897828158,-3010.344584927587,-3010.3506332363986
27.0,108.0,-3010.3398244674477,-3010.346573355478,-3010.352642145863
27.0,126.0,-3010.339588493474,-3010.3490723542136,-3010.3538016578045
27.0,144.0,-3010.3400217649005,-3010.3518318746756,-3010.354249307607
27.0,162.0,-3010.341630455868,-3010.3544249348533,-3010.354222862132
27.0,180.0,-3010.3438381608767,-3010.3563473321815,-3010.354067400554
27.0,198.0,-3010.3461526357232,-3010.357545468869,-3010.3539151965506
27.0,216.0,-3010.3482482526497,-3010.3583004381326,-3010.353708879681
27.0,234.0,-3010.349577221586,-3010.358832319887,-3010.353306314756
27.0,252.0,-3010.350291566395,-3010.359290916831,-3010.352370501093
27.0,270.0,-3010.35055255958,-3010.359375172295,-3010.3503525138053
27.0,288.0,-3010.350476486116,-3010.3589268627693,-3010.34770955854
27.0,306.0,-3010.350327617081,-3010.3578460985445,-3010.344767199138
27.0,324.0,-3010.3504111701386,-3010.3557044954114,-3010.3419058639292
27.0,342.0,-3010.350536883073,-3010.352777703227,-3010.3397618139397
36.0,0.0,-3010.347023302738,-3010.343991599894,-3010.331674203266
36.0,18.0,-3010.3462595322535,-3010.340753644956,-3010.3323746745286
36.0,36.0,-3010.3442003443943,-3010.3383257068513,-3010.334778081276
36.0,54.0,-3010.3411841331226,-3010.3374184115196,-3010.3386491418087
36.0,72.0,-3010.3383474082066,-3010.3377279194683,-3010.3433631950766
36.0,90.0,-3010.336040064211,-3010.3392770260975,-3010.3472806386912
36.0,108.0,-3010.3344134320937,-3010.3418144851908,-3010.349324906378
36.0,126.0,-3010.333817246852,-3010.3448313611007,-3010.349986059212
36.0,144.0,-3010.334593051786,-3010.3478866459427,-3010.3497698352776
36.0,162.0,-3010.3366468624,-3010.3505105159434,-3010.349184176638
36.0,180.0,-3010.3397034465725,-3010.3521698034792,-3010.3486948945433
36.0,198.0,-3010.3426904974567,-3010.3528180967105,-3010.348591524546
36.0,216.0,-3010.3449549263282,-3010.3532142718377,-3010.3487698848435
36.0,234.0,-3010.346060536214,-3010.3534751345314,-3010.3490529913174
36.0,252.0,-3010.3463961900225,-3010.3539726848708,-3010.3488032795312
36.0,270.0,-3010.3460614904916,-3010.354450425918,-3010.3467140899884
36.0,288.0,-3010.345642127769,-3010.3544860013812,-3010.34344522245
36.0,306.0,-3010.3454025884535,-3010.353896253483,-3010.339487663316
36.0,324.0,-3010.3457520793386,-3010.3518464812005,-3010.335577827236
36.0,342.0,-3010.3466295688386,-3010.348455642197,-3010.3327197790795
45.0,0.0,-3010.3432686282226,-3010.3395094769958,-3010.3258968533064
45.0,18.0,-3010.3429086753904,-3010.335508690021,-3010.32694521693
45.0,36.0,-3010.340545184362,-3010.332835895382,-3010.329833799918
45.0,54.0,-3010.3373073827966,-3010.3317221255706,-3010.3343702400502
45.0,72.0,-3010.334118215834,-3010.3322889261476,-3010.3396040814455
45.0,90.0,-3010.3313393643475,-3010.334243579421,-3010.343879955574
45.0,108.0,-3010.329313798097,-3010.3372358044803,-3010.3454829728703
45.0,126.0,-3010.328481499612,-3010.3406752299766,-3010.3451360844942
45.0,144.0,-3010.3294989777887,-3010.343865106988,-3010.344004823583
45.0,162.0,-3010.332119583353,-3010.346238150436,-3010.34284032069
45.0,180.0,-3010.335777630458,-3010.347215148102,-3010.3418914402955
45.0,198.0,-3010.3391263197354,-3010.347059683978,-3010.34191430605
45.0,216.0,-3010.3411606740838,-3010.3463127716846,-3010.342660482863
45.0,234.0,-3010.34161066646,-3010.346296092028,-3010.3439116265095
45.0,252.0,-3010.340986692619,-3010.346838976295,-3010.344791282036
45.0,270.0,-3010.340169195344,-3010.3478359205233,-3010.34348990026
45.0,288.0,-3010.3390561586875,-3010.348833913316,-3010.3397557138273
45.0,306.0,-3010.3383537548457,-3010.348959890046,-3010.3346445178067
45.0,324.0,-3010.3391571482816,-3010.3474365176235,-3010.3300219773073
45.0,342.0,-3010.341764279742,-3010.343815023569,-3010.326980696829
54.0,0.0,-3010.3392647069036,-3010.3354806162133,-3010.3211753634855
54.0,18.0,-3010.33942508581,-3010.3309083285462,-3010.3223793090847
54.0,36.0,-3010.3366678726584,-3010.3277679007188,-3010.325655686254
54.0,54.0,-3010.33377302677,-3010.3266047978427,-3010.3308368635153
54.0,72.0,-3010.330395037145,-3010.3273452587746,-3010.336697354349
54.0,90.0,-3010.327334571847,-3010.3296660710475,-3010.340919787438
54.0,108.0,-3010.32491342469,-3010.3330461685464,-3010.341748262506
54.0,126.0,-3010.323837878822,-3010.3367798316826,-3010.340087210436
54.0,144.0,-3010.3250181499266,-3010.339997083982,-3010.337593611559
54.0,162.0,-3010.328183604919,-3010.342003039013,-3010.3358729233832
54.0,180.0,-3010.332345371595,-3010.342131451642,-3010.3346104690677
54.0,198.0,-3010.335717488191,-3010.34078280658,-3010.334573201347
54.0,216.0,-3010.3371821165665,-3010.3390636777735,-3010.3359065269447
54.0,234.0,-3010.336888888617,-3010.3383880165056,-3010.338421226551
54.0,252.0,-3010.3357136607583,-3010.3390199553796,-3010.3408523682015
54.0,270.0,-3010.333925937753,-3010.340577110484,-3010.34051029226
54.0,288.0,-3010.332368442091,-3010.342347873621,-3010.336551932621
54.0,306.0,-3010.3315421394573,-3010.343552040383,-3010.3307306581387
54.0,324.0,-3010.332440399899,-3010.342959235504,-3010.3257637804218
54.0,342.0,-3010.3367153991967,-3010.3396761719855,-3010.322378275633
63.0,0.0,-3010.335206947729,-3010.3322167934916,-3010.3176330064553
63.0,18.0,-3010.3359635811867,-3010.327155803589,-3010.318908849753
63.0,36.0,-3010.3341007327135,-3010.3235826921796,-3010.3223373778014
63.0,54.0,-3010.3308890277026,-3010.322161934939,-3010.3280678577767
63.0,72.0,-3010.327538696974,-3010.323041320235,-3010.334476028899
63.0,90.0,-3010.3243133987503,-3010.3257202303284,-3010.3385179847996
63.0,108.0,-3010.32149329703,-3010.329437383102,-3010.3383694283416
63.0,126.0,-3010.3201681312544,-3010.3332777432333,-3010.335149338865
63.0,144.0,-3010.321411037903,-3010.3364399753873,-3010.331306519166
63.0,162.0,-3010.325091153366,-3010.338116368266,-3010.3289789861296
63.0,180.0,-3010.3296495612653,-3010.337415968903,-3010.3275825974074
63.0,198.0,-3010.332759039824,-3010.3345152135257,-3010.3274773419635
63.0,216.0,-3010.333305470586,-3010.3313532488246,-3010.329614209257
63.0,234.0,-3010.331891399727,-3010.32991490442,-3010.3334817532027
63.0,252.0,-3010.3306446550678,-3010.3307485478363,-3010.3377088199995
63.0,270.0,-3010.3283877120975,-3010.3328559715906,-3010.338185741287
63.0,288.0,-3010.326098813129,-3010.335758959854,-3010.334364725125
63.0,306.0,-3010.3246389428887,-3010.338053110431,-3010.328137545745
63.0,324.0,-3010.3247478313056,-3010.3387058189364,-3010.32238478472
63.0,342.0,-3010.3317054279896,-3010.336308927509,-3010.318901493308
72.0,0.0,-3010.332005667554,-3010.3299849433297,-3010.315451288032
72.0,18.0,-3010.333209131369,-3010.324700489671,-3010.3166634184645
72.0,36.0,-3010.3313415914668,-3010.3203929450833,-3010.3200628886957
72.0,54.0,-3010.3288511498795,-3010.318644718708,-3010.3263259972296
72.0,72.0,-3010.3258461561777,-3010.3196733121,-3010.3331223094665
72.0,90.0,-3010.3225339434084,-3010.3226834769357,-3010.336818361655
72.0,108.0,-3010.319440516715,-3010.326595010106,-3010.3355829657867
72.0,126.0,-3010.3177533233725,-3010.3302770851933,-3010.330719298432
72.0,144.0,-3010.318888873889,-3010.333310675244,-3010.3255330305433
72.0,162.0,-3010.3230189988244,-3010.334894011059,-3010.3229435863136
72.0,180.0,-3010.3278939758266,-3010.3334519953255,-3010.3218964931507
72.0,198.0,-3010.330404321148,-3010.3289794862158,-3010.322246566026
72.0,216.0,-3010.3296396443106,-3010.3241450176242,-3010.3244594234984
72.0,234.0,-3010.3284708378555,-3010.3219735483353,-3010.3294014389066
72.0,252.0,-3010.3270217786658,-3010.322879431213,-3010.335090555614
72.0,270.0,-3010.3244178514824,-3010.325558815536,-3010.33667767924
72.0,288.0,-3010.3214151962293,-3010.329497692465,-3010.333215679116
72.0,306.0,-3010.319253125647,-3010.3328817769097,-3010.326556416902
72.0,324.0,-3010.318939439458,-3010.3348852660024,-3010.3201188093662
72.0,342.0,-3010.3205434439033,-3010.333707037199,-3010.316712467511
81.0,0.0,-3010.3294619355383,-3010.3289636101545,-3010.3148094262187
81.0,18.0,-3010.330747552783,-3010.323218251999,-3010.315741837481
81.0,36.0,-3010.3291736379556,-3010.318304708104,-3010.318951320693
81.0,54.0,-3010.327539593711,-3010.3162854825173,-3010.325702164811
81.0,72.0,-3010.3252601397767,-3010.3176063614324,-3010.332846088122
81.0,90.0,-3010.3221705345923,-3010.321008345062,-3010.336047491204
81.0,108.0,-3010.318892081262,-3010.3248617314016,-3010.3337098815223
81.0,126.0,-3010.3167546455284,-3010.327857761929,-3010.327315796275
81.0,144.0,-3010.317622930437,-3010.3306503492345,-3010.3207964431417
81.0,162.0,-3010.322083815884,-3010.332543779908,-3010.318250041746
81.0,180.0,-3010.3273285970904,-3010.3306014641857,-3010.3184445349007
81.0,198.0,-3010.3289244242055,-3010.32505341462,-3010.317834078146
81.0,216.0,-3010.32653673047,-3010.3179935366734,-3010.3237887052187
81.0,234.0,-3010.3272268057617,-3010.312010535914,-3010.330141933917
81.0,252.0,-3010.325407903251,-3010.316366848159,-3010.336022889419
81.0,270.0,-3010.32245415151,-3010.320042980961,-3010.337564412734
81.0,288.0,-3010.3191987459845,-3010.324392318953,-3010.333436290729
81.0,306.0,-3010.316986291371,-3010.3284836885427,-3010.326206997277
81.0,324.0,-3010.3176137792,-3010.331654113162,-3010.3194345152842
81.0,342.0,-3010.3226032262332,-3010.332127930183,-3010.315850587895
90.0,0.0,-3010.3278972279504,-3010.3292283341766,-3010.3158314999096
90.0,18.0,-3010.329090382099,-3010.3233245174188,-3010.3160423136487
90.0,36.0,-3010.3274569748983,-3010.317529167323,-3010.319242487593
90.0,54.0,-3010.3271256808875,-3010.3153202544177,-3010.327060132524
90.0,72.0,-3010.3253148072163,-3010.319286157558,-3010.3337758291163
90.0,90.0,-3010.3231916116406,-3010.323573190148,-3010.336281548383
90.0,108.0,-3010.3197201365438,-3010.327882847584,-3010.3330373476374
90.0,126.0,-3010.3172875002933,-3010.330338364084,-3010.3259762738803
90.0,144.0,-3010.3175677266954,-3010.3314779384586,-3010.3190219199437
90.0,162.0,-3010.322415220002,-3010.331646475626,-3010.3158842118087
