theta,phi,E_SCF_ortho_int,E_CCSD_ortho_int,E_SCF_meta_int,E_CCSD_meta_int,E_SCF_para_int,E_CCSD_para_int
0.0,0.0,-3006.1238488874314,-3007.822926024374283,-3006.1349663845231,-3007.826425707658018,-3006.1236856745604,-3007.821973963968048
9.0,0.0,-3006.1244983780216,-3007.822985452580724,-3006.1332096507440,-3007.825137039611036,-3006.1204049630910,-3007.819662835834606
9.0,18.0,-3006.1239545555500,-3007.822562698466299,-3006.1324451546502,-3007.824661042000571,-3006.1205697747637,-3007.819801729221581
9.0,36.0,-3006.1233632313993,-3007.822351558349055,-3006.1318914192561,-3007.824333759641831,-3006.1210644590492,-3007.820165524366075
9.0,54.0,-3006.1226952683187,-3007.821920089076229,-3006.1315538370300,-3007.824213842648987,-3006.1217299143918,-3007.820658438513419
9.0,72.0,-3006.1220610288419,-3007.821564119359209,-3006.1315577764981,-3007.824278478869019,-3006.1224849668592,-3007.821212222238955
9.0,90.0,-3006.1215502564328,-3007.821273917922099,-3006.1319271111006,-3007.824525777050440,-3006.1232238844773,-3007.821738246640052
9.0,108.0,-3006.1212480885520,-3007.821129182985260,-3006.1324768135973,-3007.824892502075272,-3006.1238674839337,-3007.822171357763636
9.0,126.0,-3006.1212033321481,-3007.821129985449261,-3006.1331868908137,-3007.825353990879648,-3006.1244396273605,-3007.822533984005076
9.0,144.0,-3006.1214439653045,-3007.821314034124953,-3006.1340608565242,-3007.825823394411600,-3006.1247773749637,-3007.822711592966698
9.0,162.0,-3006.1218801708419,-3007.821675441181014,-3006.1348704379966,-3007.826243138574227,-3006.1249625121714,-3007.822834468499423
9.0,180.0,-3006.1223478419993,-3007.821974733323714,-3006.1354850365137,-3007.826577282642120,-3006.1249845046523,-3007.822828799580293
9.0,198.0,-3006.1229206638650,-3007.822316777302149,-3006.1359143812074,-3007.826828404118260,-3006.1249070467134,-3007.822791709710600
9.0,216.0,-3006.1235283548399,-3007.822578153105496,-3006.1361860709312,-3007.827012707375161,-3006.1247011090836,-3007.822677025420489
9.0,234.0,-3006.1240395103005,-3007.822800834270311,-3006.1363256617678,-3007.827127166597620,-3006.1243505752309,-3007.822472838432532
9.0,252.0,-3006.1244198937916,-3007.822934109407470,-3006.1363403211653,-3007.827157224248822,-3006.1237032787931,-3007.822053463441534
9.0,270.0,-3006.1247009961994,-3007.823033470810969,-3006.1361875102198,-3007.827059671401912,-3006.1229294436130,-3007.821546831219621
9.0,288.0,-3006.1248623209240,-3007.823121388578784,-3006.1357918731610,-3007.826802136472907,-3006.1221206571158,-3007.820980318359034
9.0,306.0,-3006.1249721922040,-3007.823130976226366,-3006.1351790245853,-3007.826381772736113,-3006.1213381908374,-3007.820416146446405
9.0,324.0,-3006.1249621296565,-3007.823155171448889,-3006.1344161337861,-3007.825862780570787,-3006.1206647198396,-3007.819912784206281
9.0,342.0,-3006.1247102823700,-3007.822893293068319,-3006.1336740851707,-3007.825371033714418,-3006.1201847928451,-3007.819532487796550
18.0,0.0,-3006.1241255348891,-3007.822183697324363,-3006.1303708828227,-3007.823003656777473,-3006.1155369068083,-3007.816202917546889
18.0,18.0,-3006.1233460798862,-3007.821734153333637,-3006.1288027142027,-3007.822022540222861,-3006.1158836318655,-3007.816537433729536
18.0,36.0,-3006.1221563880372,-3007.821151172441205,-3006.1275587945875,-3007.821405173444873,-3006.1171007426333,-3007.817450623650529
18.0,54.0,-3006.1207618410599,-3007.820494131817213,-3006.1269429054637,-3007.821184575835559,-3006.1188647725949,-3007.818708194283772
18.0,72.0,-3006.1192976925822,-3007.819725296791603,-3006.1269015768344,-3007.821348963724176,-3006.1205810948145,-3007.820004721209443
18.0,90.0,-3006.1182215093950,-3007.819171383469893,-3006.1276031019538,-3007.821917527257938,-3006.1220078341980,-3007.821035474825749
18.0,108.0,-3006.1175276415888,-3007.818808093933512,-3006.1286776267029,-3007.822617667186933,-3006.1232219910862,-3007.821800158166297
18.0,126.0,-3006.1173972037241,-3007.818727874736396,-3006.1303319315139,-3007.823524177236322,-3006.1242073314716,-3007.822438576918557
18.0,144.0,-3006.1179692523001,-3007.819156233786543,-3006.1322176906287,-3007.824433238105939,-3006.1245385796060,-3007.822473141854061
18.0,162.0,-3006.1188597618057,-3007.819675605718203,-3006.1337543959985,-3007.825125400852812,-3006.1244497945027,-3007.822238176062456
18.0,180.0,-3006.1199645130382,-3007.820325126747321,-3006.1346421997564,-3007.825550645352905,-3006.1243234456942,-3007.822124414502468
18.0,198.0,-3006.1212717433009,-3007.821059413515741,-3006.1352596139282,-3007.825985305069480,-3006.1241997215966,-3007.822092840380719
18.0,216.0,-3006.1223678331353,-3007.821604720198138,-3006.1355235138326,-3007.826211599046019,-3006.1240267217963,-3007.822087053124505
18.0,234.0,-3006.1231545322630,-3007.821859511439470,-3006.1358550725804,-3007.826588692582391,-3006.1236675751461,-3007.822004568339253
18.0,252.0,-3006.1236003055142,-3007.822142459876432,-3006.1356346980101,-3007.826517943256931,-3006.1230362070501,-3007.821671651565339
18.0,270.0,-3006.1239786027613,-3007.822400136350552,-3006.1355289997077,-3007.826482172372380,-3006.1216390470972,-3007.820780589530841
18.0,288.0,-3006.1241044633621,-3007.822412777077716,-3006.1350921463377,-3007.826111432491416,-3006.1200211491741,-3007.819641471893192
18.0,306.0,-3006.1241780958044,-3007.822262785439307,-3006.1345010060213,-3007.825628306087765,-3006.1183600233262,-3007.818381265828521
18.0,324.0,-3006.1244649963592,-3007.822382963391192,-3006.1332454369381,-3007.824744197568634,-3006.1168920231439,-3007.817210529521162
18.0,342.0,-3006.1244677948739,-3007.822331367185143,-3006.1317607468277,-3007.823713362495255,-3006.1159133074239,-3007.816403844022716
27.0,0.0,-3006.1228761659704,-3007.820563421463703,-3006.1268996354625,-3007.820237084974451,-3006.1094526103188,-3007.812186960448344
27.0,18.0,-3006.1221493600533,-3007.820310792345936,-3006.1245355810702,-3007.818817655193925,-3006.1100920992817,-3007.812674422686996
27.0,36.0,-3006.1205307995178,-3007.819544859218695,-3006.1223402936589,-3007.817759502506760,-3006.1119011817418,-3007.814248924891672
27.0,54.0,-3006.1183870278014,-3007.818618967211478,-3006.1216579728971,-3007.817614434712141,-3006.1152050613550,-3007.816467058571561
27.0,72.0,-3006.1160808514073,-3007.817602015483772,-3006.1212711060375,-3007.817656939481822,-3006.1182502416978,-3007.818528563959717
27.0,90.0,-3006.1140863480809,-3007.816704519731502,-3006.1222715946960,-3007.818466627276393,-3006.1204390030407,-3007.820029426813562
27.0,108.0,-3006.1131894180799,-3007.815820971159155,-3006.1244237376213,-3007.819848324682425,-3006.1221108121413,-3007.821213312124655
27.0,126.0,-3006.1129545234421,-3007.816228108209998,-3006.1270668717043,-3007.821286157861323,-3006.1228206507308,-3007.821442712098360
27.0,144.0,-3006.1137053392522,-3007.816283228730299,-3006.1297748965480,-3007.822502359542341,-3006.1230139753775,-3007.821294037819825
27.0,162.0,-3006.1152938372993,-3007.816963707552532,-3006.1318349821599,-3007.823285036102789,-3006.1222584333764,-3007.820462755850258
27.0,180.0,-3006.1172195050517,-3007.818136685594709,-3006.1326372058220,-3007.823568395627717,-3006.1217198553045,-3007.820005791086260
