     theta        phi           Ex           Ey           Ez               Para_E              Ortho_E               Meta_E
---------------------------------------------------------------------------------------------------------------------------
          0.0         0.0    0.0000000    0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0        18.0    0.0000000    0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0        36.0    0.0000000    0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0        54.0    0.0000000    0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0        72.0    0.0000000    0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0        90.0    0.0000000    0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0       108.0   -0.0000000    0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0       126.0   -0.0000000    0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0       144.0   -0.0000000    0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0       162.0   -0.0000000    0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0       180.0   -0.0000000    0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0       198.0   -0.0000000   -0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0       216.0   -0.0000000   -0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0       234.0   -0.0000000   -0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0       252.0   -0.0000000   -0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0       270.0   -0.0000000   -0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0       288.0    0.0000000   -0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0       306.0    0.0000000   -0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0       324.0    0.0000000   -0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0       342.0    0.0000000   -0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          0.0       360.0    0.0000000   -0.0000000    1.0000000    -3007.82197396396805    -3007.82292602437428    -3007.82642570765802
          9.0         0.0    0.1564345    0.0000000    0.9876883    -3007.81966283583461    -3007.82298545258072    -3007.82513703961104
          9.0        18.0    0.1487780    0.0483409    0.9876883    -3007.81980172922158    -3007.82256269846630    -3007.82466104200057
          9.0        36.0    0.1265581    0.0919499    0.9876883    -3007.82016552436608    -3007.82235155834906    -3007.82433375964183
          9.0        54.0    0.0919499    0.1265581    0.9876883    -3007.82065843851342    -3007.82192008907623    -3007.82421384264899
          9.0        72.0    0.0483409    0.1487780    0.9876883    -3007.82121222223896    -3007.82156411935921    -3007.82427847886902
          9.0        90.0    0.0000000    0.1564345    0.9876883    -3007.82173824664005    -3007.82127391792210    -3007.82452577705044
          9.0       108.0   -0.0483409    0.1487780    0.9876883    -3007.82217135776364    -3007.82112918298526    -3007.82489250207527
          9.0       126.0   -0.0919499    0.1265581    0.9876883    -3007.82253398400508    -3007.82112998544926    -3007.82535399087965
          9.0       144.0   -0.1265581    0.0919499    0.9876883    -3007.82271159296670    -3007.82131403412495    -3007.82582339441160
          9.0       162.0   -0.1487780    0.0483409    0.9876883    -3007.82283446849942    -3007.82167544118101    -3007.82624313857423
          9.0       180.0   -0.1564345    0.0000000    0.9876883    -3007.82282879958029    -3007.82197473332371    -3007.82657728264212
          9.0       198.0   -0.1487780   -0.0483409    0.9876883    -3007.82279170971060    -3007.82231677730215    -3007.82682840411826
          9.0       216.0   -0.1265581   -0.0919499    0.9876883    -3007.82267702542049    -3007.82257815310550    -3007.82701270737516
          9.0       234.0   -0.0919499   -0.1265581    0.9876883    -3007.82247283843253    -3007.82280083427031    -3007.82712716659762
          9.0       252.0   -0.0483409   -0.1487780    0.9876883    -3007.82205346344153    -3007.82293410940747    -3007.82715722424882
          9.0       270.0   -0.0000000   -0.1564345    0.9876883    -3007.82154683121962    -3007.82303347081097    -3007.82705967140191
          9.0       288.0    0.0483409   -0.1487780    0.9876883    -3007.82098031835903    -3007.82312138857878    -3007.82680213647291
          9.0       306.0    0.0919499   -0.1265581    0.9876883    -3007.82041614644641    -3007.82313097622637    -3007.82638177273611
          9.0       324.0    0.1265581   -0.0919499    0.9876883    -3007.81991278420628    -3007.82315517144889    -3007.82586278057079
          9.0       342.0    0.1487780   -0.0483409    0.9876883    -3007.81953248779655    -3007.82289329306832    -3007.82537103371442
          9.0       360.0    0.1564345   -0.0000000    0.9876883    -3007.81966283583461    -3007.82298545258072    -3007.82513703961104
         18.0         0.0    0.3090170    0.0000000    0.9510565    -3007.81620291754689    -3007.82218369732436    -3007.82300365677747
         18.0        18.0    0.2938926    0.0954915    0.9510565    -3007.81653743372954    -3007.82173415333364    -3007.82202254022286
         18.0        36.0    0.2500000    0.1816356    0.9510565    -3007.81745062365053    -3007.82115117244120    -3007.82140517344487
         18.0        54.0    0.1816356    0.2500000    0.9510565    -3007.81870819428377    -3007.82049413181721    -3007.82118457583556
         18.0        72.0    0.0954915    0.2938926    0.9510565    -3007.82000472120944    -3007.81972529679160    -3007.82134896372418
         18.0        90.0    0.0000000    0.3090170    0.9510565    -3007.82103547482575    -3007.81917138346989    -3007.82191752725794
         18.0       108.0   -0.0954915    0.2938926    0.9510565    -3007.82180015816630    -3007.81880809393351    -3007.82261766718693
         18.0       126.0   -0.1816356    0.2500000    0.9510565    -3007.82243857691856    -3007.81872787473640    -3007.82352417723632
