lambda_au,DeltaE_OM,DeltaE_PM,Volume_nm3
0.01,1.123061041,4.895267094,18.62144003709409
0.02,0.3761597904,4.456827934,4.655360009273522
0.03,-0.8649691528,3.732421498,2.0690488930104545
0.04,-2.594407483,2.730527957,1.1638400023183806
0.05,-4.80654257,1.463362344,0.7448576014837635
0.06,-7.495869293,-0.05312039068,0.5172622232526136
0.07,-10.65811669,-1.800247193,0.38002938851212426
0.08,-14.29109843,-3.754065855,0.29096000057959515
0.09,-18.39364751,-5.883208063,0.22989432144560606
0.1,-22.9581171,-8.139996536,0.18621440037094086
