lambda_au,DeltaE_OM,DeltaE_PM,Volume_nm3
0.01,1.199839607,4.833787492,18.62144003709409
0.02,0.6834746239,4.211522986,4.655360009273522
0.03,-0.1724017398,3.182278781,2.0690488930104545
0.04,-1.361357343,1.757118769,1.1638400023183806
0.05,-2.875846465,-0.05083683146,0.7448576014837635
0.06,-4.706568926,-2.226214529,0.5172622232526136
0.07,-6.844835123,-4.75353451,0.38002938851212426
0.08,-9.280984773,-7.616070258,0.29096000057959515
0.09,-12.00388292,-10.79744522,0.22989432144560606
0.1,-14.99227767,-14.27396489,0.18621440037094086
