# θ (°)	φ (°)	Ex (unit vec.)	Ey (unit vec.)	Ez (unit vec.)	omega (a.u.)
# 70.4	31.3	0.787812	0.551632	0.273959	0.066150
lambda   Ortho_E        Meta_E          Para_E          DeltaE_OM       DeltaE_PM
0.01	-3007.953199	-3007.954989	-3007.947188	1.123061041	4.895267094
0.02	-3007.947968	-3007.948567	-3007.941465	0.3761597904	4.456827934
0.03	-3007.939325	-3007.937946	-3007.931998	-0.8649691528	3.732421498
0.04	-3007.92738	-3007.923246	-3007.918894	-2.594407483	2.730527957
0.05	-3007.912285	-3007.904625	-3007.902293	-4.80654257	1.463362344
0.06	-3007.894228	-3007.882282	-3007.882367	-7.495869293	-0.05312039068
0.07	-3007.873431	-3007.856446	-3007.859315	-10.65811669	-1.800247193
0.08	-3007.850154	-3007.827379	-3007.833362	-14.29109843	-3.754065855
0.09	-3007.824701	-3007.795389	-3007.804764	-18.39364751	-5.883208063
0.1	-3007.797441	-3007.760854	-3007.773826	-22.9581171	-8.139996536
