     Theta        Phi           Ex           Ey           Ez               Para_E              Ortho_E               Meta_E
---------------------------------------------------------------------------------------------------------------------------
     0.000      0.000     0.000000     0.000000     0.100000   -3007.813866912619   -3007.819266318423   -3007.822188699797
     0.000     15.652     0.000000     0.000000     0.100000   -3007.813866912621   -3007.819266318420   -3007.822188699800
     0.000     31.304     0.000000     0.000000     0.100000   -3007.813866912620   -3007.819266318425   -3007.822188699800
     0.000     46.956     0.000000     0.000000     0.100000   -3007.813866912620   -3007.819266318424   -3007.822188699801
     0.000     62.609     0.000000     0.000000     0.100000   -3007.813866912620   -3007.819266318423   -3007.822188699800
     0.000     78.261     0.000000     0.000000     0.100000   -3007.813866912621   -3007.819266318421   -3007.822188699800
     0.000     93.913    -0.000000     0.000000     0.100000   -3007.813866912619   -3007.819266318422   -3007.822188699799
     0.000    109.565    -0.000000     0.000000     0.100000   -3007.813866912620   -3007.819266318422   -3007.822188699799
     0.000    125.217    -0.000000     0.000000     0.100000   -3007.813866912617   -3007.819266318423   -3007.822188699797
     0.000    140.870    -0.000000     0.000000     0.100000   -3007.813866912620   -3007.819266318420   -3007.822188699799
     0.000    156.522    -0.000000     0.000000     0.100000   -3007.813866912621   -3007.819266318423   -3007.822188699801
     0.000    172.174    -0.000000     0.000000     0.100000   -3007.813866912617   -3007.819266318422   -3007.822188699799
     0.000    187.826    -0.000000    -0.000000     0.100000   -3007.813866912620   -3007.819266318422   -3007.822188699800
     0.000    203.478    -0.000000    -0.000000     0.100000   -3007.813866912617   -3007.819266318422   -3007.822188699800
     0.000    219.130    -0.000000    -0.000000     0.100000   -3007.813866912618   -3007.819266318421   -3007.822188699799
     0.000    234.783    -0.000000    -0.000000     0.100000   -3007.813866912619   -3007.819266318422   -3007.822188699797
     0.000    250.435    -0.000000    -0.000000     0.100000   -3007.813866912620   -3007.819266318424   -3007.822188699799
     0.000    266.087    -0.000000    -0.000000     0.100000   -3007.813866912620   -3007.819266318423   -3007.822188699802
     0.000    281.739     0.000000    -0.000000     0.100000   -3007.813866912621   -3007.819266318423   -3007.822188699801
     0.000    297.391     0.000000    -0.000000     0.100000   -3007.813866912619   -3007.819266318420   -3007.822188699800
     0.000    313.043     0.000000    -0.000000     0.100000   -3007.813866912619   -3007.819266318424   -3007.822188699800
     0.000    328.696     0.000000    -0.000000     0.100000   -3007.813866912619   -3007.819266318425   -3007.822188699801
     0.000    344.348     0.000000    -0.000000     0.100000   -3007.813866912622   -3007.819266318424   -3007.822188699800
     0.000    360.000     0.000000    -0.000000     0.100000   -3007.813866912619   -3007.819266318421   -3007.822188699797
     7.826      0.000     0.013617     0.000000     0.099069   -3007.800973278843   -3007.818649542279   -3007.815091992754
     7.826     15.652     0.013112     0.003674     0.099069   -3007.801377083731   -3007.816608329524   -3007.813096622625
     7.826     31.304     0.011634     0.007075     0.099069   -3007.802666883077   -3007.814716001972   -3007.811789794383
     7.826     46.956     0.009294     0.009952     0.099069   -3007.804754237826   -3007.813120296320   -3007.811315002465
     7.826     62.609     0.006265     0.012090     0.099069   -3007.807491678371   -3007.811951445123   -3007.811728663922
     7.826     78.261     0.002770     0.013332     0.099069   -3007.810682031863   -3007.811307818606   -3007.812989328133
     7.826     93.913    -0.000929     0.013585     0.099069   -3007.814091612516   -3007.811243531304   -3007.814962170552
     7.826    109.565    -0.004560     0.012830     0.099069   -3007.817466476869   -3007.811761636168   -3007.817439089158
     7.826    125.217    -0.007852     0.011124     0.099069   -3007.820550891051   -3007.812813889263   -3007.820171190843
     7.826    140.870    -0.010563     0.008593     0.099069   -3007.823106962142   -3007.814309372975   -3007.822906921882
     7.826    156.522    -0.012489     0.005425     0.099069   -3007.824934996464   -3007.816126056156   -3007.825427282802
     7.826    172.174    -0.013490     0.001854     0.099069   -3007.825891620665   -3007.818124287112   -3007.827567191412
     7.826    187.826    -0.013490    -0.001854     0.099069   -3007.825903701212   -3007.820158288210   -3007.829224063963
     7.826    203.478    -0.012489    -0.005425     0.099069   -3007.824975067309   -3007.822084794476   -3007.830346620071
     7.826    219.130    -0.010563    -0.008593     0.099069   -3007.823184728550   -3007.823769761335   -3007.830916261766
     7.826    234.783    -0.007852    -0.011124     0.099069   -3007.820677235627   -3007.825094879080   -3007.830928010765
     7.826    250.435    -0.004560    -0.012830     0.099069   -3007.817647541486   -3007.825964967250   -3007.830379732855
     7.826    266.087    -0.000929    -0.013585     0.099069   -3007.814323754691   -3007.826315752737   -3007.829273823840
     7.826    281.739     0.002770    -0.013332     0.099069   -3007.810949408687   -3007.826120203583   -3007.827630066181
     7.826    297.391     0.006265    -0.012090     0.099069   -3007.807767307552   -3007.825391455483   -3007.825503772493
     7.826    313.043     0.009294    -0.009952     0.099069   -3007.805004312465   -3007.824181435606   -3007.823001236762
     7.826    328.696     0.011634    -0.007075     0.099069   -3007.802857203568   -3007.822575695866   -3007.820285502668
     7.826    344.348     0.013112    -0.003674     0.099069   -3007.801479967928   -3007.820687472362   -3007.817568404595
     7.826    360.000     0.013617    -0.000000     0.099069   -3007.800973278841   -3007.818649542278   -3007.815091992753
    15.652      0.000     0.026980     0.000000     0.096292   -3007.788260602124   -3007.817388358307   -3007.807716965170
    15.652     15.652     0.025979     0.007279     0.096292   -3007.788992379289   -3007.813467255232   -3007.803334739775
    15.652     31.304     0.023052     0.014018     0.096292   -3007.791421335115   -3007.809767976931   -3007.800398421866
    15.652     46.956     0.018415     0.019718     0.096292   -3007.795389576987   -3007.806592418140   -3007.799297697530
    15.652     62.609     0.012412     0.023955     0.096292   -3007.800624051079   -3007.804235737677   -3007.800201394912
    15.652     78.261     0.005489     0.026415     0.096292   -3007.806753970737   -3007.802937174575   -3007.803017668665
    15.652     93.913    -0.001841     0.026917     0.096292   -3007.813336531696   -3007.802830890608   -3007.807394614465
    15.652    109.565    -0.009035     0.025422     0.096292   -3007.819886276805   -3007.803916601357   -3007.812773438012
    15.652    125.217    -0.015559     0.022042     0.096292   -3007.825904995104   -3007.806063284556   -3007.818488824995
    15.652    140.870    -0.020928     0.017027     0.096292   -3007.830914991019   -3007.809042352797   -3007.823902731469
    15.652    156.522    -0.024746     0.010749     0.096292   -3007.834501268449   -3007.812577998171   -3007.828528668734
    15.652    172.174    -0.026728     0.003674     0.096292   -3007.836359099581   -3007.816392636539   -3007.832108606604
