     theta        phi           Ex           Ey           Ez               Para_E              Ortho_E               Meta_E
---------------------------------------------------------------------------------------------------------------------------
          0.0         0.0    0.0000000    0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0        18.0    0.0000000    0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0        36.0    0.0000000    0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0        54.0    0.0000000    0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0        72.0    0.0000000    0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0        90.0    0.0000000    0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0       108.0   -0.0000000    0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0       126.0   -0.0000000    0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0       144.0   -0.0000000    0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0       162.0   -0.0000000    0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0       180.0   -0.0000000    0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0       198.0   -0.0000000   -0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0       216.0   -0.0000000   -0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0       234.0   -0.0000000   -0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0       252.0   -0.0000000   -0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0       270.0   -0.0000000   -0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0       288.0    0.0000000   -0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0       306.0    0.0000000   -0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0       324.0    0.0000000   -0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0       342.0    0.0000000   -0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          0.0       360.0    0.0000000   -0.0000000    1.0000000    -3007.81386071174620    -3007.81926031126204    -3007.82218222968277
          9.0         0.0    0.1564345    0.0000000    0.9876883    -3007.81162193318414    -3007.81937982835689    -3007.82098171982670
          9.0        18.0    0.1487780    0.0483409    0.9876883    -3007.81171417165524    -3007.81895680784373    -3007.82054518585483
          9.0        36.0    0.1265581    0.0919499    0.9876883    -3007.81198240524691    -3007.81849950152809    -3007.82022900574884
          9.0        54.0    0.0919499    0.1265581    0.9876883    -3007.81239269617890    -3007.81805620988143    -3007.82007611286735
          9.0        72.0    0.0483409    0.1487780    0.9876883    -3007.81289444270442    -3007.81767976355195    -3007.82010607424718
          9.0        90.0    0.0000000    0.1564345    0.9876883    -3007.81342963412135    -3007.81741861613000    -3007.82031166113984
          9.0       108.0   -0.0483409    0.1487780    0.9876883    -3007.81394154312511    -3007.81730804936205    -3007.82066094165020
          9.0       126.0   -0.0919499    0.1265581    0.9876883    -3007.81438227345598    -3007.81736287784997    -3007.82110451230710
          9.0       144.0   -0.1265581    0.0919499    0.9876883    -3007.81471663258571    -3007.81757490725886    -3007.82158701482740
          9.0       162.0   -0.1487780    0.0483409    0.9876883    -3007.81492404707978    -3007.81791466407458    -3007.82205588955321
          9.0       180.0   -0.1564345    0.0000000    0.9876883    -3007.81499336325851    -3007.81833739068998    -3007.82246829688074
          9.0       198.0   -0.1487780   -0.0483409    0.9876883    -3007.81492182042393    -3007.81879155250135    -3007.82279721211398
          9.0       216.0   -0.1265581   -0.0919499    0.9876883    -3007.81471321953950    -3007.81922823878176    -3007.82302565985856
          9.0       234.0   -0.0919499   -0.1265581    0.9876883    -3007.81437931342407    -3007.81960707605685    -3007.82314423916796
          9.0       252.0   -0.0483409   -0.1487780    0.9876883    -3007.81394059931245    -3007.81989991439423    -3007.82314674209920
          9.0       270.0   -0.0000000   -0.1564345    0.9876883    -3007.81343152975614    -3007.82009009813964    -3007.82302764459428
          9.0       288.0    0.0483409   -0.1487780    0.9876883    -3007.81289891596316    -3007.82016950145226    -3007.82278621654859
          9.0       306.0    0.0919499   -0.1265581    0.9876883    -3007.81239849934673    -3007.82013512780441    -3007.82242955974561
          9.0       324.0    0.1265581   -0.0919499    0.9876883    -3007.81198774407994    -3007.81998745359897    -3007.82198184369645
          9.0       342.0    0.1487780   -0.0483409    0.9876883    -3007.81171735099269    -3007.81973150556178    -3007.82148104464932
          9.0       360.0    0.1564345   -0.0000000    0.9876883    -3007.81162193318414    -3007.81937982835689    -3007.82098171982670
         18.0         0.0    0.3090170    0.0000000    0.9510565    -3007.80853652615497    -3007.81869327165350    -3007.81900007439572
         18.0        18.0    0.2938926    0.0954915    0.9510565    -3007.80872900458189    -3007.81792334996226    -3007.81807045309961
         18.0        36.0    0.2500000    0.1816356    0.9510565    -3007.80928938123134    -3007.81703356269736    -3007.81738863048486
         18.0        54.0    0.1816356    0.2500000    0.9510565    -3007.81013545817223    -3007.81612653581305    -3007.81706639786808
         18.0        72.0    0.0954915    0.2938926    0.9510565    -3007.81114638928057    -3007.81533003489221    -3007.81715277839839
         18.0        90.0    0.0000000    0.3090170    0.9510565    -3007.81218709051655    -3007.81476719015427    -3007.81762376578581
         18.0       108.0   -0.0954915    0.2938926    0.9510565    -3007.81313652012250    -3007.81452864595440    -3007.81838917309506
         18.0       126.0   -0.1816356    0.2500000    0.9510565    -3007.81390800686086    -3007.81465238539931    -3007.81931661066301
         18.0       144.0   -0.2500000    0.1816356    0.9510565    -3007.81445931820781    -3007.81511574763726    -3007.82026567620596
         18.0       162.0   -0.2938926    0.0954915    0.9510565    -3007.81478192154646    -3007.81584046161379    -3007.82112093065280
         18.0       180.0   -0.3090170    0.0000000    0.9510565    -3007.81488392177198    -3007.81671166381784    -3007.82181319847950
         18.0       198.0   -0.2938926   -0.0954915    0.9510565    -3007.81477190048599    -3007.81760407022466    -3007.82232194005837
