     theta        phi           Ex           Ey           Ez               Para_E              Ortho_E               Meta_E
---------------------------------------------------------------------------------------------------------------------------
          0.0         0.0    0.0000000    0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0        18.0    0.0000000    0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0        36.0    0.0000000    0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0        54.0    0.0000000    0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0        72.0    0.0000000    0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0        90.0    0.0000000    0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0       108.0   -0.0000000    0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0       126.0   -0.0000000    0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0       144.0   -0.0000000    0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0       162.0   -0.0000000    0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0       180.0   -0.0000000    0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0       198.0   -0.0000000   -0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0       216.0   -0.0000000   -0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0       234.0   -0.0000000   -0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0       252.0   -0.0000000   -0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0       270.0   -0.0000000   -0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0       288.0    0.0000000   -0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0       306.0    0.0000000   -0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0       324.0    0.0000000   -0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0       342.0    0.0000000   -0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          0.0       360.0    0.0000000   -0.0000000    1.0000000    -3006.09633481461015    -3006.10529073076123    -3006.11585038963358
          9.0         0.0    0.1564345    0.0000000    0.9876883    -3006.09322276437297    -3006.10589479423470    -3006.11425506442447
          9.0        18.0    0.1487780    0.0483409    0.9876883    -3006.09332772344442    -3006.10532481390510    -3006.11355905637583
          9.0        36.0    0.1265581    0.0919499    0.9876883    -3006.09362611599863    -3006.10459583972624    -3006.11299182546691
          9.0        54.0    0.0919499    0.1265581    0.9876883    -3006.09410365892927    -3006.10380876732870    -3006.11265506722202
          9.0        72.0    0.0483409    0.1487780    0.9876883    -3006.09473154014404    -3006.10309063131353    -3006.11261943984709
          9.0        90.0    0.0000000    0.1564345    0.9876883    -3006.09546181487667    -3006.10256266890246    -3006.11290345964471
          9.0       108.0   -0.0483409    0.1487780    0.9876883    -3006.09622702057595    -3006.10230940879501    -3006.11346570944215
          9.0       126.0   -0.0919499    0.1265581    0.9876883    -3006.09694593172298    -3006.10235866356197    -3006.11421360989289
          9.0       144.0   -0.1265581    0.0919499    0.9876883    -3006.09753462673234    -3006.10267803015540    -3006.11502647835187
          9.0       162.0   -0.1487780    0.0483409    0.9876883    -3006.09791998733226    -3006.10318820946668    -3006.11578553574645
