     theta        phi           Ex           Ey           Ez               Para_E              Ortho_E               Meta_E
---------------------------------------------------------------------------------------------------------------------------
          0.0         0.0    0.0000000    0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0        18.0    0.0000000    0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0        36.0    0.0000000    0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0        54.0    0.0000000    0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0        72.0    0.0000000    0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0        90.0    0.0000000    0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0       108.0   -0.0000000    0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0       126.0   -0.0000000    0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0       144.0   -0.0000000    0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0       162.0   -0.0000000    0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0       180.0   -0.0000000    0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0       198.0   -0.0000000   -0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0       216.0   -0.0000000   -0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0       234.0   -0.0000000   -0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0       252.0   -0.0000000   -0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0       270.0   -0.0000000   -0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0       288.0    0.0000000   -0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0       306.0    0.0000000   -0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0       324.0    0.0000000   -0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0       342.0    0.0000000   -0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          0.0       360.0    0.0000000   -0.0000000    1.0000000    -3006.12368567456042    -3006.12384888743145    -3006.13496638452307
          9.0         0.0    0.1564345    0.0000000    0.9876883    -3006.12040496309100    -3006.12449837802160    -3006.13320965074399
          9.0        18.0    0.1487780    0.0483409    0.9876883    -3006.12056977476368    -3006.12395455554997    -3006.13244515465021
          9.0        36.0    0.1265581    0.0919499    0.9876883    -3006.12106445904919    -3006.12336323139925    -3006.13189141925614
          9.0        54.0    0.0919499    0.1265581    0.9876883    -3006.12172991439184    -3006.12269526831869    -3006.13155383702997
          9.0        72.0    0.0483409    0.1487780    0.9876883    -3006.12248496685925    -3006.12206102884193    -3006.13155777649808
          9.0        90.0    0.0000000    0.1564345    0.9876883    -3006.12322388447728    -3006.12155025643278    -3006.13192711110059
          9.0       108.0   -0.0483409    0.1487780    0.9876883    -3006.12386748393374    -3006.12124808855197    -3006.13247681359735
          9.0       126.0   -0.0919499    0.1265581    0.9876883    -3006.12443962736052    -3006.12120333214807    -3006.13318689081370
          9.0       144.0   -0.1265581    0.0919499    0.9876883    -3006.12477737496374    -3006.12144396530448    -3006.13406085652423
          9.0       162.0   -0.1487780    0.0483409    0.9876883    -3006.12496251217135    -3006.12188017084191    -3006.13487043799660
          9.0       180.0   -0.1564345    0.0000000    0.9876883    -3006.12498450465228    -3006.12234784199927    -3006.13548503651373
          9.0       198.0   -0.1487780   -0.0483409    0.9876883    -3006.12490704671336    -3006.12292066386499    -3006.13591438120739
          9.0       216.0   -0.1265581   -0.0919499    0.9876883    -3006.12470110908362    -3006.12352835483989    -3006.13618607093122
          9.0       234.0   -0.0919499   -0.1265581    0.9876883    -3006.12435057523089    -3006.12403951030046    -3006.13632566176784
          9.0       252.0   -0.0483409   -0.1487780    0.9876883    -3006.12370327879307    -3006.12441989379158    -3006.13634032116533
          9.0       270.0   -0.0000000   -0.1564345    0.9876883    -3006.12292944361297    -3006.12470099619941    -3006.13618751021977
          9.0       288.0    0.0483409   -0.1487780    0.9876883    -3006.12212065711583    -3006.12486232092397    -3006.13579187316100
          9.0       306.0    0.0919499   -0.1265581    0.9876883    -3006.12133819083738    -3006.12497219220404    -3006.13517902458534
          9.0       324.0    0.1265581   -0.0919499    0.9876883    -3006.12066471983962    -3006.12496212965652    -3006.13441613378609
          9.0       342.0    0.1487780   -0.0483409    0.9876883    -3006.12018479284507    -3006.12471028236996    -3006.13367408517070
          9.0       360.0    0.1564345   -0.0000000    0.9876883    -3006.12040496309100    -3006.12449837802160    -3006.13320965074399
         18.0         0.0    0.3090170    0.0000000    0.9510565    -3006.11553690680830    -3006.12412553488912    -3006.13037088282272
         18.0        18.0    0.2938926    0.0954915    0.9510565    -3006.11588363186547    -3006.12334607988623    -3006.12880271420272
         18.0        36.0    0.2500000    0.1816356    0.9510565    -3006.11710074263328    -3006.12215638803718    -3006.12755879458746
         18.0        54.0    0.1816356    0.2500000    0.9510565    -3006.11886477259486    -3006.12076184105990    -3006.12694290546369
         18.0        72.0    0.0954915    0.2938926    0.9510565    -3006.12058109481450    -3006.11929769258222    -3006.12690157683437
         18.0        90.0    0.0000000    0.3090170    0.9510565    -3006.12200783419803    -3006.11822150939497    -3006.12760310195381
         18.0       108.0   -0.0954915    0.2938926    0.9510565    -3006.12322199108621    -3006.11752764158882    -3006.12867762670294
         18.0       126.0   -0.1816356    0.2500000    0.9510565    -3006.12420733147155    -3006.11739720372407    -3006.13033193151387
         18.0       144.0   -0.2500000    0.1816356    0.9510565    -3006.12453857960600    -3006.11796925230010    -3006.13221769062875
         18.0       162.0   -0.2938926    0.0954915    0.9510565    -3006.12444979450265    -3006.11885976180565    -3006.13375439599849
         18.0       180.0   -0.3090170    0.0000000    0.9510565    -3006.12432344569424    -3006.11996451303821    -3006.13464219975640
         18.0       198.0   -0.2938926   -0.0954915    0.9510565    -3006.12419972159660    -3006.12127174330089    -3006.13525961392816
         18.0       216.0   -0.2500000   -0.1816356    0.9510565    -3006.12402672179633    -3006.12236783313529    -3006.13552351383260
         18.0       234.0   -0.1816356   -0.2500000    0.9510565    -3006.12366757514610    -3006.12315453226302    -3006.13585507258040
         18.0       252.0   -0.0954915   -0.2938926    0.9510565    -3006.12303620705006    -3006.12360030551417    -3006.13563469801011
         18.0       270.0   -0.0000000   -0.3090170    0.9510565    -3006.12163904709723    -3006.12397860276133    -3006.13552899970773
         18.0       288.0    0.0954915   -0.2938926    0.9510565    -3006.12002114917414    -3006.12410446336207    -3006.13509214633768
         18.0       306.0    0.1816356   -0.2500000    0.9510565    -3006.11836002332620    -3006.12417809580438    -3006.13450100602131
         18.0       324.0    0.2500000   -0.1816356    0.9510565    -3006.11689202314392    -3006.12446499635917    -3006.13324543693807
         18.0       342.0    0.2938926   -0.0954915    0.9510565    -3006.11591330742385    -3006.12446779487391    -3006.13176074682769
         18.0       360.0    0.3090170   -0.0000000    0.9510565    -3006.11553690680830    -3006.12412553488912    -3006.13037088282272
         27.0         0.0    0.4539905    0.0000000    0.8910065    -3006.10945261031884    -3006.12287616597041    -3006.12689963546245
         27.0        18.0    0.4317706    0.1402908    0.8910065    -3006.11009209928170    -3006.12214936005330    -3006.12453558107018
         27.0        36.0    0.3672860    0.2668489    0.8910065    -3006.11190118174181    -3006.12053079951784    -3006.12234029365891
         27.0        54.0    0.2668489    0.3672860    0.8910065    -3006.11520506135503    -3006.11838702780142    -3006.12165797289708
         27.0        72.0    0.1402908    0.4317706    0.8910065    -3006.11825024169775    -3006.11608085140733    -3006.12127110603751
         27.0        90.0    0.0000000    0.4539905    0.8910065    -3006.12043900304070    -3006.11408634808095    -3006.12227159469603
         27.0       108.0   -0.1402908    0.4317706    0.8910065    -3006.12211081214127    -3006.11318941807986    -3006.12442373762133
         27.0       126.0   -0.2668489    0.3672860    0.8910065    -3006.12282065073077    -3006.11295452344211    -3006.12706687170430
         27.0       144.0   -0.3672860    0.2668489    0.8910065    -3006.12301397537749    -3006.11370533925219    -3006.12977489654804
         27.0       162.0   -0.4317706    0.1402908    0.8910065    -3006.12225843337637    -3006.11529383729930    -3006.13183498215994
         27.0       180.0   -0.4539905    0.0000000    0.8910065    -3006.12171985530449    -3006.11721950505171    -3006.13263720582199
         27.0       198.0   -0.4317706   -0.1402908    0.8910065    -3006.12162336075517    -3006.11916763216550    -3006.13299619392546
         27.0       216.0   -0.3672860   -0.2668489    0.8910065    -3006.12168936431681    -3006.12057740671344    -3006.13336250810653
         27.0       234.0   -0.2668489   -0.3672860    0.8910065    -3006.12170642269848    -3006.12139647402455    -3006.13269181450050
         27.0       252.0   -0.1402908   -0.4317706    0.8910065    -3006.12140894165577    -3006.12137798054164    -3006.13308583674325
         27.0       270.0   -0.0000000   -0.4539905    0.8910065    -3006.11964568108851    -3006.12149072912462    -3006.13318432321103
         27.0       288.0    0.1402908   -0.4317706    0.8910065    -3006.11737703318204    -3006.12135499206533    -3006.13285056605173
         27.0       306.0    0.2668489   -0.3672860    0.8910065    -3006.11484306584134    -3006.12152367401131    -3006.13269366532904
         27.0       324.0    0.3672860   -0.2668489    0.8910065    -3006.11248610408938    -3006.12220640215810    -3006.13145679489253
         27.0       342.0    0.4317706   -0.1402908    0.8910065    -3006.11088394372246    -3006.12276547058900    -3006.12895730855507
         27.0       360.0    0.4539905   -0.0000000    0.8910065    -3006.10945261031884    -3006.12287616597041    -3006.12689963546245
         36.0         0.0    0.5877853    0.0000000    0.8090170    -3006.10473459650984    -3006.12087416833219    -3006.12320778142930
         36.0        18.0    0.5590170    0.1816356    0.8090170    -3006.10522536458666    -3006.12043764735154    -3006.12005035748098
         36.0        36.0    0.4755283    0.3454915    0.8090170    -3006.10759901185065    -3006.11845639768762    -3006.11699039166979
         36.0        54.0    0.3454915    0.4755283    0.8090170    -3006.11143519257757    -3006.11546539030951    -3006.11602082987929
         36.0        72.0    0.1816356    0.5590170    0.8090170    -3006.11564962155717    -3006.11223517205508    -3006.11583856930929
         36.0        90.0    0.0000000    0.5877853    0.8090170    -3006.11843192089646    -3006.10976139392415    -3006.11750520109626
         36.0       108.0   -0.1816356    0.5590170    0.8090170    -3006.12024046424085    -3006.10825663519608    -3006.12040769743044
         36.0       126.0   -0.3454915    0.4755283    0.8090170    -3006.12056907204078    -3006.10811555125474    -3006.12376163282806
         36.0       144.0   -0.4755283    0.3454915    0.8090170    -3006.12010748400235    -3006.10923754465603    -3006.12700465575153
         36.0       162.0   -0.5590170    0.1816356    0.8090170    -3006.11857827881522    -3006.11148100825176    -3006.12934120421414
         36.0       180.0   -0.5877853    0.0000000    0.8090170    -3006.11758027119458    -3006.11438459247893    -3006.12981541812860
         36.0       198.0   -0.5590170   -0.1816356    0.8090170    -3006.11749201450993    -3006.11684394174290    -3006.12936362128266
         36.0       216.0   -0.4755283   -0.3454915    0.8090170    -3006.11802368819281    -3006.11827484964715    -3006.12915668885807
         36.0       234.0   -0.3454915   -0.4755283    0.8090170    -3006.11881274883035    -3006.11880271789823    -3006.12836448182725
         36.0       252.0   -0.1816356   -0.5590170    0.8090170    -3006.11924053051871    -3006.11842146826257    -3006.12864335198674
         36.0       270.0   -0.0000000   -0.5877853    0.8090170    -3006.11740361859756    -3006.11788318235722    -3006.12901688611237
         36.0       288.0    0.1816356   -0.5590170    0.8090170    -3006.11463820550262    -3006.11744217717705    -3006.12928373515115
         36.0       306.0    0.3454915   -0.4755283    0.8090170    -3006.11127807419143    -3006.11755213871675    -3006.12974355338338
         36.0       324.0    0.4755283   -0.3454915    0.8090170    -3006.10811070527052    -3006.11861507024696    -3006.12907693893067
         36.0       342.0    0.5590170   -0.1816356    0.8090170    -3006.10577745118508    -3006.12017704790424    -3006.12642070300262
         36.0       360.0    0.5877853   -0.0000000    0.8090170    -3006.10473459650984    -3006.12087416833219    -3006.12320778142930
         45.0         0.0    0.7071068    0.0000000    0.7071068    -3006.10017662873906    -3006.11865145128513    -3006.11994507867894
         45.0        18.0    0.6724985    0.2185080    0.7071068    -3006.10067665599399    -3006.11848183848997    -3006.11563774280603
         45.0        36.0    0.5720614    0.4156269    0.7071068    -3006.10371086964278    -3006.11615134480735    -3006.11232626140600
         45.0        54.0    0.4156269    0.5720614    0.7071068    -3006.10821665553158    -3006.11238951563200    -3006.11057283618948
         45.0        72.0    0.2185080    0.6724985    0.7071068    -3006.11301680232282    -3006.10894153118443    -3006.11089393814518
         45.0        90.0    0.0000000    0.7071068    0.7071068    -3006.11653612856935    -3006.10576733469225    -3006.11305888906918
         45.0       108.0   -0.2185080    0.6724985    0.7071068    -3006.11796037943668    -3006.10373062884855    -3006.11655852148033
         45.0       126.0   -0.4156269    0.5720614    0.7071068    -3006.11757735455967    -3006.10352492426136    -3006.12057411056003
         45.0       144.0   -0.5720614    0.4156269    0.7071068    -3006.11606786541961    -3006.10518212859643    -3006.12415838293145
         45.0       162.0   -0.6724985    0.2185080    0.7071068    -3006.11418405377981    -3006.10822163269404    -3006.12652075845881
         45.0       180.0   -0.7071068    0.0000000    0.7071068    -3006.11220900633271    -3006.11185440930558    -3006.12647527383797
         45.0       198.0   -0.6724985   -0.2185080    0.7071068    -3006.11237879457804    -3006.11450999382896    -3006.12539263692406
         45.0       216.0   -0.5720614   -0.4156269    0.7071068    -3006.11348739603000    -3006.11561342831828    -3006.12292483050851
         45.0       234.0   -0.4156269   -0.5720614    0.7071068    -3006.11530409685020    -3006.11545141035504    -3006.12271219731792
         45.0       252.0   -0.2185080   -0.6724985    0.7071068    -3006.11672788824262    -3006.11340043438395    -3006.12240512766539
         45.0       270.0   -0.0000000   -0.7071068    0.7071068    -3006.11621370631519    -3006.11243213223133    -3006.12358368048399
         45.0       288.0    0.2185080   -0.6724985    0.7071068    -3006.11301623284180    -3006.11142051740990    -3006.12478626640950
         45.0       306.0    0.4156269   -0.5720614    0.7071068    -3006.10884262097989    -3006.11132511713822    -3006.12611300636081
         45.0       324.0    0.5720614   -0.4156269    0.7071068    -3006.10428378052620    -3006.11334561275544    -3006.12622512025064
         45.0       342.0    0.6724985   -0.2185080    0.7071068    -3006.10080427606408    -3006.11681197328471    -3006.12372336549697
         45.0       360.0    0.7071068   -0.0000000    0.7071068    -3006.10017662873906    -3006.11865145128513    -3006.11994507867894
         54.0         0.0    0.8090170    0.0000000    0.5877853    -3006.09562546513735    -3006.11605755685105    -3006.11714593930992
         54.0        18.0    0.7694209    0.2500000    0.5877853    -3006.09704264481661    -3006.11636160492117    -3006.11199792641173
         54.0        36.0    0.6545085    0.4755283    0.5877853    -3006.10061577775514    -3006.11369036168162    -3006.10798860334035
         54.0        54.0    0.4755283    0.6545085    0.5877853    -3006.10573114976387    -3006.10979555929543    -3006.10607433905716
         54.0        72.0    0.2500000    0.7694209    0.5877853    -3006.11098534677240    -3006.10595495214602    -3006.10652458294862
         54.0        90.0    0.0000000    0.8090170    0.5877853    -3006.11450962026174    -3006.10212009996803    -3006.10906979208448
