theta,phi,E_SCF_ortho_int,E_CCSD_ortho_int,E_SCF_meta_int,E_CCSD_meta_int,E_SCF_para_int,E_CCSD_para_int
0.0,0.0,-3006.1052907307612,-3007.819260311262042,-3006.1158503896336,-3007.822182229682767,-3006.0963348146101,-3007.813860711746202
9.0,0.0,-3006.1058947942347,-3007.819379828356887,-3006.1142550644245,-3007.820981719826705,-3006.0932227643730,-3007.811621933184142
9.0,18.0,-3006.1053248139051,-3007.818956807843733,-3006.1135590563758,-3007.820545185854826,-3006.0933277234444,-3007.811714171655240
9.0,36.0,-3006.1045958397262,-3007.818499501528095,-3006.1129918254669,-3007.820229005748843,-3006.0936261159986,-3007.811982405246908
9.0,54.0,-3006.1038087673287,-3007.818056209881433,-3006.1126550672220,-3007.820076112867355,-3006.0941036589293,-3007.812392696178904
9.0,72.0,-3006.1030906313135,-3007.817679763551951,-3006.1126194398471,-3007.820106074247178,-3006.0947315401440,-3007.812894442704419
9.0,90.0,-3006.1025626689025,-3007.817418616129999,-3006.1129034596447,-3007.820311661139840,-3006.0954618148767,-3007.813429634121348
9.0,108.0,-3006.1023094087950,-3007.817308049362055,-3006.1134657094422,-3007.820660941650203,-3006.0962270205760,-3007.813941543125111
9.0,126.0,-3006.1023586635620,-3007.817362877849973,-3006.1142136098929,-3007.821104512307102,-3006.0969459317230,-3007.814382273455976
9.0,144.0,-3006.1026780301554,-3007.817574907258859,-3006.1150264783519,-3007.821587014827401,-3006.0975346267323,-3007.814716632585714
9.0,162.0,-3006.1031882094667,-3007.817914664074578,-3006.1157855357465,-3007.822055889553212,-3006.0979199873323,-3007.814924047079785
9.0,180.0,-3006.1037884448128,-3007.818337390689976,-3006.1164009340373,-3007.822468296880743,-3006.0980522356326,-3007.814993363258509
9.0,198.0,-3006.1043854977515,-3007.818791552501352,-3006.1168269535788,-3007.822797212113983,-3006.0979137136110,-3007.814921820423933
9.0,216.0,-3006.1049161730671,-3007.819228238781761,-3006.1170610522217,-3007.823025659858558,-3006.0975220838413,-3007.814713219539499
9.0,234.0,-3006.1053557338346,-3007.819607076056855,-3006.1171288072128,-3007.823144239167959,-3006.0969272958378,-3007.814379313424070
9.0,252.0,-3006.1057101871602,-3007.819899914394227,-3006.1170623535440,-3007.823146742099198,-3006.0962029409416,-3007.813940599312446
9.0,270.0,-3006.1059969862372,-3007.820090098139644,-3006.1168821676870,-3007.823027644594276,-3006.0954337668231,-3007.813431529756144
9.0,288.0,-3006.1062232693048,-3007.820169501452256,-3006.1165899632351,-3007.822786216548593,-3006.0947020675794,-3007.812898915963160
9.0,306.0,-3006.1063714754500,-3007.820135127804406,-3006.1161751417289,-3007.822429559745615,-3006.0940762934556,-3007.812398499346727
9.0,324.0,-3006.1063990070497,-3007.819987453598969,-3006.1156311867021,-3007.821981843696449,-3006.0936048381241,-3007.811987744079943
9.0,342.0,-3006.1062529691885,-3007.819731505561776,-3006.1149742081830,-3007.821481044649317,-3006.0933160480777,-3007.811717350992694
18.0,0.0,-3006.1055795514685,-3007.818693271653501,-3006.1117718752589,-3007.819000074395717,-3006.0890292219692,-3007.808536526154967
18.0,18.0,-3006.1045177767178,-3007.817923349962257,-3006.1101767180176,-3007.818070453099608,-3006.0891915192674,-3007.808729004581892
18.0,36.0,-3006.1029152433757,-3007.817033562697361,-3006.1087658958650,-3007.817388630484857,-3006.0896577663175,-3007.809289381231338
18.0,54.0,-3006.1010521537601,-3007.816126535813055,-3006.1078563452006,-3007.817066397868075,-3006.0904450988087,-3007.810135458172226
18.0,72.0,-3006.0993127184047,-3007.815330034892213,-3006.1076841263343,-3007.817152778398395,-3006.0915490533548,-3007.811146389280566
18.0,90.0,-3006.0980660048367,-3007.814767190154271,-3006.1083265539305,-3007.817623765785811,-3006.0929120138062,-3007.812187090516545
18.0,108.0,-3006.0975578202215,-3007.814528645954397,-3006.1096696350437,-3007.818389173095056,-3006.0944100264596,-3007.813136520122498
18.0,126.0,-3006.0978476366831,-3007.814652385399313,-3006.1114353478520,-3007.819316610663009,-3006.0958667291166,-3007.813908006860856
18.0,144.0,-3006.0988022860893,-3007.815115747637265,-3006.1132626761541,-3007.820265676205963,-3006.0970877038640,-3007.814459318207810
18.0,162.0,-3006.1001439504726,-3007.815840461613789,-3006.1148151429979,-3007.821120930652796,-3006.0978993609169,-3007.814781921546455
18.0,180.0,-3006.1015413344185,-3007.816711663817841,-3006.1158765357332,-3007.821813198479504,-3006.0981817296365,-3007.814883921771980
18.0,198.0,-3006.1027176529115,-3007.817604070224661,-3006.1164000749113,-3007.822321940058373,-3006.0978915102583,-3007.814771900485994
18.0,216.0,-3006.1035347619263,-3007.818410779661463,-3006.1164925436674,-3007.822659080445646,-3006.0970709712024,-3007.814443593430951
18.0,234.0,-3006.1040184275480,-3007.819061665297340,-3006.1163409731212,-3007.822845047785904,-3006.0958394981772,-3007.813893426957748
18.0,252.0,-3006.1043157913809,-3007.819528316861579,-3006.1161152439468,-3007.822882469193701,-3006.0943708922341,-3007.813129557780940
18.0,270.0,-3006.1046056071173,-3007.819812641551835,-3006.1158901557460,-3007.822748718838284,-3006.0928611250770,-3007.812191174391046
18.0,288.0,-3006.1050008654979,-3007.819928984516991,-3006.1156197079613,-3007.822405265610087,-3006.0914898715782,-3007.811160444838606
18.0,306.0,-3006.1054841379000,-3007.819885824633729,-3006.1151716281579,-3007.821823231348844,-3006.0903853706918,-3007.810155010810831
18.0,324.0,-3006.1058996804259,-3007.819676436990903,-3006.1144039544160,-3007.821010010505688,-3006.0896084139240,-3007.809307675363016
18.0,342.0,-3006.1060067053504,-3007.819282969212964,-3006.1132492544552,-3007.820029824452376,-3006.0891634243189,-3007.808739946233345
27.0,0.0,-3006.1044356669877,-3007.817291427059899,-3006.1086696751386,-3007.816458715270073,-3006.0841576230200,-3007.804944009078554
27.0,18.0,-3006.1030163227115,-3007.816288491051637,-3006.1060431293431,-3007.815031462519073,-3006.0843246149261,-3007.805232122947928
27.0,36.0,-3006.1004620211515,-3007.815031089859531,-3006.1035790733699,-3007.813973166836149,-3006.0848156865595,-3007.806073900616411
27.0,54.0,-3006.0973080879530,-3007.813682360844723,-3006.1019065114579,-3007.813481573924946,-3006.0857243790488,-3007.807332848080932
27.0,72.0,-3006.0943179610977,-3007.812462138959290,-3006.1015090986525,-3007.813642378621353,-3006.0871196801345,-3007.808806765425743
27.0,90.0,-3006.0922176612185,-3007.811587614086875,-3006.1025594845314,-3007.814408841966724,-3006.0889674278278,-3007.810272448994056
27.0,108.0,-3006.0914720691389,-3007.811217631347517,-3006.1048448318174,-3007.815613691516319,-3006.0910949037429,-3007.811539645909761
27.0,126.0,-3006.0921719546486,-3007.811417805313795,-3006.1078199031726,-3007.817016344821695,-3006.0932213445735,-3007.812495860367562
27.0,144.0,-3006.0940305692434,-3007.812147257143351,-3006.1107789978619,-3007.818369784003607,-3006.0950333728788,-3007.813118873505118
27.0,162.0,-3006.0964724056416,-3007.813266018063587,-3006.1130840206979,-3007.819490694985689,-3006.0962523388530,-3007.813449891484197
27.0,180.0,-3006.0988158166865,-3007.814568343119390,-3006.1143647447270,-3007.820297970828051,-3006.0966812013849,-3007.813543612799549
27.0,198.0,-3006.1005117370223,-3007.815838294145124,-3006.1146209480880,-3007.820813969415667,-3006.0962464367926,-3007.813427279357256
27.0,216.0,-3006.1013354845190,-3007.816907381807141,-3006.1141808542402,-3007.821124013840290,-3006.0950189684272,-3007.813083088950407
27.0,234.0,-3006.1014382318190,-3007.817690025069169,-3006.1135263944275,-3007.821314239810363,-3006.0931944430522,-3007.812462066024182
27.0,252.0,-3006.1012416046888,-3007.818186958313163,-3006.1130654382214,-3007.821414398995785,-3006.0910508515544,-3007.811522363904260
27.0,270.0,-3006.1012256338081,-3007.818453983579730,-3006.1129543443199,-3007.821375050531969,-3006.0889024983644,-3007.810279052619535
27.0,288.0,-3006.1017033707799,-3007.818558890716758,-3006.1130448239169,-3007.821085799061166,-3006.0870356172368,-3007.808835079961682
27.0,306.0,-3006.1026792921289,-3007.818534950869434,-3006.1129710737814,-3007.820436175230498,-3006.0856324326451,-3007.807372520363515
27.0,324.0,-3006.1038294851751,-3007.818362673781849,-3006.1123316472326,-3007.819381807408263,-3006.0847354150333,-3007.806110980485300
27.0,342.0,-3006.1046027241582,-3007.817973721510953,-3006.1108833758149,-3007.817994106696915,-3006.0842774014072,-3007.805254261464597
36.0,0.0,-3006.1026241529280,-3007.815338071586211,-3006.1052912466153,-3007.813632068116931,-3006.0790697953353,-3007.801219472480170
36.0,18.0,-3006.1010337183993,-3007.814239748944146,-3006.1015784420447,-3007.811750647989811,-3006.0791920173419,-3007.801589149662959
36.0,36.0,-3006.0975331390700,-3007.812713568093841,-3006.0979304921780,-3007.810340277757405,-3006.0795747347520,-3007.802672235590762
36.0,54.0,-3006.0929726396025,-3007.810983133911122,-3006.0953644358283,-3007.809693214426261,-3006.0804223979867,-3007.804279746783777
36.0,72.0,-3006.0885952326453,-3007.809372829833592,-3006.0946757735460,-3007.809936749265944,-3006.0819105476994,-3007.806125441109998
36.0,90.0,-3006.0855702274739,-3007.808205202523823,-3006.0961603356877,-3007.810998938633020,-3006.0840527659539,-3007.807893608321592
36.0,108.0,-3006.0846193880652,-3007.807712909720522,-3006.0994824277236,-3007.812625775221022,-3006.0866372313103,-3007.809327489764655
36.0,126.0,-3006.0858615420175,-3007.807990631604298,-3006.1037613533335,-3007.814450946394572,-3006.0892810787495,-3007.810302752115149
36.0,144.0,-3006.0888246632994,-3007.808978492948881,-3006.1078683349724,-3007.816109230555867,-3006.0915668517550,-3007.810847305187053
36.0,162.0,-3006.0925626417820,-3007.810467024518402,-3006.1108089995691,-3007.817349617827404,-3006.0931264904571,-3007.811082915732641
36.0,180.0,-3006.0959392705035,-3007.812145571258043,-3006.1120467479273,-3007.818097154601674,-3006.0936828929657,-3007.811130649019105
36.0,198.0,-3006.0980534308765,-3007.813695852346427,-3006.1116738972546,-3007.818447567989097,-3006.0931254321372,-3007.811044581255828
36.0,216.0,-3006.0985882827354,-3007.814890350497535,-3006.1103389981386,-3007.818595586657921,-3006.0915595201432,-3007.810786100888436
36.0,234.0,-3006.0978910816129,-3007.815646226065383,-3006.1089319469424,-3007.818724336707874,-3006.0892610221349,-3007.810244131013860
36.0,252.0,-3006.0967784091740,-3007.816022257266468,-3006.1081814747281,-3007.818906495901501,-3006.0865971161697,-3007.809296314525454
36.0,270.0,-3006.0961556860921,-3007.816161145673505,-3006.1083465636580,-3007.819058914860761,-3006.0839836616756,-3007.807902712893338
36.0,288.0,-3006.0966112527394,-3007.816206366363531,-3006.1091269987260,-3007.818975553532255,-3006.0818099311095,-3007.806170774646034
36.0,306.0,-3006.0981892018899,-3007.816228319507445,-3006.1098240410179,-3007.818426067584824,-3006.0803035072468,-3007.804343739696833
36.0,324.0,-3006.1003665605767,-3007.816190795537295,-3006.1096682187294,-3007.817280694378951,-3006.0794655762224,-3007.802731786965978
36.0,342.0,-3006.1021902015191,-3007.815953396175246,-3006.1081607008082,-3007.815599204242517,-3006.0791258062363,-3007.801624394876853
45.0,0.0,-3006.1003409213345,-3007.813042345520444,-3006.1020029224155,-3007.810810711605427,-3006.0742477222661,-3007.797727188782119
45.0,18.0,-3006.0988001141141,-3007.811994682945169,-3006.0972353766006,-3007.808558977983921,-3006.0742847580354,-3007.798156924212890
45.0,36.0,-3006.0944555713968,-3007.810322113834900,-3006.0923668327682,-3007.806849867396977,-3006.0744511449984,-3007.799421361066379
45.0,54.0,-3006.0884991539556,-3007.808303471504132,-3006.0888510384052,-3007.806072700654113,-3006.0750801273412,-3007.801284026273606
45.0,72.0,-3006.0827128244191,-3007.806369248853116,-3006.0878352654959,-3007.806397690419089,-3006.0764635946880,-3007.803377826511678
45.0,90.0,-3006.0787654467149,-3007.804951551711838,-3006.0897535416802,-3007.807729983342597,-3006.0786776428668,-3007.805298385807873
45.0,108.0,-3006.0776535266386,-3007.804356312617529,-3006.0941258766184,-3007.809724755162279,-3006.0814902214493,-3007.806733092434570
45.0,126.0,-3006.0795184634885,-3007.804706387248189,-3006.0996878139345,-3007.811883174961622,-3006.0844358375839,-3007.807564584913052
45.0,144.0,-3006.0836943557106,-3007.805924866622263,-3006.1048470655733,-3007.813719233884513,-3006.0870272440275,-3007.807896312611774
45.0,162.0,-3006.0888237892932,-3007.807730491167604,-3006.1082393474185,-3007.814925162062536,-3006.0888323956442,-3007.807951181824592
45.0,180.0,-3006.0932393143157,-3007.809699400647787,-3006.1091682593510,-3007.815449528829959,-3006.0894888732651,-3007.807924094878672
