     Theta        Phi           Ex           Ey           Ez              Nitro_E
----------------------------------------------------------------------------------
     0.000      0.000     0.000000     0.000000     0.100000    -436.565957271564
     0.000      8.780     0.000000     0.000000     0.100000    -436.565957271564
     0.000     17.561     0.000000     0.000000     0.100000    -436.565957271564
     0.000     26.341     0.000000     0.000000     0.100000    -436.565957271564
     0.000     35.122     0.000000     0.000000     0.100000    -436.565957271564
     0.000     43.902     0.000000     0.000000     0.100000    -436.565957271564
     0.000     52.683     0.000000     0.000000     0.100000    -436.565957271564
     0.000     61.463     0.000000     0.000000     0.100000    -436.565957271564
     0.000     70.244     0.000000     0.000000     0.100000    -436.565957271564
     0.000     79.024     0.000000     0.000000     0.100000    -436.565957271564
     0.000     87.805     0.000000     0.000000     0.100000    -436.565957271564
     0.000     96.585    -0.000000     0.000000     0.100000    -436.565957271564
     0.000    105.366    -0.000000     0.000000     0.100000    -436.565957271564
     0.000    114.146    -0.000000     0.000000     0.100000    -436.565957271564
     0.000    122.927    -0.000000     0.000000     0.100000    -436.565957271564
     0.000    131.707    -0.000000     0.000000     0.100000    -436.565957271564
     0.000    140.488    -0.000000     0.000000     0.100000    -436.565957271564
     0.000    149.268    -0.000000     0.000000     0.100000    -436.565957271564
     0.000    158.049    -0.000000     0.000000     0.100000    -436.565957271564
     0.000    166.829    -0.000000     0.000000     0.100000    -436.565957271564
     0.000    175.610    -0.000000     0.000000     0.100000    -436.565957271564
     0.000    184.390    -0.000000    -0.000000     0.100000    -436.565957271564
     0.000    193.171    -0.000000    -0.000000     0.100000    -436.565957271564
     0.000    201.951    -0.000000    -0.000000     0.100000    -436.565957271564
     0.000    210.732    -0.000000    -0.000000     0.100000    -436.565957271564
     0.000    219.512    -0.000000    -0.000000     0.100000    -436.565957271564
     0.000    228.293    -0.000000    -0.000000     0.100000    -436.565957271564
     0.000    237.073    -0.000000    -0.000000     0.100000    -436.565957271564
     0.000    245.854    -0.000000    -0.000000     0.100000    -436.565957271564
     0.000    254.634    -0.000000    -0.000000     0.100000    -436.565957271564
     0.000    263.415    -0.000000    -0.000000     0.100000    -436.565957271564
     0.000    272.195     0.000000    -0.000000     0.100000    -436.565957271564
     0.000    280.976     0.000000    -0.000000     0.100000    -436.565957271564
     0.000    289.756     0.000000    -0.000000     0.100000    -436.565957271564
     0.000    298.537     0.000000    -0.000000     0.100000    -436.565957271564
     0.000    307.317     0.000000    -0.000000     0.100000    -436.565957271564
     0.000    316.098     0.000000    -0.000000     0.100000    -436.565957271564
     0.000    324.878     0.000000    -0.000000     0.100000    -436.565957271564
     0.000    333.659     0.000000    -0.000000     0.100000    -436.565957271564
     0.000    342.439     0.000000    -0.000000     0.100000    -436.565957271564
     0.000    351.220     0.000000    -0.000000     0.100000    -436.565957271564
     0.000    360.000     0.000000    -0.000000     0.100000    -436.565957271564
     4.390      0.000     0.007655     0.000000     0.099707    -436.565559384458
     4.390      8.780     0.007565     0.001169     0.099707    -436.565655150056
     4.390     17.561     0.007298     0.002310     0.099707    -436.565748603380
     4.390     26.341     0.006860     0.003397     0.099707    -436.565837882811
     4.390     35.122     0.006261     0.004404     0.099707    -436.565921409399
     4.390     43.902     0.005516     0.005308     0.099707    -436.565997874871
     4.390     52.683     0.004641     0.006088     0.099707    -436.566066210745
     4.390     61.463     0.003657     0.006725     0.099707    -436.566125545306
     4.390     70.244     0.002587     0.007204     0.099707    -436.566175155996
     4.390     79.024     0.001457     0.007515     0.099707    -436.566214424628
     4.390     87.805     0.000293     0.007649     0.099707    -436.566242802067
     4.390     96.585    -0.000878     0.007604     0.099707    -436.566259787457
     4.390    105.366    -0.002028     0.007381     0.099707    -436.566264925336
     4.390    114.146    -0.003131     0.006985     0.099707    -436.566257821833
     4.390    122.927    -0.004161     0.006425     0.099707    -436.566238179046
