     Theta        Phi           Ex           Ey           Ez               Para_E              Ortho_E               Meta_E
----------------------------------------------------------------------------------------------------------------------------
     0.000      0.000     0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000     18.000     0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000     36.000     0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000     54.000     0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000     72.000     0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000     90.000     0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    108.000    -0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    126.000    -0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    144.000    -0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    162.000    -0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    180.000    -0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    198.000    -0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    216.000    -0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    234.000    -0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    252.000    -0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    270.000    -0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    288.000     0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    306.000     0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    324.000     0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    342.000     0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    360.000     0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     9.000      0.000     0.015643     0.000000     0.098769   -3009.637848935374   -3009.646139264377   -3009.648251897437
     9.000     18.000     0.014878     0.004834     0.098769   -3009.637987046920   -3009.645375110403   -3009.647362377731
     9.000     36.000     0.012656     0.009195     0.098769   -3009.638380105505   -3009.644449659104   -3009.646643965702
     9.000     54.000     0.009195     0.012656     0.098769   -3009.639009701315   -3009.643485137293   -3009.646212733549
     9.000     72.000     0.004834     0.014878     0.098769   -3009.639837797713   -3009.642624691845   -3009.646151191353
     9.000     90.000     0.000000     0.015643     0.098769   -3009.640800328402   -3009.641998684155   -3009.646485316168
     9.000    108.000    -0.004834     0.014878     0.098769   -3009.641807139709   -3009.641694929779   -3009.647173806228
     9.000    126.000    -0.009195     0.012656     0.098769   -3009.642750591333   -3009.641741649557   -3009.648114193164
     9.000    144.000    -0.012656     0.009195     0.098769   -3009.643520942916   -3009.642106345917   -3009.649165474854
     9.000    162.000    -0.014878     0.004834     0.098769   -3009.644023972831   -3009.642709155985   -3009.650180941465
     9.000    180.000    -0.015643     0.000000     0.098769   -3009.644196331894   -3009.643446177189   -3009.651040418071
     9.000    198.000    -0.014878    -0.004834     0.098769   -3009.644015746065   -3009.644215894762   -3009.651670953757
     9.000    216.000    -0.012656    -0.009195     0.098769   -3009.643504610257   -3009.644940495615   -3009.652049702103
     9.000    234.000    -0.009195    -0.012656     0.098769   -3009.642726518388   -3009.645575223421   -3009.652190335264
