     Theta        Phi           Ex           Ey           Ez               Para_E              Ortho_E               Meta_E
----------------------------------------------------------------------------------------------------------------------------
     0.000      0.000     0.000000     0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000     18.000     0.000000     0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000     36.000     0.000000     0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000     54.000     0.000000     0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000     72.000     0.000000     0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000     90.000     0.000000     0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000    108.000    -0.000000     0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000    126.000    -0.000000     0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000    144.000    -0.000000     0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000    162.000    -0.000000     0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000    180.000    -0.000000     0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000    198.000    -0.000000    -0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000    216.000    -0.000000    -0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000    234.000    -0.000000    -0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000    252.000    -0.000000    -0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000    270.000    -0.000000    -0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000    288.000     0.000000    -0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000    306.000     0.000000    -0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000    324.000     0.000000    -0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000    342.000     0.000000    -0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     0.000    360.000     0.000000    -0.000000     0.100000   -3010.338570570243   -3010.342877887723   -3010.348170556672
     9.000      0.000     0.015643     0.000000     0.098769   -3010.334999202893   -3010.343369697422   -3010.346311878338
     9.000     18.000     0.014878     0.004834     0.098769   -3010.335114824366   -3010.342742414008   -3010.345534988101
     9.000     36.000     0.012656     0.009195     0.098769   -3010.335439337345   -3010.341951552926   -3010.344888795323
     9.000     54.000     0.009195     0.012656     0.098769   -3010.335960893075   -3010.341108138068   -3010.344485460375
     9.000     72.000     0.004834     0.014878     0.098769   -3010.336652317421   -3010.340347415711   -3010.344407704800
     9.000     90.000     0.000000     0.015643     0.098769   -3010.337463884858   -3010.339794787950   -3010.344684564976
     9.000    108.000    -0.004834     0.014878     0.098769   -3010.338321500846   -3010.339534533314   -3010.345279968139
     9.000    126.000    -0.009195     0.012656     0.098769   -3010.339132864125   -3010.339591176470   -3010.346098876938
     9.000    144.000    -0.012656     0.009195     0.098769   -3010.339800585317   -3010.339928142500   -3010.347010093584
     9.000    162.000    -0.014878     0.004834     0.098769   -3010.340238662912   -3010.340462811007   -3010.347878765567
     9.000    180.000    -0.015643     0.000000     0.098769   -3010.340388069038   -3010.341092611935   -3010.348597738971
     9.000    198.000    -0.014878    -0.004834     0.098769   -3010.340227832583   -3010.341723662635   -3010.349107167872
     9.000    216.000    -0.012656    -0.009195     0.098769   -3010.339779125182   -3010.342292433461   -3010.349396435981
     9.000    234.000    -0.009195    -0.012656     0.098769   -3010.339101403430   -3010.342773230255   -3010.349489646989
     9.000    252.000    -0.004834    -0.014878     0.098769   -3010.338281491496   -3010.343169754467   -3010.349422506734
     9.000    270.000    -0.000000    -0.015643     0.098769   -3010.337418034402   -3010.343495493335   -3010.349221377659
     9.000    288.000     0.004834    -0.014878     0.098769   -3010.336604846442   -3010.343752246632   -3010.348893468903
     9.000    306.000     0.009195    -0.012656     0.098769   -3010.335917345329   -3010.343916687561   -3010.348431626377
     9.000    324.000     0.012656    -0.009195     0.098769   -3010.335405771827   -3010.343941451865   -3010.347830588042
     9.000    342.000     0.014878    -0.004834     0.098769   -3010.335096502742   -3010.343771438934   -3010.347106703953
     9.000    360.000     0.015643    -0.000000     0.098769   -3010.334999202890   -3010.343369697423   -3010.346311878338
    18.000      0.000     0.030902     0.000000     0.095106   -3010.330036999957   -3010.342577875995   -3010.343204142700
    18.000     18.000     0.029389     0.009549     0.095106   -3010.330206605205   -3010.341382022367   -3010.341458039353
    18.000     36.000     0.025000     0.018164     0.095106   -3010.330687321710   -3010.339629402594   -3010.339875150659
    18.000     54.000     0.018164     0.025000     0.095106   -3010.331516966795   -3010.337634054771   -3010.338797994214
    18.000     72.000     0.009549     0.029389     0.095106   -3010.332711484940   -3010.335807173579   -3010.338499889458
    18.000     90.000     0.000000     0.030902     0.095106   -3010.334220480471   -3010.334527154887   -3010.339096940865
    18.000    108.000    -0.009549     0.029389     0.095106   -3010.335908325929   -3010.334030577229   -3010.340500123903
    18.000    126.000    -0.018164     0.025000     0.095106   -3010.337570749051   -3010.334357877615   -3010.342429315740
    18.000    144.000    -0.025000     0.018164     0.095106   -3010.338976840006   -3010.335358531091   -3010.344491568974
    18.000    162.000    -0.029389     0.009549     0.095106   -3010.339916691739   -3010.336745766389   -3010.346299127707
    18.000    180.000    -0.030902     0.000000     0.095106   -3010.340242949977   -3010.338187622353   -3010.347583482946
    18.000    198.000    -0.029389    -0.009549     0.095106   -3010.339901895867   -3010.339411206491   -3010.348261418107
    18.000    216.000    -0.025000    -0.018164     0.095106   -3010.338946021441   -3010.340283308662   -3010.348427507609
    18.000    234.000    -0.018164    -0.025000     0.095106   -3010.337522250128   -3010.340833356326   -3010.348279221985
    18.000    252.000    -0.009549    -0.029389     0.095106   -3010.335841255691   -3010.341208740172   -3010.348010851242
    18.000    270.000    -0.000000    -0.030902     0.095106   -3010.334136415417   -3010.341582691543   -3010.347723707222
    18.000    288.000     0.009549    -0.029389     0.095106   -3010.332616616202   -3010.342055970407   -3010.347389556885
    18.000    306.000     0.018164    -0.025000     0.095106   -3010.331423258201   -3010.342594453079   -3010.346879677088
    18.000    324.000     0.025000    -0.018164     0.095106   -3010.330610942129   -3010.343025576676   -3010.346043540349
    18.000    342.000     0.029389    -0.009549     0.095106   -3010.330163445119   -3010.343096195323   -3010.344800372461
    18.000    360.000     0.030902    -0.000000     0.095106   -3010.330036999955   -3010.342577875992   -3010.343204142700
    27.000      0.000     0.045399     0.000000     0.089101   -3010.324168269774   -3010.340660516129   -3010.339184208666
    27.000     18.000     0.043177     0.014029     0.089101   -3010.324323573799   -3010.339022549815   -3010.336349952505
    27.000     36.000     0.036729     0.026685     0.089101   -3010.324776973369   -3010.336205663354   -3010.333613210395
    27.000     54.000     0.026685     0.036729     0.089101   -3010.325679684029   -3010.332819529928   -3010.331644772177
    27.000     72.000     0.014029     0.043177     0.089101   -3010.327156759505   -3010.329689700171   -3010.331000949984
    27.000     90.000     0.000000     0.045399     0.089101   -3010.329196638596   -3010.327560658852   -3010.331939284076
    27.000    108.000    -0.014029     0.043177     0.089101   -3010.331607073189   -3010.326869260187   -3010.334307121367
