# θ (°)	φ (°)	Ex (unit vec.)	Ey (unit vec.)	Ez (unit vec.)	omega (a.u.)
# 62.6	62.6	0.383022	0.821394	0.422618	0.066150
lambda   Ortho_E        Meta_E          Para_E          DeltaE_OM       DeltaE_PM
0.01	-3007.953092	-3007.955004	-3007.947301	1.199839607	4.833787492
0.02	-3007.947536	-3007.948625	-3007.941913	0.6834746239	4.211522986
0.03	-3007.938339	-3007.938064	-3007.932993	-0.1724017398	3.182278781
0.04	-3007.925595	-3007.923425	-3007.920625	-1.361357343	1.757118769
0.05	-3007.909428	-3007.904845	-3007.904926	-2.875846465	-0.05083683146
0.06	-3007.889992	-3007.882492	-3007.88604	-4.706568926	-2.226214529
0.07	-3007.867464	-3007.856556	-3007.864132	-6.844835123	-4.75353451
0.08	-3007.842045	-3007.827255	-3007.839392	-9.280984773	-7.616070258
0.09	-3007.813957	-3007.794828	-3007.812034	-12.00388292	-10.79744522
0.1	-3007.783455	-3007.759563	-3007.78231	-14.99227767	-14.27396489
