job_id,isomer,sample_index,theta_deg,phi_deg,lambda_mag,lambda_x,lambda_y,lambda_z,omega,charge,multiplicity,functional,basis,energy_hartree,status,log_file,psi4_output_file
para_dirA_r008_th154_ph0,para,008,154,0,0.1,0.04383711467890773,0.0,-0.08987940462991671,0.06615,1,1,wb97x,6-311G*,-3010.3384453688177018,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r008_th154_ph0.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r008_th154_ph0.dat
para_dirA_r002_th130_ph0,para,002,130,0,0.1,0.0766044443118978,0.0,-0.06427876096865394,0.06615,1,1,wb97x,6-311G*,-3010.3255568888866947,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r002_th130_ph0.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r002_th130_ph0.dat
para_dirA_r009_th138_ph55,para,009,138,55,0.1,0.03837975486487287,0.05481197040951916,-0.07431448254773941,0.06615,1,1,wb97x,6-311G*,-3010.3246726205943560,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r009_th138_ph55.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r009_th138_ph55.dat
para_dirA_r007_th125_ph50,para,007,125,50,0.1,0.05265407845183633,0.06275068715971331,-0.05735764363510463,0.06615,1,1,wb97x,6-311G*,-3010.3160570901632127,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r007_th125_ph50.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r007_th125_ph50.dat
para_dirA_r004_th125_ph29,para,004,125,29,0.1,0.07164465210786754,0.03971327915157569,-0.05735764363510463,0.06615,1,1,wb97x,6-311G*,-3010.3197562314762763,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r004_th125_ph29.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r004_th125_ph29.dat
para_dirA_r006_th144_ph17,para,006,144,17,0.1,0.05621018322522249,0.01718517762236343,-0.08090169943749474,0.06615,1,1,wb97x,6-311G*,-3010.3335922259689141,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r006_th144_ph17.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r006_th144_ph17.dat
para_dirA_r003_th113_ph36,para,003,113,36,0.1,0.07447040698476448,0.05410591775229887,-0.03907311284892739,0.06615,1,1,wb97x,6-311G*,-3010.3101210175591405,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r003_th113_ph36.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r003_th113_ph36.dat
para_dirA_r001_th101_ph31,para,001,101,31,0.1,0.08414187231316514,0.050557537484226346,-0.019080899537654482,0.06615,1,1,wb97x,6-311G*,-3010.3039445799008718,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r001_th101_ph31.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r001_th101_ph31.dat
para_dirA_r005_th136_ph36,para,005,136,36,0.1,0.05619904269861367,0.04083099455373199,-0.07193398003386513,0.06615,1,1,wb97x,6-311G*,-3010.3265357890386440,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r005_th136_ph36.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r005_th136_ph36.dat
para_dirA_r010_th124_ph69,para,010,124,69,0.1,0.029710049497256353,0.07739732505681407,-0.05591929034707467,0.06615,1,1,wb97x,6-311G*,-3010.3115431117475964,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r010_th124_ph69.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r010_th124_ph69.dat
