Sampling file: /Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/trajectory_sampling_direction_A.dat
Output directory: /Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results
Total jobs selected: 75
Already completed: 0
Pending jobs: 75
Workers: 9
Threads per worker: 1
Memory per worker: 2 GB
para_dirA_r008_th154_ph0: ok energy=-3010.3384453688177018
para_dirA_r002_th130_ph0: ok energy=-3010.3255568888866947
para_dirA_r009_th138_ph55: ok energy=-3010.3246726205943560
para_dirA_r007_th125_ph50: ok energy=-3010.3160570901632127
para_dirA_r004_th125_ph29: ok energy=-3010.3197562314762763
para_dirA_r006_th144_ph17: ok energy=-3010.3335922259689141
para_dirA_r003_th113_ph36: ok energy=-3010.3101210175591405
para_dirA_r001_th101_ph31: ok energy=-3010.3039445799008718
para_dirA_r005_th136_ph36: ok energy=-3010.3265357890386440
para_dirA_r010_th124_ph69: ok energy=-3010.3115431117475964
para_dirA_r011_th158_ph44: ok energy=-3010.3372094838209705
para_dirA_r012_th149_ph65: ok energy=-3010.3302213600786672
para_dirA_r016_th159_ph40: ok energy=-3010.3378892154255482
para_dirA_r015_th134_ph71: ok energy=-3010.3186570304087581
para_dirA_r013_th139_ph83: ok energy=-3010.3202074612122487
para_dirA_r018_th153_ph13: ok energy=-3010.3378410490263377
para_dirA_r017_th146_ph42: ok energy=-3010.3319599432870746
para_dirA_r014_th157_ph73: ok energy=-3010.3335290378095124
para_dirA_r020_th139_ph1: ok energy=-3010.3313915287076270
para_dirA_r021_th135_ph21: ok energy=-3010.3277991674640361
para_dirA_r019_th130_ph39: ok energy=-3010.3217919194826209
para_dirA_r023_th119_ph26: ok energy=-3010.3158689760416564
para_dirA_r022_th116_ph41: ok energy=-3010.3112625916764955
para_dirA_r024_th124_ph9: ok energy=-3010.3211240891978377
meta_dirA_r001_th101_ph31: ok energy=-3010.3119268147465846
para_dirA_r025_th105_ph32: ok energy=-3010.3058789753977180
meta_dirA_r002_th130_ph0: ok energy=-3010.3355107528068402
meta_dirA_r003_th113_ph36: ok energy=-3010.3171534991092813
meta_dirA_r005_th136_ph36: ok energy=-3010.3348372011287211
meta_dirA_r004_th125_ph29: ok energy=-3010.3280379371467461
meta_dirA_r008_th154_ph0: ok energy=-3010.3455867000238868
meta_dirA_r007_th125_ph50: ok energy=-3010.3230443064053361
meta_dirA_r006_th144_ph17: ok energy=-3010.3418056522659754
meta_dirA_r011_th158_ph44: ok energy=-3010.3471608503941752
meta_dirA_r009_th138_ph55: ok energy=-3010.3338866400249572
meta_dirA_r010_th124_ph69: ok energy=-3010.3194626379258807
meta_dirA_r012_th149_ph65: ok energy=-3010.3417281075430765
meta_dirA_r015_th134_ph71: ok energy=-3010.3290444960152854
meta_dirA_r016_th159_ph40: ok energy=-3010.3475721379882089
meta_dirA_r014_th157_ph73: ok energy=-3010.3460769016237464
meta_dirA_r013_th139_ph83: ok energy=-3010.3335327486929600
meta_dirA_r017_th146_ph42: ok energy=-3010.3411482692763457
meta_dirA_r020_th139_ph1: ok energy=-3010.3397709660844157
meta_dirA_r018_th153_ph13: ok energy=-3010.3457044764963939
meta_dirA_r019_th130_ph39: ok energy=-3010.3296250329635768
meta_dirA_r021_th135_ph21: ok energy=-3010.3363726496513664
meta_dirA_r024_th124_ph9: ok energy=-3010.3316308502339780
meta_dirA_r023_th119_ph26: ok energy=-3010.3246177018836534
meta_dirA_r022_th116_ph41: ok energy=-3010.3177355400898705
meta_dirA_r025_th105_ph32: ok energy=-3010.3135820713737303
ortho_dirA_r002_th130_ph0: ok energy=-3010.3245471240838924
ortho_dirA_r001_th101_ph31: ok energy=-3010.3179263672163870
ortho_dirA_r003_th113_ph36: ok energy=-3010.3194868641066932
ortho_dirA_r004_th125_ph29: ok energy=-3010.3250236072599364
ortho_dirA_r005_th136_ph36: ok energy=-3010.3293660494550750
ortho_dirA_r008_th154_ph0: ok energy=-3010.3349353943931419
ortho_dirA_r006_th144_ph17: ok energy=-3010.3325364954398538
ortho_dirA_r007_th125_ph50: ok energy=-3010.3215507395111672
ortho_dirA_r009_th138_ph55: ok energy=-3010.3287767290535157
ortho_dirA_r010_th124_ph69: ok energy=-3010.3163459294237327
ortho_dirA_r011_th158_ph44: ok energy=-3010.3392386871028066
ortho_dirA_r012_th149_ph65: ok energy=-3010.3350017133584515
ortho_dirA_r013_th139_ph83: ok energy=-3010.3270572142046149
ortho_dirA_r014_th157_ph73: ok energy=-3010.3392179086981741
ortho_dirA_r016_th159_ph40: ok energy=-3010.3394758988683861
ortho_dirA_r015_th134_ph71: ok energy=-3010.3239573473592827
ortho_dirA_r017_th146_ph42: ok energy=-3010.3340405401472708
ortho_dirA_r019_th130_ph39: ok energy=-3010.3261726872697182
ortho_dirA_r018_th153_ph13: ok energy=-3010.3358428291990094
ortho_dirA_r021_th135_ph21: ok energy=-3010.3291018134609658
