#Theta	Phi	lambda_mag	omega	charge	multiplicity	functional	basis
101	31	0.1	0.06615	1	1	wb97x	6-311G*
130	0	0.1	0.06615	1	1	wb97x	6-311G*
113	36	0.1	0.06615	1	1	wb97x	6-311G*
125	29	0.1	0.06615	1	1	wb97x	6-311G*
136	36	0.1	0.06615	1	1	wb97x	6-311G*
144	17	0.1	0.06615	1	1	wb97x	6-311G*
125	50	0.1	0.06615	1	1	wb97x	6-311G*
154	0	0.1	0.06615	1	1	wb97x	6-311G*
138	55	0.1	0.06615	1	1	wb97x	6-311G*
124	69	0.1	0.06615	1	1	wb97x	6-311G*
158	44	0.1	0.06615	1	1	wb97x	6-311G*
149	65	0.1	0.06615	1	1	wb97x	6-311G*
139	83	0.1	0.06615	1	1	wb97x	6-311G*
157	73	0.1	0.06615	1	1	wb97x	6-311G*
134	71	0.1	0.06615	1	1	wb97x	6-311G*
159	40	0.1	0.06615	1	1	wb97x	6-311G*
146	42	0.1	0.06615	1	1	wb97x	6-311G*
153	13	0.1	0.06615	1	1	wb97x	6-311G*
130	39	0.1	0.06615	1	1	wb97x	6-311G*
139	1	0.1	0.06615	1	1	wb97x	6-311G*
135	21	0.1	0.06615	1	1	wb97x	6-311G*
116	41	0.1	0.06615	1	1	wb97x	6-311G*
119	26	0.1	0.06615	1	1	wb97x	6-311G*
124	9	0.1	0.06615	1	1	wb97x	6-311G*
105	32	0.1	0.06615	1	1	wb97x	6-311G*
