theta,phi,Ex,Ey,Ez,lambda_magnitude,xyz_file_name
158.0,44.0,0.026946943211334465,0.026022360574549375,-0.09271838545667874,0.1,meta_dirA11_r001_th158_ph44.xyz
130.0,0.0,0.0766044443118978,0.0,-0.06427876096865394,0.1,meta_dirA2_r001_th130_ph0.xyz
144.0,17.0,0.05621018322522249,0.01718517762236343,-0.08090169943749474,0.1,meta_dirA6_r001_th144_ph17.xyz
154.0,0.0,0.04383711467890773,0.0,-0.08987940462991671,0.1,meta_dirA8_r001_th154_ph0.xyz
124.0,69.0,0.029710049497256353,0.07739732505681407,-0.05591929034707467,0.1,ortho_dirA10_r001_th124_ph69.xyz
158.0,44.0,0.026946943211334465,0.026022360574549375,-0.09271838545667874,0.1,ortho_dirA11_r001_th158_ph44.xyz
149.0,65.0,0.021766449594876336,0.046678301791134774,-0.08571673007021123,0.1,ortho_dirA12_r001_th149_ph65.xyz
139.0,83.0,0.007995348309809176,0.06511688644740705,-0.07547095802227721,0.1,ortho_dirA13_r001_th139_ph83.xyz
157.0,73.0,0.011423872612464768,0.03736580364770964,-0.09205048534524404,0.1,ortho_dirA14_r001_th157_ph73.xyz
134.0,71.0,0.023419413122383426,0.06801491433880984,-0.06946583704589974,0.1,ortho_dirA15_r001_th134_ph71.xyz
159.0,40.0,0.02745257763411196,0.023035447767648987,-0.0933580426497202,0.1,ortho_dirA16_r001_th159_ph40.xyz
146.0,42.0,0.04155613126579656,0.03741730865709514,-0.08290375725550417,0.1,ortho_dirA17_r001_th146_ph42.xyz
153.0,13.0,0.04423547526431036,0.010212564157850924,-0.08910065241883679,0.1,ortho_dirA18_r001_th153_ph13.xyz
130.0,39.0,0.05953283452664681,0.04820873885051902,-0.06427876096865394,0.1,ortho_dirA19_r001_th130_ph39.xyz
101.0,31.0,0.08414187231316514,0.050557537484226346,-0.019080899537654482,0.1,ortho_dirA1_r001_th101_ph31.xyz
139.0,1.0,0.06559591080226988,0.00114498088207919,-0.07547095802227721,0.1,ortho_dirA20_r001_th139_ph1.xyz
135.0,21.0,0.06601410503592008,0.025340440728340043,-0.07071067811865477,0.1,ortho_dirA21_r001_th135_ph21.xyz
