theta,phi,theta_plot,meta,ortho,para,relaxed_dE_om,relaxed_dE_pm,quality_om,quality_pm,nearest_trajectory_step,nearest_trajectory_time_fs,nearest_trajectory_angular_dist_deg
101.0,31.0,79.0,-3010.3213953397935,-3010.328164917532,-3010.320308314046,-4.2479741662501675,0.6821189550678799,provisional_stalled,provisional_stalled,13,7.8613729999999995,6.669298089004566
105.0,32.0,75.0,,-3010.329300564113,-3010.322413931199,,,provisional_stalled,provisional_stalled,14,8.466094,2.8239210328902544
113.0,36.0,67.0,-3010.3284918863883,-3010.3319152984673,-3010.3282413929956,-2.148223513177826,0.15718697713530644,provisional_stalled,provisional_stalled,3317,2005.8595569999998,0.9659917183910062
116.0,41.0,64.0,,-3010.3328740004986,-3010.3312276449337,,,provisional_stalled,provisional_stalled,1729,1045.5626089999998,0.5867623028109433
119.0,26.0,61.0,,-3010.3342227258927,-3010.3309537940654,,,provisional_stalled,provisional_stalled,1626,983.2763459999999,5.742324006880839
124.0,9.0,56.0,,-3010.3336942734086,-3010.334017747514,,,provisional_stalled,provisional_stalled,1627,983.8810669999999,20.489673984717278
124.0,69.0,56.0,-3010.3378415221655,-3010.333465563324,-3010.340663218006,2.745955631209397,-1.7706408727372187,provisional_stalled,provisional_stalled,2978,1800.8591379999998,13.440149292325588
125.0,29.0,55.0,-3010.339305064493,-3010.33666191202,-3010.3358959691113,1.6586032181731953,2.1392396500719304,provisional_stalled,provisional_stalled,1630,985.6952299999999,1.3365515328635822
125.0,50.0,55.0,-3010.338190791152,-3010.3366978571757,-3010.338768743558,0.9368302143110717,-0.36267061020949537,provisional_stalled,provisional_stalled,1871,1131.432991,3.968781803022181
130.0,0.0,50.0,-3010.3445579646027,-3010.3339558188345,-3010.338740508493,6.652946914936648,3.650508823673618,converged,converged,1627,983.8810669999999,30.17003049385267
130.0,39.0,50.0,,-3010.3392788098427,-3010.3407381224865,,,provisional_stalled,provisional_stalled,3174,1919.3844539999998,0.17747675904185262
134.0,71.0,46.0,,-3010.3396316533726,-3010.3451019533222,,,provisional_stalled,provisional_stalled,2976,1799.649696,3.2731845349750888
135.0,21.0,45.0,,-3010.339694583332,-3010.3430065538378,,,provisional_stalled,provisional_stalled,1571,950.0166909999999,13.271992804398293
136.0,36.0,44.0,-3010.347454328518,-3010.3416647787085,-3010.34459822802,3.632997355945232,1.7922301212869722,provisional_stalled,provisional_stalled,1580,955.45918,0.7422620830946428
138.0,55.0,42.0,-3010.3497416268756,-3010.3430353357357,-3010.3468956524,4.2082612260720325,1.7858759465086582,provisional_stalled,provisional_stalled,3492,2111.685732,0.229093867224767
139.0,1.0,41.0,,-3010.33785257864,-3010.3457828788046,,,provisional_stalled,provisional_stalled,1565,946.3883649999999,31.444815932041962
139.0,83.0,41.0,,-3010.3420127220325,-3010.3464831984325,,,provisional_stalled,provisional_stalled,2916,1763.3664359999998,0.3469827085028891
144.0,17.0,36.0,-3010.3529348869756,-3010.3427359773204,-3010.349257606787,6.399912433734894,2.307528157156142,converged,converged,1564,945.783644,15.230583081418784
146.0,42.0,34.0,,-3010.346427559105,-3010.3509643289963,,,provisional_stalled,provisional_stalled,3106,1878.2634259999998,0.2259999999999991
149.0,65.0,31.0,-3010.3574549185887,-3010.3486039920735,-3010.3519203351098,5.554040242493873,3.4730035680328264,provisional_stalled,provisional_stalled,3550,2146.7595499999998,2.5745283063116626
153.0,13.0,27.0,,-3010.345729840648,-3010.354255394715,,,provisional_stalled,provisional_stalled,1562,944.5742019999999,21.526036444269067
154.0,0.0,26.0,-3010.3570378254826,-3010.344384935905,-3010.354845105814,7.939808084197161,1.3759523659660071,converged,converged,1563,945.1789229999999,33.959275492860556
157.0,73.0,23.0,,-3010.351837800945,-3010.354092431353,,,provisional_stalled,provisional_stalled,2024,1223.9553039999998,2.209885517396767
158.0,44.0,22.0,-3010.3607852721893,-3010.350644753158,-3010.355996062097,6.363271764001892,3.0052747062847427,converged,converged,278,168.112438,8.198755332366007
159.0,40.0,21.0,,-3010.350586262768,-3010.356389045354,,,provisional_stalled,provisional_stalled,3071,1857.0981909999998,10.987236458727917
