theta,phi,theta_plot,meta,ortho,para,relaxed_dE_om,relaxed_dE_pm,quality_om,quality_pm
101.0,31.0,79.0,-3010.3213953397935,-3010.328164917532,-3010.320308314046,-4.2479741662501675,0.6821189550678799,provisional_stalled,provisional_stalled
105.0,32.0,75.0,,-3010.329300564113,-3010.322413931199,,,provisional_stalled,provisional_stalled
113.0,36.0,67.0,-3010.3284918863883,-3010.3319152984673,-3010.3282413929956,-2.148223513177826,0.15718697713530644,provisional_stalled,provisional_stalled
116.0,41.0,64.0,,-3010.3328740004986,-3010.3312276449337,,,provisional_stalled,provisional_stalled
119.0,26.0,61.0,,-3010.3342227258927,-3010.3309537940654,,,provisional_stalled,provisional_stalled
124.0,9.0,56.0,,-3010.3336942734086,-3010.334017747514,,,provisional_stalled,provisional_stalled
124.0,69.0,56.0,-3010.3378415221655,-3010.333465563324,-3010.340663218006,2.745955631209397,-1.7706408727372187,provisional_stalled,provisional_stalled
125.0,29.0,55.0,-3010.339305064493,-3010.33666191202,-3010.3358959691113,1.6586032181731953,2.1392396500719304,provisional_stalled,provisional_stalled
125.0,50.0,55.0,-3010.338190791152,-3010.3366978571757,-3010.338768743558,0.9368302143110717,-0.36267061020949537,provisional_stalled,provisional_stalled
130.0,0.0,50.0,-3010.3445579646027,-3010.3339558188345,-3010.338740508493,6.652946914936648,3.650508823673618,converged,converged
130.0,39.0,50.0,,-3010.3392788098427,-3010.3407381224865,,,provisional_stalled,provisional_stalled
134.0,71.0,46.0,,-3010.3396316533726,-3010.3451019533222,,,provisional_stalled,provisional_stalled
135.0,21.0,45.0,,-3010.339694583332,-3010.3430065538378,,,provisional_stalled,provisional_stalled
136.0,36.0,44.0,-3010.347454328518,-3010.3416647787085,-3010.34459822802,3.632997355945232,1.7922301212869722,provisional_stalled,provisional_stalled
138.0,55.0,42.0,-3010.3497416268756,-3010.3430353357357,-3010.3468956524,4.2082612260720325,1.7858759465086582,provisional_stalled,provisional_stalled
139.0,1.0,41.0,,-3010.33785257864,-3010.3457828788046,,,provisional_stalled,provisional_stalled
139.0,83.0,41.0,,-3010.3420127220325,-3010.3464831984325,,,provisional_stalled,provisional_stalled
144.0,17.0,36.0,-3010.3529348869756,-3010.3427359773204,-3010.349257606787,6.399912433734894,2.307528157156142,converged,converged
146.0,42.0,34.0,,-3010.346427559105,-3010.3509643289963,,,provisional_stalled,provisional_stalled
149.0,65.0,31.0,-3010.3574549185887,-3010.3486039920735,-3010.3519203351098,5.554040242493873,3.4730035680328264,provisional_stalled,provisional_stalled
153.0,13.0,27.0,,-3010.345729840648,-3010.354255394715,,,provisional_stalled,provisional_stalled
154.0,0.0,26.0,-3010.3570378254826,-3010.344384935905,-3010.354845105814,7.939808084197161,1.3759523659660071,converged,converged
157.0,73.0,23.0,,-3010.351837800945,-3010.354092431353,,,provisional_stalled,provisional_stalled
158.0,44.0,22.0,-3010.3607852721893,-3010.350644753158,-3010.355996062097,6.363271764001892,3.0052747062847427,converged,converged
159.0,40.0,21.0,,-3010.350586262768,-3010.356389045354,,,provisional_stalled,provisional_stalled
