cell_id,group_id,isomer,theta,phi,chain_index,opt_converged,attempts,final_gnorm,E_opt_hartree,conv_threshold,qed_ccsd_input_written
meta_th0_ph0,meta_th0,meta,0.0,0.0,0,True,1,0.0011028545987346922,-3010.3598767636304,0.002,True
meta_th9_ph0,meta_th9,meta,9.0,0.0,0,True,1,0.0016855079775947453,-3010.3573250123577,0.002,True
meta_th9_ph18,meta_th9,meta,9.0,18.0,1,True,1,0.0013996757230244196,-3010.356485827856,0.002,True
meta_th9_ph36,meta_th9,meta,9.0,36.0,2,True,1,0.0017050786243648015,-3010.3557945463017,0.002,True
meta_th9_ph54,meta_th9,meta,9.0,54.0,3,True,3,0.001702357755989474,-3010.355388683712,0.002,True
meta_th9_ph72,meta_th9,meta,9.0,72.0,4,True,2,0.001751688935153517,-3010.355355440137,0.002,True
meta_th9_ph90,meta_th9,meta,9.0,90.0,5,True,1,0.0016243399079165436,-3010.3556623514055,0.002,True
meta_th9_ph108,meta_th9,meta,9.0,108.0,6,True,2,0.0011802742935686317,-3010.3562775179244,0.002,True
meta_th9_ph126,meta_th9,meta,9.0,126.0,7,True,1,0.0006360781584809483,-3010.357065662672,0.002,True
meta_th9_ph144,meta_th9,meta,9.0,144.0,8,True,1,0.00014943650611999238,-3010.358212873439,0.002,True
meta_th9_ph162,meta_th9,meta,9.0,162.0,9,True,1,7.034081605081802e-05,-3010.359447906809,0.002,True
meta_th9_ph180,meta_th9,meta,9.0,180.0,10,True,1,0.00021426156808497277,-3010.3605377262174,0.002,True
meta_th9_ph198,meta_th9,meta,9.0,198.0,11,True,1,0.00015413948694363282,-3010.3614038437854,0.002,True
meta_th9_ph216,meta_th9,meta,9.0,216.0,12,True,1,0.00011236887045439623,-3010.3620253234244,0.002,True
meta_th9_ph234,meta_th9,meta,9.0,234.0,13,True,1,6.731546207740497e-05,-3010.36239467575,0.002,True
meta_th9_ph252,meta_th9,meta,9.0,252.0,14,True,1,3.8840377753257976e-05,-3010.3625009698067,0.002,True
meta_th9_ph270,meta_th9,meta,9.0,270.0,15,True,1,0.00043670671207653237,-3010.3623335917296,0.002,True
