theta,phi,isomer,energy_full_hartree,energy_projected_hartree,delta_energy_projected_minus_full_hartree,norm_full,norm_projected,norm_removed,lambda_x,lambda_y,lambda_z,geometry_path
81.0,180.0,ortho,-3010.3273285924083,-3010.3273285924083,0.0,0.0016850407684239072,0.001255879054992863,0.0012023421264655912,-0.09876883405951378,1.2095693648649962e-17,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/ortho_th81_ph180/optimized.xyz
81.0,180.0,meta,-3010.3306014490827,-3010.3306014490827,0.0,0.002199536695825424,0.0009120069398324657,0.002032285796435098,-0.09876883405951378,1.2095693648649962e-17,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/meta_th81_ph180/optimized.xyz
81.0,198.0,ortho,-3010.328924413811,-3010.328924413811,0.0,0.0010503532769839139,0.0007798756011307867,0.0006556792921123776,-0.09393474323917529,-0.03052124823898887,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/ortho_th81_ph198/optimized.xyz
81.0,198.0,meta,-3010.3250534204794,-3010.3250534204794,0.0,0.0033348887560389544,0.0010467565257239195,0.003144302638946385,-0.09393474323917529,-0.03052124823898887,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/meta_th81_ph198/optimized.xyz
81.0,216.0,ortho,-3010.3265366830774,-3010.3265366830774,0.0,0.0027133044903229933,0.0003350044540994196,0.0027908827705017997,-0.07990566526874579,-0.058054864046304715,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/ortho_th81_ph216/optimized.xyz
81.0,216.0,meta,-3010.3179935418348,-3010.3179935418348,0.0,0.003869562722315804,0.0018489997921892036,0.003909793111268689,-0.07990566526874579,-0.058054864046304715,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/meta_th81_ph216/optimized.xyz
81.0,234.0,ortho,-3010.327226852691,-3010.327226852691,0.0,0.0017285472042178752,0.0016866776598610821,0.00038269085164515624,-0.058054864046304736,-0.07990566526874576,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/ortho_th81_ph234/optimized.xyz
81.0,234.0,meta,-3010.312010549948,-3010.312010549948,0.0,0.0056329941960208555,0.003772303289837791,0.00448811096192845,-0.058054864046304736,-0.07990566526874576,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/meta_th81_ph234/optimized.xyz
81.0,252.0,ortho,-3010.32540794247,-3010.32540794247,0.0,0.0017636882506752271,0.001436290023688391,0.00117194485079732,-0.0305212482389889,-0.09393474323917528,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/ortho_th81_ph252/optimized.xyz
81.0,252.0,meta,-3010.316366852708,-3010.316366852708,0.0,0.0061179257736699915,0.004871264562392528,0.005066455076204086,-0.0305212482389889,-0.09393474323917528,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/meta_th81_ph252/optimized.xyz
81.0,270.0,ortho,-3010.3224541157538,-3010.3224541157538,0.0,0.0020187942175233075,0.0006094740586340888,0.0018455637661474846,-1.8143540472974943e-17,-0.09876883405951378,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/ortho_th81_ph270/optimized.xyz
81.0,270.0,meta,-3010.3200429744747,-3010.3200429744747,0.0,0.005107481921663769,0.0017916734913144502,0.005516016564628293,-1.8143540472974943e-17,-0.09876883405951378,0.015643446504023092,/Users/jfoley19/Code/nbr_data/QED_DFT_Theta_Phi_Relax_Campaign/runs_grid_no_freq/meta_th81_ph270/optimized.xyz
