cell_id,group_id,isomer,theta,phi,chain_index,opt_converged,attempts,final_gnorm,E_opt_hartree,conv_threshold,qed_ccsd_input_written
para_th0_ph0,para_th0,para,0.0,0.0,0,True,1,0.0009199243212608679,-3010.356225149885,0.002,True
para_th9_ph0,para_th9,para,9.0,0.0,0,True,1,0.0019878176452684873,-3010.351708762913,0.002,True
para_th9_ph18,para_th9,para,9.0,18.0,1,True,1,0.0007872910663002559,-3010.351895048139,0.002,True
para_th9_ph36,para_th9,para,9.0,36.0,2,True,1,0.00012788225350928776,-3010.3524837372993,0.002,True
para_th9_ph54,para_th9,para,9.0,54.0,3,True,1,0.0002551058136913538,-3010.353387070592,0.002,True
para_th9_ph72,para_th9,para,9.0,72.0,4,True,1,0.00018347187485286346,-3010.354438128456,0.002,True
para_th9_ph90,para_th9,para,9.0,90.0,5,True,1,0.00010369532924648739,-3010.355489472329,0.002,True
para_th9_ph108,para_th9,para,9.0,108.0,6,True,1,3.854553659245377e-05,-3010.3564233423795,0.002,True
para_th9_ph126,para_th9,para,9.0,126.0,7,True,1,0.0005283491993758237,-3010.357173081568,0.002,True
para_th9_ph144,para_th9,para,9.0,144.0,8,True,1,0.000461432720185951,-3010.357710310391,0.002,True
para_th9_ph162,para_th9,para,9.0,162.0,9,True,1,0.00041802948955582523,-3010.35803351952,0.002,True
para_th9_ph180,para_th9,para,9.0,180.0,10,True,1,6.233853715819515e-05,-3010.358141490074,0.002,True
para_th9_ph198,para_th9,para,9.0,198.0,11,True,1,0.00015811905577009072,-3010.35803390741,0.002,True
para_th9_ph216,para_th9,para,9.0,216.0,12,True,1,6.757257640676254e-05,-3010.357716513697,0.002,True
para_th9_ph234,para_th9,para,9.0,234.0,13,True,1,0.0001672980468336778,-3010.357185742992,0.002,True
para_th9_ph252,para_th9,para,9.0,252.0,14,True,1,0.0004906134356692184,-3010.356436143548,0.002,True
para_th9_ph270,para_th9,para,9.0,270.0,15,True,1,0.0007945599312550046,-3010.355546060656,0.002,True
para_th9_ph288,para_th9,para,9.0,288.0,16,True,1,0.0008102658568259508,-3010.3546051429225,0.002,True
para_th9_ph306,para_th9,para,9.0,306.0,17,True,1,0.0010509300650169003,-3010.353704458481,0.002,True
para_th9_ph324,para_th9,para,9.0,324.0,18,True,1,0.0012729149835752555,-3010.3529283949824,0.002,True
para_th9_ph342,para_th9,para,9.0,342.0,19,True,1,0.0016678392536843346,-3010.352348277712,0.002,True
para_th18_ph0,para_th18,para,18.0,0.0,0,True,1,0.0015283840307896584,-3010.3448551226456,0.002,True
para_th18_ph18,para_th18,para,18.0,18.0,1,True,1,8.249654601085023e-05,-3010.3452853276403,0.002,True
para_th18_ph36,para_th18,para,18.0,36.0,2,True,1,0.0006536878145995151,-3010.3467076552197,0.002,True
para_th18_ph54,para_th18,para,18.0,54.0,3,True,1,0.0011584321421089549,-3010.348946532704,0.002,True
