cell_id,group_id,isomer,theta,phi,chain_index,opt_converged,attempts,final_gnorm,E_opt_hartree,conv_threshold,qed_ccsd_input_written
ortho_th0_ph0,ortho_th0,ortho,0.0,0.0,0,True,1,0.0006975863960960962,-3010.3527440411176,0.002,True
ortho_th9_ph0,ortho_th9,ortho,9.0,0.0,0,True,1,0.000600035796917247,-3010.35334116479,0.002,True
ortho_th9_ph18,ortho_th9,ortho,9.0,18.0,1,True,1,0.0015479240675167214,-3010.3527424655954,0.002,True
ortho_th9_ph36,ortho_th9,ortho,9.0,36.0,2,True,2,0.001776598093168933,-3010.352032716864,0.002,True
ortho_th9_ph54,ortho_th9,ortho,9.0,54.0,3,True,1,0.0016257881620612637,-3010.3512817488963,0.002,True
ortho_th9_ph72,ortho_th9,ortho,9.0,72.0,4,True,2,0.0019003632841269045,-3010.350572110188,0.002,True
ortho_th9_ph90,ortho_th9,ortho,9.0,90.0,5,True,2,0.001981888872598587,-3010.350016180499,0.002,True
ortho_th9_ph108,ortho_th9,ortho,9.0,108.0,6,True,1,0.002080747597304672,-3010.3496893739016,0.0043,True
ortho_th9_ph126,ortho_th9,ortho,9.0,126.0,7,True,1,0.0018715492648496673,-3010.349624481122,0.0043,True
ortho_th9_ph144,ortho_th9,ortho,9.0,144.0,8,True,1,0.001999222461142524,-3010.3498027304954,0.0043,True
ortho_th9_ph162,ortho_th9,ortho,9.0,162.0,9,True,1,0.001571297158012656,-3010.350209291943,0.0043,True
ortho_th9_ph180,ortho_th9,ortho,9.0,180.0,10,True,1,0.00118537219400511,-3010.3508435169047,0.0043,True
ortho_th9_ph198,ortho_th9,ortho,9.0,198.0,11,True,1,0.0002194586518762582,-3010.3515849255236,0.0043,True
ortho_th9_ph216,ortho_th9,ortho,9.0,216.0,12,True,1,7.110416589475016e-05,-3010.3523873979652,0.0043,True
ortho_th9_ph234,ortho_th9,ortho,9.0,234.0,13,True,1,0.0004632847228629462,-3010.35310905197,0.0043,True
ortho_th9_ph252,ortho_th9,ortho,9.0,252.0,14,True,1,5.255094224549571e-05,-3010.3536866498225,0.0043,True
ortho_th9_ph270,ortho_th9,ortho,9.0,270.0,15,True,1,0.00015764097053398826,-3010.35405748904,0.0043,True
ortho_th9_ph288,ortho_th9,ortho,9.0,288.0,16,True,1,0.000491796939134931,-3010.354247941768,0.0043,True
ortho_th9_ph306,ortho_th9,ortho,9.0,306.0,17,True,1,0.00011055362210882613,-3010.354282554201,0.0043,True
ortho_th9_ph324,ortho_th9,ortho,9.0,324.0,18,True,1,0.0001288361853705564,-3010.354149241016,0.0043,True
ortho_th9_ph342,ortho_th9,ortho,9.0,342.0,19,True,1,0.0016915162583439629,-3010.3538385990482,0.0043,True
ortho_th18_ph0,ortho_th18,ortho,18.0,0.0,0,True,1,0.00047547257396091304,-3010.352418960186,0.002,True
ortho_th18_ph18,ortho_th18,ortho,18.0,18.0,1,True,3,0.0011358054903551908,-3010.3514431631734,0.002,True
ortho_th18_ph36,ortho_th18,ortho,18.0,36.0,2,True,4,0.0016874281868571267,-3010.3500884584155,0.002,True
ortho_th18_ph54,ortho_th18,ortho,18.0,54.0,3,True,4,0.0019853980044039197,-3010.348575442953,0.002,True
ortho_th18_ph72,ortho_th18,ortho,18.0,72.0,4,True,1,0.0029492888840144138,-3010.3470612365386,0.0043,True
ortho_th18_ph90,ortho_th18,ortho,18.0,90.0,5,True,2,0.0030257543956740446,-3010.3458870776794,0.0043,True
ortho_th18_ph108,ortho_th18,ortho,18.0,108.0,6,True,1,0.0032023417363359363,-3010.3451471692365,0.0043,True
ortho_th18_ph126,ortho_th18,ortho,18.0,126.0,7,True,1,0.003349669104513687,-3010.344945327031,0.0043,True
ortho_th18_ph144,ortho_th18,ortho,18.0,144.0,8,True,1,0.002598220588857758,-3010.3453647051224,0.0043,True
ortho_th18_ph162,ortho_th18,ortho,18.0,162.0,9,True,1,0.0016902663147761498,-3010.346312331263,0.0043,True
ortho_th18_ph180,ortho_th18,ortho,18.0,180.0,10,True,1,0.000516410660279008,-3010.3476285143142,0.0043,True
ortho_th18_ph198,ortho_th18,ortho,18.0,198.0,11,True,1,0.0002942987596754484,-3010.349250083675,0.0043,True
ortho_th18_ph216,ortho_th18,ortho,18.0,216.0,12,True,1,0.00048424410085384794,-3010.3507991109486,0.0043,True
ortho_th18_ph234,ortho_th18,ortho,18.0,234.0,13,True,1,0.0006516333199876991,-3010.352004336142,0.0043,True
ortho_th18_ph252,ortho_th18,ortho,18.0,252.0,14,True,1,0.0014792555188801377,-3010.3528353000024,0.0043,True
ortho_th18_ph270,ortho_th18,ortho,18.0,270.0,15,True,1,0.0013375050178511475,-3010.35331070194,0.0043,True
ortho_th18_ph288,ortho_th18,ortho,18.0,288.0,16,True,1,0.0014659702853073032,-3010.353483476392,0.0043,True
ortho_th18_ph306,ortho_th18,ortho,18.0,306.0,17,True,1,0.0018839906666329737,-3010.3534449833205,0.0043,True
ortho_th18_ph324,ortho_th18,ortho,18.0,324.0,18,True,1,0.0012339056827184996,-3010.3533555208305,0.0043,True
ortho_th18_ph342,ortho_th18,ortho,18.0,342.0,19,True,1,0.0004124975428099857,-3010.353053427644,0.0043,True
ortho_th27_ph0,ortho_th27,ortho,27.0,0.0,0,True,1,0.0007766368372293689,-3010.3502265859033,0.002,True
ortho_th27_ph18,ortho_th27,ortho,27.0,18.0,1,True,1,0.000841919625888071,-3010.349246770476,0.002,True
ortho_th27_ph36,ortho_th27,ortho,27.0,36.0,2,True,3,0.001706483316509452,-3010.347479218547,0.002,True
ortho_th27_ph54,ortho_th27,ortho,27.0,54.0,3,True,3,0.003075288594106088,-3010.3452535606425,0.0043,True
ortho_th27_ph72,ortho_th27,ortho,27.0,72.0,4,True,1,0.005218841184381024,-3010.3429218187944,0.0055,True
ortho_th27_ph90,ortho_th27,ortho,27.0,90.0,5,True,1,0.00839626635572806,-3010.340897828158,0.009,True
ortho_th27_ph108,ortho_th27,ortho,27.0,108.0,6,True,1,0.006801291209185453,-3010.3398244674477,0.009,True
ortho_th27_ph126,ortho_th27,ortho,27.0,126.0,7,True,1,0.005029191526695679,-3010.339588493474,0.009,True
ortho_th27_ph144,ortho_th27,ortho,27.0,144.0,8,True,1,0.004243592161615928,-3010.3400217649005,0.009,True
ortho_th27_ph162,ortho_th27,ortho,27.0,162.0,9,True,1,0.0023420668351680453,-3010.341630455868,0.009,True
