frame,cavity_energy_hartree,no_cavity_energy_hartree,delta_cavity_minus_no_cavity_hartree,delta_cavity_minus_no_cavity_kcal_mol,xyz_comment
0,-436.48509814121,-436.66695356573376,0.18185542452374648,114.11600179841793,Step -1 E=-436.48509814121 phi=31.0 theta=70.0
4,-436.4892019478,-436.66939055176607,0.18018860396608716,113.07005610692357,Step 3  E=-436.4892019478  phi=36.508  theta=73.537
8,-436.4950653044,-436.6730258066218,0.17796050222182203,111.67190115322069,Step 7  E=-436.4950653044  phi=35.549  theta=73.431
12,-436.5135235588,-436.690942521069,0.1774189622690301,111.33207970226006,Step 11  E=-436.5135235588  phi=34.520  theta=73.249
16,-436.5060379636,-436.68181508769595,0.17577712409593005,110.30181069376133,Step 15  E=-436.5060379636  phi=33.993  theta=72.988
20,-436.4895210635,-436.66209110996704,0.1725700464670581,108.28933909758835,Step 19  E=-436.4895210635  phi=34.299  theta=72.639
24,-436.4892668503,-436.66074784874553,0.17148099844553144,107.6059511463707,Step 23  E=-436.4892668503  phi=35.332  theta=72.196
28,-436.4949153247,-436.6677761048732,0.1728607801732096,108.4717772526279,Step 27  E=-436.4949153247  phi=36.637  theta=71.655
32,-436.4964894484,-436.66991155829794,0.17342210989795603,108.82401697297952,Step 31  E=-436.4964894484  phi=37.670  theta=71.042
36,-436.4915145898,-436.6649729317784,0.17345834197840304,108.84675294672503,Step 35  E=-436.4915145898  phi=38.067  theta=70.443
40,-436.5087220647,-436.6841279960648,0.17540593136476446,110.06888373825156,Step 39  E=-436.5087220647  phi=37.860  theta=69.962
44,-436.5096438195,-436.6864441748505,0.1768003553505082,110.94389800016658,Step 43  E=-436.5096438195  phi=37.436  theta=69.660
48,-436.4966976929,-436.6723092837652,0.17561159086517364,110.19793702318941,Step 47  E=-436.4966976929  phi=37.225  theta=69.552
52,-436.4866313839,-436.66144212439644,0.1748107404964685,109.69539582952001,Step 51  E=-436.4866313839  phi=37.378  theta=69.632
56,-436.4924390569,-436.66770594579236,0.1752668888923381,109.98163326950687,Step 55  E=-436.4924390569  phi=37.691  theta=69.894
60,-436.4953667157,-436.6697212555799,0.17435453987985738,109.4091256205231,Step 59  E=-436.4953667157  phi=37.805  theta=70.330
64,-436.493340442,-436.66585685281393,0.1725164108139552,108.25568221711872,Step 63  E=-436.4933404420  phi=37.501  theta=70.911
68,-436.5021142916,-436.6743816606581,0.17226736905814732,108.09940615591198,Step 67  E=-436.5021142916  phi=36.806  theta=71.564
72,-436.5049294238,-436.677706915166,0.17277749136604825,108.41951273705074,Step 71  E=-436.5049294238  phi=35.891  theta=72.164
76,-436.4998205058,-436.67169627982423,0.1718757740242154,107.85367656212362,Step 75  E=-436.4998205058  phi=35.003  theta=72.570
80,-436.4889557516,-436.65972536326706,0.17076961166708315,107.15954920317118,Step 79  E=-436.4889557516  phi=34.414  theta=72.657
84,-436.5019336308,-436.6733668037843,0.17143317298427974,107.57594021633382,Step 83  E=-436.5019336308  phi=34.292  theta=72.346
88,-436.503484302,-436.6753102336578,0.1718259316577928,107.82240000498373,Step 87  E=-436.5034843020  phi=34.537  theta=71.600
92,-436.4956470632,-436.6666480028812,0.17100093968116425,107.30470972362328,Step 91  E=-436.4956470632  phi=34.775  theta=70.404
96,-436.4936657279,-436.66531785281336,0.1716521249133507,107.71333462619023,Step 95  E=-436.4936657279  phi=34.718  theta=68.788
100,-436.5072719554,-436.68141718446174,0.17414522906176444,109.27778109914588,Step 99  E=-436.5072719554  phi=34.512  theta=66.862
104,-436.508133524,-436.6832099496077,0.1750764256076991,109.86211575393472,Step 103  E=-436.5081335240  phi=34.550  theta=64.795
108,-436.49771146,-436.67206432630877,0.1743528663087659,109.40807543880767,Step 107  E=-436.4977114600  phi=35.050  theta=62.778
112,-436.5002262329,-436.67517323537186,0.17494700247186756,109.78090151003747,Step 111  E=-436.5002262329  phi=35.953  theta=61.029
116,-436.5032198806,-436.6782938497508,0.17507396915078743,109.86057430395002,Step 115  E=-436.5032198806  phi=37.027  theta=59.734
120,-436.5004597283,-436.672932186249,0.1724724579490271,108.22810137796414,Step 119  E=-436.5004597283  phi=37.980  theta=58.962
124,-436.4885423294,-436.6581206053249,0.1695782759248914,106.41197473815585,Step 123  E=-436.4885423294  phi=38.522  theta=58.683
128,-436.4986617263,-436.66739843745455,0.16873671115456546,105.88388487173859,Step 127  E=-436.4986617263  phi=38.458  theta=58.817
132,-436.5061636719,-436.674594080351,0.16843040845100177,105.69167702332123,Step 131  E=-436.5061636719  phi=37.839  theta=59.233
136,-436.5083391633,-436.67553084510257,0.16719168180259203,104.91436431566969,Step 135  E=-436.5083391633  phi=37.030  theta=59.763
140,-436.5067514926,-436.6737536596857,0.16700216708568405,104.79544203533555,Step 139  E=-436.5067514926  phi=36.489  theta=60.206
144,-436.5144409149,-436.683853497441,0.1694125825410424,106.30800057000104,Step 143  E=-436.5144409149  phi=36.440  theta=60.376
148,-436.5081537899,-436.67913676533504,0.17098297543503804,107.29343698898467,Step 147  E=-436.5081537899  phi=36.802  theta=60.172
152,-436.4920360488,-436.6618888925634,0.16985284376340815,106.58426865809814,Step 151  E=-436.4920360488  phi=37.337  theta=59.580
156,-436.4950224464,-436.6638537145748,0.16883126817481298,105.94322029778309,Step 155  E=-436.4950224464  phi=37.800  theta=58.645
160,-436.5107440655,-436.6790862381377,0.1683421726377219,105.63630821453644,Step 159  E=-436.5107440655  phi=38.079  theta=57.472
164,-436.5187545744,-436.68497642176266,0.16622184736263534,104.3057840163242,Step 163  E=-436.5187545744  phi=38.262  theta=56.213
168,-436.5083629288,-436.67218524721176,0.16382231841174644,102.80005686635272,Step 167  E=-436.5083629288  phi=38.584  theta=55.004
172,-436.5082822767,-436.6717550619173,0.16347278521726594,102.58072147531666,Step 171  E=-436.5082822767  phi=39.255  theta=53.938
176,-436.5073543511,-436.67105361411154,0.16369926301155147,102.72283843689574,Step 175  E=-436.5073543511  phi=40.264  theta=53.050
180,-436.5069703077,-436.6702349552197,0.1632646475197248,102.45011309819992,Step 179  E=-436.5069703077  phi=41.401  theta=52.316
184,-436.4996853532,-436.66277991539755,0.16309456219755702,102.34338294714057,Step 183  E=-436.4996853532  phi=42.426  theta=51.729
188,-436.5075140567,-436.6713697516428,0.16385569494281071,102.82100095580691,Step 187  E=-436.5075140567  phi=43.173  theta=51.264
192,-436.5141032515,-436.6781852204971,0.16408196899709537,102.9629900686052,Step 191  E=-436.5141032515  phi=43.584  theta=50.787
