
Host: CHEM9LYY31VAWS

Timers On : Mon Jun 22 15:52:26 2026
Timers Off: Mon Jun 22 15:52:28 2026

Wall Time:        1.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: CHEM9LYY31VAWS

Timers On : Mon Jun 22 15:53:16 2026
Timers Off: Mon Jun 22 15:57:16 2026

Wall Time:      239.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.700u      0.117s      1.711w      2 calls
build grid                          :      2.333u      0.100s      1.463w      2 calls
post-process grid                   :      0.367u      0.017s      0.247w      2 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.034w      1 calls
Libint2ERI::Libint2ERI              :      0.167u      0.017s      0.108w      9 calls
Libint2ErfERI::Libint2ErfERI        :      0.100u      0.000s      0.050w      2 calls
JK: (A|Q)^-1                        :      2.100u      0.083s      1.254w      2 calls
JK: (A|mn)                          :      1.483u      0.033s      0.905w      2 calls
JK: (Q|mn)                          :      3.083u      0.017s      1.868w      2 calls
JK: (Q|mn) Write                    :      0.000u      0.050s      0.032w      1 calls
JK: (A|mn)^L                        :      1.533u      0.033s      0.943w      2 calls
JK: (Q|mn)^L                        :      3.067u      0.000s      1.854w      2 calls
JK: (Q|mn)^L Write                  :      0.000u      0.050s      0.030w      1 calls
JK: (Q|mn)^R                        :      0.817u      0.017s      0.494w      1 calls
JK: (Q|mn)^R Write                  :      0.000u      0.050s      0.032w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.012w      1 calls
HF: Guess                           :      0.067u      0.017s      0.043w      1 calls
SAD Guess                           :      0.067u      0.017s      0.043w      1 calls
HF: Form G                          :    155.350u      6.600s     97.334w     29 calls
RV: Form V                          :    285.850u      3.033s    173.478w     68 calls
Properties                          :    166.583u      1.283s    101.189w 383860 calls
Functional                          :     23.283u      0.483s     13.903w 383860 calls
V_xc                                :     95.450u      0.700s     57.682w 383860 calls
