x_scan_A,y_scan_A,z_scan_A,Br_x_A,Br_y_A,Br_z_A,min_Br_heavy_atom_distance_A,energy_Ha,status,worker_pid,relative_to_global_min_kcal_mol
-1.0,-1.0,2.0,0.1984725417408454,-0.8658948535729971,0.5718653967609535,2.034204504842453,-3010.283808382502,ok,72380,8.050457561563316
-1.0,-3.0,2.0,2.198080870387535,-0.8487957133871749,0.6075606543128684,2.042997773733377,-3010.225659533707,ok,72383,44.53941108239618
-3.0,-1.0,2.0,0.2129793650473015,-2.860728226511679,0.7147967309310215,2.6974705301783763,-3010.2487282754014,ok,72379,30.063557115989155
-3.0,1.0,2.0,-1.7866289635993882,-2.877827366697501,0.6791014733791065,2.70465911206732,-3010.233778535386,ok,72382,39.444660609397985
-1.0,1.0,2.0,-1.8011357869058444,-0.8829939937588192,0.5361701392090386,2.034192344205628,-3010.2936238868115,ok,72380,1.891135615139074
-3.0,3.0,2.0,-3.786237292246078,-2.894926506883323,0.6434062158271916,3.542541572330114,-3010.15307416291,ok,72381,90.08741893146842
1.0,-1.0,2.0,0.1839657184343891,1.128938519365685,0.4289340625908855,2.0338055803781985,-3010.275720230923,ok,72382,13.125849304348213
1.0,-3.0,2.0,2.1835740470810787,1.1460376595515067,0.4646293201428004,2.0410733439801207,-3010.2289730614816,ok,72379,42.460141011547556
-1.0,3.0,2.0,-3.800744115552534,-0.9000931339446414,0.5004748816571236,2.760802792456534,-3010.220496774342,ok,72383,47.77909149607174
1.0,1.0,2.0,-1.815642610212301,1.1118393791798624,0.3932388050389706,2.0345890235773942,-3010.296637603247,ok,72380,0.0
3.0,1.0,2.0,-1.8301494335187567,3.1066727521185444,0.2503074708689026,2.7037163921686376,-3010.2394609306984,ok,72378,35.87890371591294
1.0,3.0,2.0,-3.8152509388589904,1.0947402389940404,0.3575435474870556,2.759588626084826,-3010.235358107778,ok,72381,38.45346396850232
3.0,-1.0,2.0,0.169458895127933,3.1237718923043665,0.2860027284208175,2.6984340705721688,-3010.2108226810433,ok,72379,53.849676693302825
3.0,3.0,2.0,-3.829757762165446,3.0895736119327224,0.2146122133169876,3.543429963497572,-3010.206562572476,ok,72383,56.52293517964659
-3.0,-1.0,2.3,0.2074556080017923,-2.839331561903914,1.0139817420057158,2.9268174877647404,-3010.240558314425,ok,72378,35.19028503087449
-3.0,1.0,2.3,-1.7921527206448973,-2.856430702089736,0.9782864844538008,2.9334689212297262,-3010.225083837221,ok,72381,44.90066608155147
-3.0,-3.0,2.3,2.207063936648482,-2.822232421718092,1.0496769995576307,3.023952911647842,-3010.198879596633,ok,72380,61.34407530947066
-1.0,1.0,2.3,-1.8066595439513535,-0.8615973291510542,0.8353551502837329,2.3298063208251234,-3010.292182147211,ok,72378,2.7958408735081384
-1.0,-3.0,2.3,2.192557113342026,-0.82739904877941,0.9067456653875628,2.337643740261231,-3010.2256272923996,ok,72383,44.55964280831174
-1.0,-1.0,2.3,0.1929487846953362,-0.8444981889652322,0.8710504078356478,2.3297856796336496,-3010.2859488832064,ok,72382,6.70727309030626
-3.0,3.0,2.3,-3.791761049291587,-2.873529842275558,0.942591226901886,3.7201693228963415,-3010.1516140707886,ok,72379,91.00364057050065
-1.0,3.0,2.3,-3.8062678725980432,-0.8786964693368765,0.7996598927318179,2.985305706282332,-3010.2128030613344,ok,72381,52.60696929850492
1.0,1.0,2.3,-1.8211663672578096,1.1332360437876274,0.6924238161136649,2.3301254665950366,-3010.2960939098407,ok,72383,0.3411727633064231
1.0,-1.0,2.3,0.17844196138888,1.1503351839734497,0.7281190736655798,2.32946441261824,-3010.2765079833734,ok,72378,12.631527178569103
1.0,3.0,2.3,-3.820774695904499,1.1161369036018052,0.6567285585617499,2.984182884198419,-3010.228126999181,ok,72382,42.99105312086382
1.0,-3.0,2.3,2.1780502900355696,1.1674343241592715,0.7638143312174948,2.335688092394127,-3010.2283811964166,ok,72380,42.831541947140764
3.0,-1.0,2.3,0.1639351380824238,3.1451685569121315,0.5851877394955118,2.9277270610666606,-3010.197128216519,ok,72381,62.44308292358163
