     Theta        Phi           Ex           Ey           Ez              Ortho_E               Meta_E
-------------------------------------------------------------------------------------------------------
    63.000     26.000     0.080083     0.039059     0.045399   -3010.323854526020   -3010.312910774326
    63.000     27.000     0.079389     0.040451     0.045399   -3010.323521020331   -3010.312482423533
    63.000     28.000     0.078671     0.041830     0.045399   -3010.323174384711   -3010.312055012211
    63.000     29.000     0.077929     0.043197     0.045399   -3010.322815011924   -3010.311628963252
    63.000     30.000     0.077163     0.044550     0.045399   -3010.322443311805   -3010.311204699312
    63.000     31.000     0.076374     0.045890     0.045399   -3010.322059710531   -3010.310782642514
    63.000     32.000     0.075562     0.047216     0.045399   -3010.321664649811   -3010.310363214196
    63.000     33.000     0.074726     0.048528     0.045399   -3010.321258586050   -3010.309946834624
    63.000     34.000     0.073868     0.049824     0.045399   -3010.320841989542   -3010.309533922723
    63.000     35.000     0.072987     0.051106     0.045399   -3010.320415343629   -3010.309124895821
    63.000     36.000     0.072084     0.052372     0.045399   -3010.319979143850   -3010.308720169304
    63.000     37.000     0.071159     0.053622     0.045399   -3010.319533897128   -3010.308320156370
    63.000     38.000     0.070212     0.054856     0.045399   -3010.319080120879   -3010.307925267723
    63.000     39.000     0.069244     0.056073     0.045399   -3010.318618342198   -3010.307535911239
    63.000     40.000     0.068255     0.057273     0.045399   -3010.318149097066   -3010.307152491630
    63.000     41.000     0.067245     0.058455     0.045399   -3010.317672929437   -3010.306775410134
    63.000     42.000     0.066215     0.059620     0.045399   -3010.317190390473   -3010.306405064134
    63.000     43.000     0.065164     0.060766     0.045399   -3010.316702037740   -3010.306041846803
    63.000     44.000     0.064094     0.061895     0.045399   -3010.316208434363   -3010.305686146722
    63.000     45.000     0.063004     0.063004     0.045399   -3010.315710148307   -3010.305338347486
    63.000     46.000     0.061895     0.064094     0.045399   -3010.315207751526   -3010.304998827282
    64.000     26.000     0.080783     0.039401     0.043837   -3010.323529405913   -3010.312522884096
    64.000     27.000     0.080083     0.040804     0.043837   -3010.323194574269   -3010.312089082937
    64.000     28.000     0.079359     0.042196     0.043837   -3010.322846342570   -3010.311656178588
    64.000     29.000     0.078610     0.043574     0.043837   -3010.322485108623   -3010.311224601386
    64.000     30.000     0.077838     0.044940     0.043837   -3010.322111287779   -3010.310794781401
    64.000     31.000     0.077042     0.046291     0.043837   -3010.321725312096   -3010.310367148157
    64.000     32.000     0.076222     0.047629     0.043837   -3010.321327629545   -3010.309942130377
    64.000     33.000     0.075379     0.048952     0.043837   -3010.320918703164   -3010.309520155691
    64.000     34.000     0.074513     0.050260     0.043837   -3010.320499010241   -3010.309101650361
    64.000     35.000     0.073625     0.051553     0.043837   -3010.320069041453   -3010.308687039040
    64.000     36.000     0.072714     0.052830     0.043837   -3010.319629299969   -3010.308276744440
    64.000     37.000     0.071781     0.054091     0.043837   -3010.319180300672   -3010.307871187056
    64.000     38.000     0.070826     0.055335     0.043837   -3010.318722569210   -3010.307470784865
    64.000     39.000     0.069849     0.056563     0.043837   -3010.318256641211   -3010.307075953005
    64.000     40.000     0.068852     0.057773     0.043837   -3010.317783061381   -3010.306687103434
    64.000     41.000     0.067833     0.058966     0.043837   -3010.317302382688   -3010.306304644598
    64.000     42.000     0.066793     0.060141     0.043837   -3010.316815165514   -3010.305928981063
    64.000     43.000     0.065734     0.061298     0.043837   -3010.316321976836   -3010.305560513154
    64.000     44.000     0.064654     0.062435     0.043837   -3010.315823389410   -3010.305199636566
    64.000     45.000     0.063554     0.063554     0.043837   -3010.315319980971   -3010.304846741940
    64.000     46.000     0.062435     0.064654     0.043837   -3010.314812333420   -3010.304502214465
    65.000     26.000     0.081458     0.039730     0.042262   -3010.323212616092   -3010.312155287049
    65.000     27.000     0.080753     0.041146     0.042262   -3010.322876718960   -3010.311716263912
    65.000     28.000     0.080022     0.042549     0.042262   -3010.322527158246   -3010.311278093561
    65.000     29.000     0.079267     0.043939     0.042262   -3010.322164336524   -3010.310841213603
    65.000     30.000     0.078489     0.045315     0.042262   -3010.321788674270   -3010.310406061340
    65.000     31.000     0.077686     0.046678     0.042262   -3010.321400609078   -3010.309973073527
    65.000     32.000     0.076859     0.048027     0.042262   -3010.321000594827   -3010.309542686075
    65.000     33.000     0.076009     0.049361     0.042262   -3010.320589100838   -3010.309115333805
    65.000     34.000     0.075136     0.050680     0.042262   -3010.320166611024   -3010.308691450165
    65.000     35.000     0.074240     0.051984     0.042262   -3010.319733623011   -3010.308271466944
    65.000     36.000     0.073322     0.053271     0.042262   -3010.319290647290   -3010.307855813985
    65.000     37.000     0.072381     0.054543     0.042262   -3010.318838206286   -3010.307444918930
    65.000     38.000     0.071418     0.055798     0.042262   -3010.318376833544   -3010.307039206842
    65.000     39.000     0.070433     0.057036     0.042262   -3010.317907072837   -3010.306639099954
    65.000     40.000     0.069427     0.058256     0.042262   -3010.317429477274   -3010.306245017297
    65.000     41.000     0.068400     0.059459     0.042262   -3010.316944608454   -3010.305857374351
    65.000     42.000     0.067352     0.060644     0.042262   -3010.316453035634   -3010.305476582715
    65.000     43.000     0.066283     0.061810     0.042262   -3010.315955334854   -3010.305103049695
    65.000     44.000     0.065194     0.062957     0.042262   -3010.315452088152   -3010.304737177914
    65.000     45.000     0.064086     0.064086     0.042262   -3010.314943882695   -3010.304379364929
    65.000     46.000     0.062957     0.065194     0.042262   -3010.314431309997   -3010.304030002758
    66.000     26.000     0.082109     0.040047     0.040674   -3010.322904453256   -3010.311808414480
    66.000     27.000     0.081397     0.041474     0.040674   -3010.322567752596   -3010.311364405430
    66.000     28.000     0.080661     0.042888     0.040674   -3010.322217131945   -3010.310921203808
    66.000     29.000     0.079900     0.044290     0.040674   -3010.321852998256   -3010.310479254287
    66.000     30.000     0.079115     0.045677     0.040674   -3010.321475776798   -3010.310039001236
    66.000     31.000     0.078306     0.047051     0.040674   -3010.321085910331   -3010.309600888446
    66.000     32.000     0.077473     0.048411     0.040674   -3010.320683858264   -3010.309165358849
    66.000     33.000     0.076616     0.049755     0.040674   -3010.320270095830   -3010.308732854267
    66.000     34.000     0.075736     0.051085     0.040674   -3010.319845113189   -3010.308303815117
    66.000     35.000     0.074833     0.052399     0.040674   -3010.319409414560   -3010.307878680162
    66.000     36.000     0.073907     0.053697     0.040674   -3010.318963517326   -3010.307457886222
    66.000     37.000     0.072959     0.054979     0.040674   -3010.318507951132   -3010.307041867834
    66.000     38.000     0.071988     0.056243     0.040674   -3010.318043257026   -3010.306631057034
    66.000     39.000     0.070996     0.057491     0.040674   -3010.317569986527   -3010.306225882928
    66.000     40.000     0.069982     0.058722     0.040674   -3010.317088700782   -3010.305826771441
    66.000     41.000     0.068946     0.059934     0.040674   -3010.316599969661   -3010.305434144939
    66.000     42.000     0.067890     0.061128     0.040674   -3010.316104370909   -3010.305048421843
    66.000     43.000     0.066812     0.062304     0.040674   -3010.315602489290   -3010.304670016287
    66.000     44.000     0.065715     0.063460     0.040674   -3010.315094915726   -3010.304299337658
    66.000     45.000     0.064597     0.064597     0.040674   -3010.314582246480   -3010.303936790228
    66.000     46.000     0.063460     0.065715     0.040674   -3010.314065082341   -3010.303582772718
    67.000     26.000     0.082734     0.040352     0.039073   -3010.322605205061   -3010.311482672496
    67.000     27.000     0.082018     0.041790     0.039073   -3010.322267963941   -3010.311033921026
    67.000     28.000     0.081276     0.043215     0.039073   -3010.321916553972   -3010.310585930296
    67.000     29.000     0.080509     0.044627     0.039073   -3010.321551386139   -3010.310139151893
    67.000     30.000     0.079718     0.046025     0.039073   -3010.321172890104   -3010.309694037044
    67.000     31.000     0.078903     0.047410     0.039073   -3010.320781513434   -3010.309251036371
    67.000     32.000     0.078063     0.048779     0.039073   -3010.320377720713   -3010.308810599645
    67.000     33.000     0.077200     0.050134     0.039073   -3010.319961992668   -3010.308373175487
    67.000     34.000     0.076313     0.051474     0.039073   -3010.319534825341   -3010.307939211114
    67.000     35.000     0.075403     0.052798     0.039073   -3010.319096729127   -3010.307509152051
    67.000     36.000     0.074470     0.054106     0.039073   -3010.318648227916   -3010.307083441875
    67.000     37.000     0.073515     0.055397     0.039073   -3010.318189858198   -3010.306662521901
    67.000     38.000     0.072537     0.056672     0.039073   -3010.317722168090   -3010.306246830855
    67.000     39.000     0.071537     0.057929     0.039073   -3010.317245716511   -3010.305836804590
    67.000     40.000     0.070515     0.059169     0.039073   -3010.316761072234   -3010.305432875731
    67.000     41.000     0.069471     0.060391     0.039073   -3010.316268813017   -3010.305035473316
    67.000     42.000     0.068407     0.061594     0.039073   -3010.315769524719   -3010.304645022436
    67.000     43.000     0.067321     0.062778     0.039073   -3010.315263800417   -3010.304261943841
    67.000     44.000     0.066216     0.063944     0.039073   -3010.314752239566   -3010.303886653509
    67.000     45.000     0.065090     0.065090     0.039073   -3010.314235447146   -3010.303519562277
    67.000     46.000     0.063944     0.066216     0.039073   -3010.313714032830   -3010.303161075349
    68.000     26.000     0.083335     0.040645     0.037461   -3010.322315150160   -3010.311178441558
    68.000     27.000     0.082613     0.042093     0.037461   -3010.321977632301   -3010.310725198319
    68.000     28.000     0.081865     0.043529     0.037461   -3010.321625704728   -3010.310272667882
    68.000     29.000     0.081093     0.044951     0.037461   -3010.321259782083   -3010.309821308505
    68.000     30.000     0.080296     0.046359     0.037461   -3010.320880298079   -3010.309371578081
    68.000     31.000     0.079475     0.047753     0.037461   -3010.320487704682   -3010.308923933893
    68.000     32.000     0.078630     0.049133     0.037461   -3010.320082471235   -3010.308478832311
    68.000     33.000     0.077760     0.050498     0.037461   -3010.319665083604   -3010.308036728570
    68.000     34.000     0.076867     0.051847     0.037461   -3010.319236043273   -3010.307598076469
    68.000     35.000     0.075950     0.053181     0.037461   -3010.318795866448   -3010.307163328123
    68.000     36.000     0.075011     0.054498     0.037461   -3010.318345083107   -3010.306732933666
    68.000     37.000     0.074048     0.055799     0.037461   -3010.317884236137   -3010.306307340937
    68.000     38.000     0.073063     0.057083     0.037461   -3010.317413880381   -3010.305886995224
    68.000     39.000     0.072056     0.058350     0.037461   -3010.316934581722   -3010.305472338884
    68.000     40.000     0.071026     0.059598     0.037461   -3010.316446916148   -3010.305063811065
    68.000     41.000     0.069975     0.060829     0.037461   -3010.315951468917   -3010.304661847273
    68.000     42.000     0.068903     0.062041     0.037461   -3010.315448833579   -3010.304266879077
    68.000     43.000     0.067810     0.063234     0.037461   -3010.314939611153   -3010.303879333645
    68.000     44.000     0.066696     0.064408     0.037461   -3010.314424409235   -3010.303499633386
    68.000     45.000     0.065562     0.065562     0.037461   -3010.313903841117   -3010.303128195484
    68.000     46.000     0.064408     0.066696     0.037461   -3010.313378524989   -3010.302765431458
    69.000     26.000     0.083910     0.040925     0.035837   -3010.322034558127   -3010.310896076146
    69.000     27.000     0.083183     0.042384     0.035837   -3010.321697027464   -3010.310438598718
    69.000     28.000     0.082430     0.043829     0.035837   -3010.321344854666   -3010.309981784891
    69.000     29.000     0.081653     0.045261     0.035837   -3010.320978457643   -3010.309526099417
    69.000     30.000     0.080850     0.046679     0.035837   -3010.320598273764   -3010.309072006647
    69.000     31.000     0.080023     0.048083     0.035837   -3010.320204759006   -3010.308619970280
    69.000     32.000     0.079172     0.049472     0.035837   -3010.319798387077   -3010.308170453117
    69.000     33.000     0.078297     0.050846     0.035837   -3010.319379648563   -3010.307723916775
    69.000     34.000     0.077397     0.052205     0.035837   -3010.318949049995   -3010.307280821442
    69.000     35.000     0.076474     0.053548     0.035837   -3010.318507112951   -3010.306841625588
    69.000     36.000     0.075528     0.054874     0.035837   -3010.318054373087   -3010.306406785699
    69.000     37.000     0.074559     0.056184     0.035837   -3010.317591379303   -3010.305976755965
    69.000     38.000     0.073567     0.057477     0.035837   -3010.317118692695   -3010.305551987992
    69.000     39.000     0.072553     0.058752     0.035837   -3010.316636885700   -3010.305132930469
    69.000     40.000     0.071516     0.060009     0.035837   -3010.316146541139   -3010.304720028812
    69.000     41.000     0.070458     0.061248     0.035837   -3010.315648251305   -3010.304313724842
    69.000     42.000     0.069379     0.062469     0.035837   -3010.315142617073   -3010.303914456375
    69.000     43.000     0.068278     0.063670     0.035837   -3010.314630246963   -3010.303522656825
    69.000     44.000     0.067156     0.064852     0.035837   -3010.314111756300   -3010.303138754800
    69.000     45.000     0.066014     0.066014     0.035837   -3010.313587766319   -3010.302763173644
    69.000     46.000     0.064852     0.067156     0.035837   -3010.313058903306   -3010.302396331000
    70.000     26.000     0.084459     0.041193     0.034202   -3010.321763689401   -3010.310635904415
    70.000     27.000     0.083727     0.042661     0.034202   -3010.321426409694   -3010.310174457004
    70.000     28.000     0.082970     0.044116     0.034202   -3010.321074264257   -3010.309713622794
    70.000     29.000     0.082187     0.045557     0.034202   -3010.320707673911   -3010.309253872794
    70.000     30.000     0.081380     0.046985     0.034202   -3010.320327079281   -3010.308795677601
    70.000     31.000     0.080547     0.048398     0.034202   -3010.319932939959   -3010.308339507128
    70.000     32.000     0.079690     0.049796     0.034202   -3010.319525733623   -3010.307885830378
    70.000     33.000     0.078809     0.051179     0.034202   -3010.319105955131   -3010.307435115147
    70.000     34.000     0.077904     0.052547     0.034202   -3010.318674115650   -3010.306987827774
    70.000     35.000     0.076975     0.053899     0.034202   -3010.318230741698   -3010.306544432884
    70.000     36.000     0.076023     0.055234     0.034202   -3010.317776374217   -3010.306105393092
    70.000     37.000     0.075047     0.056552     0.034202   -3010.317311567630   -3010.305671168732
    70.000     38.000     0.074049     0.057853     0.034202   -3010.316836888894   -3010.305242217495
    70.000     39.000     0.073028     0.059137     0.034202   -3010.316352916553   -3010.304818994192
    70.000     40.000     0.071985     0.060402     0.034202   -3010.315860239828   -3010.304401950328
    70.000     41.000     0.070920     0.061649     0.034202   -3010.315359457642   -3010.303991533779
    70.000     42.000     0.069833     0.062878     0.034202   -3010.314851177728   -3010.303588188436
    70.000     43.000     0.068725     0.064087     0.034202   -3010.314336015724   -3010.303192353721
    70.000     44.000     0.067596     0.065277     0.034202   -3010.313814594247   -3010.302804464248
    70.000     45.000     0.066446     0.066446     0.034202   -3010.313287542037   -3010.302424949330
    70.000     46.000     0.065277     0.067596     0.034202   -3010.312755493094   -3010.302054232516
    71.000     26.000     0.084983     0.041449     0.032557   -3010.321502795288   -3010.310398227920
    71.000     27.000     0.084246     0.042926     0.032557   -3010.321166029679   -3010.309933081069
    71.000     28.000     0.083484     0.044389     0.032557   -3010.320814183980   -3010.309468495843
    71.000     29.000     0.082697     0.045840     0.032557   -3010.320447681550   -3010.309004949293
    71.000     30.000     0.081884     0.047276     0.032557   -3010.320066965875   -3010.308542918032
    71.000     31.000     0.081047     0.048698     0.032557   -3010.319672499746   -3010.308082877968
    71.000     32.000     0.080185     0.050105     0.032557   -3010.319264764376   -3010.307625304071
    71.000     33.000     0.079298     0.051497     0.032557   -3010.318844258510   -3010.307170670087
    71.000     34.000     0.078387     0.052873     0.032557   -3010.318411497507   -3010.306719448301
    71.000     35.000     0.077452     0.054233     0.032557   -3010.317967012388   -3010.306272109261
    71.000     36.000     0.076494     0.055576     0.032557   -3010.317511348913   -3010.305829121497
    71.000     37.000     0.075512     0.056903     0.032557   -3010.317045066618   -3010.305390951229
    71.000     38.000     0.074508     0.058212     0.032557   -3010.316568737866   -3010.304958062056
    71.000     39.000     0.073481     0.059503     0.032557   -3010.316082946889   -3010.304530914664
