     Theta        Phi           Ex           Ey           Ez               Para_E              Ortho_E               Meta_E
----------------------------------------------------------------------------------------------------------------------------
     0.000      0.000     0.000000     0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000     18.000     0.000000     0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000     36.000     0.000000     0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000     54.000     0.000000     0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000     72.000     0.000000     0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000     90.000     0.000000     0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000    108.000    -0.000000     0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000    126.000    -0.000000     0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000    144.000    -0.000000     0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000    162.000    -0.000000     0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000    180.000    -0.000000     0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000    198.000    -0.000000    -0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000    216.000    -0.000000    -0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000    234.000    -0.000000    -0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000    252.000    -0.000000    -0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000    270.000    -0.000000    -0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000    288.000     0.000000    -0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000    306.000     0.000000    -0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000    324.000     0.000000    -0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000    342.000     0.000000    -0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     0.000    360.000     0.000000    -0.000000     0.100000   -3010.464336871404   -3010.466616945243   -3010.471920614239
     9.000      0.000     0.015643     0.000000     0.098769   -3010.460214296030   -3010.467260270749   -3010.469714546497
     9.000     18.000     0.014878     0.004834     0.098769   -3010.460352828446   -3010.466489675195   -3010.468819197620
     9.000     36.000     0.012656     0.009195     0.098769   -3010.460747309080   -3010.465556819512   -3010.468096943175
     9.000     54.000     0.009195     0.012656     0.098769   -3010.461379973305   -3010.464585067269   -3010.467664215872
