     Theta        Phi           Ex           Ey           Ez               Para_E              Ortho_E               Meta_E
----------------------------------------------------------------------------------------------------------------------------
     0.000      0.000     0.000000     0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000     18.000     0.000000     0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000     36.000     0.000000     0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000     54.000     0.000000     0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000     72.000     0.000000     0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000     90.000     0.000000     0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000    108.000    -0.000000     0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000    126.000    -0.000000     0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000    144.000    -0.000000     0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000    162.000    -0.000000     0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000    180.000    -0.000000     0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000    198.000    -0.000000    -0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000    216.000    -0.000000    -0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000    234.000    -0.000000    -0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000    252.000    -0.000000    -0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000    270.000    -0.000000    -0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000    288.000     0.000000    -0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000    306.000     0.000000    -0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000    324.000     0.000000    -0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000    342.000     0.000000    -0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     0.000    360.000     0.000000    -0.000000     0.100000   -3006.096104192367   -3006.105049625745   -3006.115616800002
     9.000      0.000     0.015643     0.000000     0.098769   -3006.092992411388   -3006.105653764770   -3006.114021638356
     9.000     18.000     0.014878     0.004834     0.098769   -3006.093097359539   -3006.105083849737   -3006.113325682786
     9.000     36.000     0.012656     0.009195     0.098769   -3006.093395719566   -3006.104354925736   -3006.112758485095
     9.000     54.000     0.009195     0.012656     0.098769   -3006.093873211446   -3006.103567884947   -3006.112421740000
     9.000     72.000     0.004834     0.014878     0.098769   -3006.094501028363   -3006.102849761763   -3006.112386106612
     9.000     90.000     0.000000     0.015643     0.098769   -3006.095231231984   -3006.102321795380   -3006.112670102912
     9.000    108.000    -0.004834     0.014878     0.098769   -3006.095996366924   -3006.102068517381   -3006.113232313651
     9.000    126.000    -0.009195     0.012656     0.098769   -3006.096715214632   -3006.102117742636   -3006.113980161706
     9.000    144.000    -0.012656     0.009195     0.098769   -3006.097303859631   -3006.102437069439   -3006.114792967354
     9.000    162.000    -0.014878     0.004834     0.098769   -3006.097689188131   -3006.102947199442   -3006.115551955583
     9.000    180.000    -0.015643     0.000000     0.098769   -3006.097821425206   -3006.103547377459   -3006.116167283931
     9.000    198.000    -0.014878    -0.004834     0.098769   -3006.097682913835   -3006.104144368461   -3006.116593239768
     9.000    216.000    -0.012656    -0.009195     0.098769   -3006.097291315613   -3006.104674982923   -3006.116827288705
     9.000    234.000    -0.009195    -0.012656     0.098769   -3006.096696577096   -3006.105114491501   -3006.116895015194
     9.000    252.000    -0.004834    -0.014878     0.098769   -3006.095972285221   -3006.105468909292   -3006.116828559237
     9.000    270.000    -0.000000    -0.015643     0.098769   -3006.095203181615   -3006.105755696034   -3006.116648398704
     9.000    288.000     0.004834    -0.014878     0.098769   -3006.094471553487   -3006.105981993418   -3006.116356244486
     9.000    306.000     0.009195    -0.012656     0.098769   -3006.093845843928   -3006.106130239687   -3006.115941491658
     9.000    324.000     0.012656    -0.009195     0.098769   -3006.093374440193   -3006.106157831867   -3006.115397614709
     9.000    342.000     0.014878    -0.004834     0.098769   -3006.093085683371   -3006.106011866213   -3006.114740713824
     9.000    360.000     0.015643    -0.000000     0.098769   -3006.092992411389   -3006.105653764768   -3006.114021638357
    18.000      0.000     0.030902     0.000000     0.095106   -3006.088799188949   -3006.105338703002   -3006.111538699758
    18.000     18.000     0.029389     0.009549     0.095106   -3006.088961465529   -3006.104277056160   -3006.109943630168
    18.000     36.000     0.025000     0.018164     0.095106   -3006.089427650540   -3006.102674607881   -3006.108532853145
    18.000     54.000     0.018164     0.025000     0.095106   -3006.090214885201   -3006.100811557785   -3006.107623311245
    18.000     72.000     0.009549     0.029389     0.095106   -3006.091318715862   -3006.099072123364   -3006.107451072908
    18.000     90.000     0.000000     0.030902     0.095106   -3006.092681539707   -3006.097825384487   -3006.108093458341
    18.000    108.000    -0.009549     0.029389     0.095106   -3006.094179417774   -3006.097317160908   -3006.109436476538
    18.000    126.000    -0.018164     0.025000     0.095106   -3006.095636001410   -3006.097606931759   -3006.111202105649
    18.000    144.000    -0.025000     0.018164     0.095106   -3006.096856883408   -3006.098561527237   -3006.113029329745
    18.000    162.000    -0.029389     0.009549     0.095106   -3006.097668481623   -3006.099903121372   -3006.114581674429
    18.000    180.000    -0.030902     0.000000     0.095106   -3006.097950829883   -3006.101300411618   -3006.115642933803
    18.000    198.000    -0.029389    -0.009549     0.095106   -3006.097660630092   -3006.102476613895   -3006.116166341223
    18.000    216.000    -0.025000    -0.018164     0.095106   -3006.096840148923   -3006.103293595678   -3006.116258698567
    18.000    234.000    -0.018164    -0.025000     0.095106   -3006.095608767572   -3006.103777142248   -3006.116107057701
    18.000    252.000    -0.009549    -0.029389     0.095106   -3006.094140279565   -3006.104074417215   -3006.115881315320
    18.000    270.000    -0.000000    -0.030902     0.095106   -3006.092630646191   -3006.104364193969   -3006.115656276779
    18.000    288.000     0.009549    -0.029389     0.095106   -3006.091259529077   -3006.104759475859   -3006.115385935376
    18.000    306.000     0.018164    -0.025000     0.095106   -3006.090155152583   -3006.105242835064   -3006.114938002434
    18.000    324.000     0.025000    -0.018164     0.095106   -3006.089378294810   -3006.105658514145   -3006.114170493180
    18.000    342.000     0.029389    -0.009549     0.095106   -3006.088933368820   -3006.105765700204   -3006.113015950375
    18.000    360.000     0.030902    -0.000000     0.095106   -3006.088799188949   -3006.105338703002   -3006.111538699756
    27.000      0.000     0.045399     0.000000     0.089101   -3006.083927922992   -3006.104195083207   -3006.108436812230
    27.000     18.000     0.043177     0.014029     0.089101   -3006.084094886823   -3006.102775920074   -3006.105810367680
    27.000     36.000     0.036729     0.026685     0.089101   -3006.084585873175   -3006.100221719732   -3006.103346343597
    27.000     54.000     0.026685     0.036729     0.089101   -3006.085494429297   -3006.097067810500   -3006.101673767002
    27.000     72.000     0.014029     0.043177     0.089101   -3006.086889556179   -3006.094077649176   -3006.101276315067
    27.000     90.000     0.000000     0.045399     0.089101   -3006.088737112691   -3006.091977285528   -3006.102326647455
    27.000    108.000    -0.014029     0.043177     0.089101   -3006.090864403604   -3006.091231630186   -3006.104611925369
    27.000    126.000    -0.026685     0.036729     0.089101   -3006.092990684436   -3006.091931468914   -3006.107586904985
    27.000    144.000    -0.036729     0.026685     0.089101   -3006.094802589906   -3006.093790044623   -3006.110545879929
    27.000    162.000    -0.043177     0.014029     0.089101   -3006.096021478189   -3006.096231821831   -3006.112850751287
    27.000    180.000    -0.045399     0.000000     0.089101   -3006.096450313798   -3006.098575126263   -3006.114131293867
    27.000    198.000    -0.043177    -0.014029     0.089101   -3006.096015575245   -3006.100270886659   -3006.114387299960
    27.000    216.000    -0.036729    -0.026685     0.089101   -3006.094788183440   -3006.101094440520   -3006.113947024784
    27.000    234.000    -0.026685    -0.036729     0.089101   -3006.092963779313   -3006.101196995255   -3006.113292441360
    27.000    252.000    -0.014029    -0.043177     0.089101   -3006.090820345799   -3006.101000215002   -3006.112831453038
    27.000    270.000    -0.000000    -0.045399     0.089101   -3006.088672175794   -3006.100984166190   -3006.112720430107
