     Theta        Phi           Ex           Ey           Ez               Para_E              Ortho_E               Meta_E
----------------------------------------------------------------------------------------------------------------------------
     0.000      0.000     0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000      8.780     0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000     17.561     0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000     26.341     0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000     35.122     0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000     43.902     0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000     52.683     0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000     61.463     0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000     70.244     0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000     79.024     0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000     87.805     0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000     96.585    -0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    105.366    -0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    114.146    -0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    122.927    -0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    131.707    -0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    140.488    -0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    149.268    -0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    158.049    -0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    166.829    -0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    175.610    -0.000000     0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    184.390    -0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    193.171    -0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    201.951    -0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    210.732    -0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    219.512    -0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    228.293    -0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    237.073    -0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    245.854    -0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    254.634    -0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    263.415    -0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    272.195     0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    280.976     0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    289.756     0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
     0.000    298.537     0.000000    -0.000000     0.100000   -3009.641949745245   -3009.645511828415   -3009.650437455274
