     Theta        Phi           Ex           Ey           Ez               Para_E              Ortho_E               Meta_E
----------------------------------------------------------------------------------------------------------------------------
     0.000      0.000     0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000      8.780     0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000     17.561     0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000     26.341     0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000     35.122     0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000     43.902     0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000     52.683     0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000     61.463     0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000     70.244     0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000     79.024     0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000     87.805     0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000     96.585    -0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    105.366    -0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    114.146    -0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    122.927    -0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    131.707    -0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    140.488    -0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    149.268    -0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    158.049    -0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    166.829    -0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    175.610    -0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    184.390    -0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    193.171    -0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    201.951    -0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    210.732    -0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    219.512    -0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    228.293    -0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    237.073    -0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    245.854    -0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    254.634    -0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    263.415    -0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    272.195     0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    280.976     0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    289.756     0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    298.537     0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    307.317     0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    316.098     0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    324.878     0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    333.659     0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    342.439     0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    351.220     0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    360.000     0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     4.390      0.000     0.007655     0.000000     0.099707   -3010.334989243727   -3010.340996479685   -3010.344774578242
     4.390      8.780     0.007565     0.001169     0.099707   -3010.335005392531   -3010.340854185526   -3010.344596965242
     4.390     17.561     0.007298     0.002310     0.099707   -3010.335049568564   -3010.340695271127   -3010.344432108848
     4.390     26.341     0.006860     0.003397     0.099707   -3010.335121030310   -3010.340523698800   -3010.344285078100
     4.390     35.122     0.006261     0.004404     0.099707   -3010.335218571822   -3010.340344192713   -3010.344160708872
     4.390     43.902     0.005516     0.005308     0.099707   -3010.335340503561   -3010.340162059123   -3010.344063364137
     4.390     52.683     0.004641     0.006088     0.099707   -3010.335484632389   -3010.339982955772   -3010.343996699711
     4.390     61.463     0.003657     0.006725     0.099707   -3010.335648247336   -3010.339812626768   -3010.343963452638
     4.390     70.244     0.002587     0.007204     0.099707   -3010.335828118579   -3010.339656622221   -3010.343965268452
     4.390     79.024     0.001457     0.007515     0.099707   -3010.336020516033   -3010.339520023192   -3010.344002581307
     4.390     87.805     0.000293     0.007649     0.099707   -3010.336221252663   -3010.339407191903   -3010.344074557476
     4.390     96.585    -0.000878     0.007604     0.099707   -3010.336425755284   -3010.339321564622   -3010.344179108314
     4.390    105.366    -0.002028     0.007381     0.099707   -3010.336629163223   -3010.339265501290   -3010.344312973465
     4.390    114.146    -0.003131     0.006985     0.099707   -3010.336826452392   -3010.339240200651   -3010.344471870000
     4.390    122.927    -0.004161     0.006425     0.099707   -3010.337012580276   -3010.339245685166   -3010.344650697662
     4.390    131.707    -0.005093     0.005715     0.099707   -3010.337182644983   -3010.339280854183   -3010.344843786104
     4.390    140.488    -0.005906     0.004870     0.099707   -3010.337332050749   -3010.339343599169   -3010.345045166388
     4.390    149.268    -0.006580     0.003912     0.099707   -3010.337456670981   -3010.339430970219   -3010.345248847562
     4.390    158.049    -0.007100     0.002862     0.099707   -3010.337553000417   -3010.339539379887   -3010.345449078271
     4.390    166.829    -0.007454     0.001744     0.099707   -3010.337618288179   -3010.339664827463   -3010.345640575743
     4.390    175.610    -0.007632     0.000586     0.099707   -3010.337650644586   -3010.339803126360   -3010.345818707159
     4.390    184.390    -0.007632    -0.000586     0.099707   -3010.337649115994   -3010.339950117108   -3010.345979613301
     4.390    193.171    -0.007454    -0.001744     0.099707   -3010.337613723601   -3010.340101850451   -3010.346120269944
