     Theta        Phi           Ex           Ey           Ez               Para_E              Ortho_E               Meta_E
----------------------------------------------------------------------------------------------------------------------------
     0.000      0.000     0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000     18.000     0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000     36.000     0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000     54.000     0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000     72.000     0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000     90.000     0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    108.000    -0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    126.000    -0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    144.000    -0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    162.000    -0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    180.000    -0.000000     0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    198.000    -0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    216.000    -0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    234.000    -0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    252.000    -0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    270.000    -0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    288.000     0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    306.000     0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    324.000     0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    342.000     0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     0.000    360.000     0.000000    -0.000000     0.100000   -3010.336531521173   -3010.340591473897   -3010.345509704958
     9.000      0.000     0.015643     0.000000     0.098769   -3010.332960153822   -3010.341083283593   -3010.343651026622
     9.000     18.000     0.014878     0.004834     0.098769   -3010.333075775297   -3010.340456000179   -3010.342874136381
     9.000     36.000     0.012656     0.009195     0.098769   -3010.333400288278   -3010.339665139094   -3010.342227943603
     9.000     54.000     0.009195     0.012656     0.098769   -3010.333921843998   -3010.338821724232   -3010.341824608658
     9.000     72.000     0.004834     0.014878     0.098769   -3010.334613268354   -3010.338061001881   -3010.341746853081
     9.000     90.000     0.000000     0.015643     0.098769   -3010.335424835791   -3010.337508374119   -3010.342023713255
     9.000    108.000    -0.004834     0.014878     0.098769   -3010.336282451778   -3010.337248119480   -3010.342619116422
     9.000    126.000    -0.009195     0.012656     0.098769   -3010.337093815053   -3010.337304762642   -3010.343438025222
     9.000    144.000    -0.012656     0.009195     0.098769   -3010.337761536245   -3010.337641728670   -3010.344349241868
     9.000    162.000    -0.014878     0.004834     0.098769   -3010.338199613844   -3010.338176397177   -3010.345217913849
     9.000    180.000    -0.015643     0.000000     0.098769   -3010.338349019965   -3010.338806198103   -3010.345936887258
     9.000    198.000    -0.014878    -0.004834     0.098769   -3010.338188783513   -3010.339437248807   -3010.346446316164
     9.000    216.000    -0.012656    -0.009195     0.098769   -3010.337740076109   -3010.340006019629   -3010.346735584262
     9.000    234.000    -0.009195    -0.012656     0.098769   -3010.337062354355   -3010.340486816423   -3010.346828795280
     9.000    252.000    -0.004834    -0.014878     0.098769   -3010.336242442422   -3010.340883340641   -3010.346761655027
     9.000    270.000    -0.000000    -0.015643     0.098769   -3010.335378985334   -3010.341209079505   -3010.346560525944
     9.000    288.000     0.004834    -0.014878     0.098769   -3010.334565797370   -3010.341465832796   -3010.346232617190
     9.000    306.000     0.009195    -0.012656     0.098769   -3010.333878296260   -3010.341630273732   -3010.345770774663
     9.000    324.000     0.012656    -0.009195     0.098769   -3010.333366722758   -3010.341655038032   -3010.345169736324
     9.000    342.000     0.014878    -0.004834     0.098769   -3010.333057453670   -3010.341485025099   -3010.344445852238
     9.000    360.000     0.015643    -0.000000     0.098769   -3010.332960153822   -3010.341083283592   -3010.343651026622
    18.000      0.000     0.030902     0.000000     0.095106   -3010.327997950886   -3010.340291462168   -3010.340543290977
    18.000     18.000     0.029389     0.009549     0.095106   -3010.328167556138   -3010.339095608533   -3010.338797187630
    18.000     36.000     0.025000     0.018164     0.095106   -3010.328648272647   -3010.337342988764   -3010.337214298940
    18.000     54.000     0.018164     0.025000     0.095106   -3010.329477917724   -3010.335347640942   -3010.336137142491
    18.000     72.000     0.009549     0.029389     0.095106   -3010.330672435869   -3010.333520759753   -3010.335839037743
    18.000     90.000     0.000000     0.030902     0.095106   -3010.332181431398   -3010.332240741062   -3010.336436089142
    18.000    108.000    -0.009549     0.029389     0.095106   -3010.333869276853   -3010.331744163399   -3010.337839272184
    18.000    126.000    -0.018164     0.025000     0.095106   -3010.335531699980   -3010.332071463789   -3010.339768464025
    18.000    144.000    -0.025000     0.018164     0.095106   -3010.336937790930   -3010.333072117263   -3010.341830717253
    18.000    162.000    -0.029389     0.009549     0.095106   -3010.337877642663   -3010.334459352562   -3010.343638275989
    18.000    180.000    -0.030902     0.000000     0.095106   -3010.338203900905   -3010.335901208523   -3010.344922631234
    18.000    198.000    -0.029389    -0.009549     0.095106   -3010.337862846794   -3010.337124792660   -3010.345600566395
    18.000    216.000    -0.025000    -0.018164     0.095106   -3010.336906972367   -3010.337996894833   -3010.345766655896
    18.000    234.000    -0.018164    -0.025000     0.095106   -3010.335483201053   -3010.338546942500   -3010.345618370276
    18.000    252.000    -0.009549    -0.029389     0.095106   -3010.333802206621   -3010.338922326341   -3010.345349999530
    18.000    270.000    -0.000000    -0.030902     0.095106   -3010.332097366337   -3010.339296277718   -3010.345062855512
    18.000    288.000     0.009549    -0.029389     0.095106   -3010.330577567128   -3010.339769556573   -3010.344728705172
    18.000    306.000     0.018164    -0.025000     0.095106   -3010.329384209131   -3010.340308039250   -3010.344218825371
    18.000    324.000     0.025000    -0.018164     0.095106   -3010.328571893059   -3010.340739162848   -3010.343382688631
    18.000    342.000     0.029389    -0.009549     0.095106   -3010.328124396046   -3010.340809781502   -3010.342139520743
    18.000    360.000     0.030902    -0.000000     0.095106   -3010.327997950886   -3010.340291462169   -3010.340543290980
    27.000      0.000     0.045399     0.000000     0.089101   -3010.322129220703   -3010.338374102303   -3010.336523356943
    27.000     18.000     0.043177     0.014029     0.089101   -3010.322284524729   -3010.336736135991   -3010.333689100783
