     Theta        Phi           Ex           Ey           Ez               Para_E               Meta_E
-------------------------------------------------------------------------------------------------------
    55.000     69.000     0.029356     0.076474     0.057358   -3010.306109366310   -3010.305687373015
    55.000     70.000     0.028017     0.076975     0.057358   -3010.306187105118   -3010.305648139845
    55.000     71.000     0.026669     0.077452     0.057358   -3010.306268907549   -3010.305621686991
    55.000     72.000     0.025313     0.077906     0.057358   -3010.306354772327   -3010.305608087230
    55.000     73.000     0.023950     0.078336     0.057358   -3010.306444693110   -3010.305607400167
    55.000     74.000     0.022579     0.078742     0.057358   -3010.306538658354   -3010.305619672015
    55.000     75.000     0.021201     0.079124     0.057358   -3010.306636651321   -3010.305644935425
    55.000     76.000     0.019817     0.079482     0.057358   -3010.306738650032   -3010.305683209359
    55.000     77.000     0.018427     0.079816     0.057358   -3010.306844627207   -3010.305734498961
    55.000     78.000     0.017031     0.080125     0.057358   -3010.306954550292   -3010.305798795417
    55.000     79.000     0.015630     0.080410     0.057358   -3010.307068381401   -3010.305876075823
    55.000     80.000     0.014224     0.080671     0.057358   -3010.307186077378   -3010.305966303161
    55.000     81.000     0.012814     0.080907     0.057358   -3010.307307589814   -3010.306069426172
    55.000     82.000     0.011400     0.081118     0.057358   -3010.307432865086   -3010.306185379346
    55.000     83.000     0.009983     0.081305     0.057358   -3010.307561844440   -3010.306314082850
    55.000     84.000     0.008562     0.081466     0.057358   -3010.307694464087   -3010.306455442549
    55.000     85.000     0.007139     0.081603     0.057358   -3010.307830655328   -3010.306609350030
    55.000     86.000     0.005714     0.081716     0.057358   -3010.307970344697   -3010.306775682568
    55.000     87.000     0.004287     0.081803     0.057358   -3010.308113454112   -3010.306954303266
    55.000     88.000     0.002859     0.081865     0.057358   -3010.308259901103   -3010.307145061107
    55.000     89.000     0.001430     0.081903     0.057358   -3010.308409599003   -3010.307347791027
    56.000     69.000     0.029710     0.077397     0.055919   -3010.305448366681   -3010.304927736355
    56.000     70.000     0.028355     0.077904     0.055919   -3010.305523320208   -3010.304887194623
    56.000     71.000     0.026991     0.078387     0.055919   -3010.305602379512   -3010.304859690305
    56.000     72.000     0.025619     0.078846     0.055919   -3010.305685544190   -3010.304845298036
    56.000     73.000     0.024239     0.079281     0.055919   -3010.305772808691   -3010.304844078923
    56.000     74.000     0.022851     0.079692     0.055919   -3010.305864162242   -3010.304856080310
    56.000     75.000     0.021457     0.080079     0.055919   -3010.305959588815   -3010.304881335633
    56.000     76.000     0.020056     0.080441     0.055919   -3010.306059067083   -3010.304919864270
    56.000     77.000     0.018649     0.080779     0.055919   -3010.306162570345   -3010.304971671368
    56.000     78.000     0.017237     0.081092     0.055919   -3010.306270066565   -3010.305036747749
    56.000     79.000     0.015819     0.081381     0.055919   -3010.306381518310   -3010.305115069790
    56.000     80.000     0.014396     0.081644     0.055919   -3010.306496882800   -3010.305206599323
    56.000     81.000     0.012969     0.081883     0.055919   -3010.306616111897   -3010.305311283583
    56.000     82.000     0.011538     0.082097     0.055919   -3010.306739152204   -3010.305429055147
    56.000     83.000     0.010103     0.082286     0.055919   -3010.306865945097   -3010.305559831866
    56.000     84.000     0.008666     0.082450     0.055919   -3010.306996426839   -3010.305703516938
    56.000     85.000     0.007226     0.082588     0.055919   -3010.307130528699   -3010.305859998833
    56.000     86.000     0.005783     0.082702     0.055919   -3010.307268177126   -3010.306029151377
    56.000     87.000     0.004339     0.082790     0.055919   -3010.307409293863   -3010.306210833801
    56.000     88.000     0.002893     0.082853     0.055919   -3010.307553796202   -3010.306404890843
    56.000     89.000     0.001447     0.082891     0.055919   -3010.307701597199   -3010.306611152810
    57.000     69.000     0.030055     0.078297     0.054464   -3010.304801709035   -3010.304188414867
    57.000     70.000     0.028684     0.078809     0.054464   -3010.304873740819   -3010.304146578572
    57.000     71.000     0.027304     0.079298     0.054464   -3010.304949916666   -3010.304118031936
    57.000     72.000     0.025916     0.079762     0.054464   -3010.305030237053   -3010.304102851436
    57.000     73.000     0.024520     0.080202     0.054464   -3010.305114697267   -3010.304101099620
    57.000     74.000     0.023117     0.080618     0.054464   -3010.305203287363   -3010.304112824933
    57.000     75.000     0.021706     0.081009     0.054464   -3010.305295992076   -3010.304138061540
    57.000     76.000     0.020289     0.081376     0.054464   -3010.305392790776   -3010.304176829177
    57.000     77.000     0.018866     0.081718     0.054464   -3010.305493657449   -3010.304229132960
    57.000     78.000     0.017437     0.082034     0.054464   -3010.305598560639   -3010.304294963327
    57.000     79.000     0.016003     0.082326     0.054464   -3010.305707463460   -3010.304374295874
    57.000     80.000     0.014563     0.082593     0.054464   -3010.305820323582   -3010.304467091264
    57.000     81.000     0.013120     0.082835     0.054464   -3010.305937093275   -3010.304573295183
    57.000     82.000     0.011672     0.083051     0.054464   -3010.306057719448   -3010.304692838262
    57.000     83.000     0.010221     0.083242     0.054464   -3010.306182143725   -3010.304825636039
    57.000     84.000     0.008766     0.083408     0.054464   -3010.306310302551   -3010.304971588970
    57.000     85.000     0.007309     0.083548     0.054464   -3010.306442127287   -3010.305130582427
    57.000     86.000     0.005850     0.083663     0.054464   -3010.306577544407   -3010.305302486744
    57.000     87.000     0.004389     0.083752     0.054464   -3010.306716475633   -3010.305487157276
    57.000     88.000     0.002927     0.083816     0.054464   -3010.306858838178   -3010.305684434483
    57.000     89.000     0.001464     0.083854     0.054464   -3010.307004544938   -3010.305894144066
    58.000     69.000     0.030391     0.079172     0.052992   -3010.304170155858   -3010.303470315335
    58.000     70.000     0.029005     0.079690     0.052992   -3010.304239132112   -3010.303427200113
    58.000     71.000     0.027610     0.080185     0.052992   -3010.304312286754   -3010.303397621651
    58.000     72.000     0.026206     0.080654     0.052992   -3010.304389621187   -3010.303381658172
    58.000     73.000     0.024795     0.081099     0.052992   -3010.304471131601   -3010.303379373624
    58.000     74.000     0.023375     0.081520     0.052992   -3010.304556808896   -3010.303390817515
    58.000     75.000     0.021949     0.081915     0.052992   -3010.304646638637   -3010.303416024688
    58.000     76.000     0.020516     0.082286     0.052992   -3010.304740600981   -3010.303455015179
    58.000     77.000     0.019077     0.082631     0.052992   -3010.304838670634   -3010.303507794056
    58.000     78.000     0.017632     0.082952     0.052992   -3010.304940816837   -3010.303574351318
    58.000     79.000     0.016182     0.083247     0.052992   -3010.305047003319   -3010.303654661725
    58.000     80.000     0.014726     0.083516     0.052992   -3010.305157188304   -3010.303748684766
    58.000     81.000     0.013266     0.083761     0.052992   -3010.305271324572   -3010.303856364539
    58.000     82.000     0.011803     0.083979     0.052992   -3010.305389359447   -3010.303977629689
    58.000     83.000     0.010335     0.084173     0.052992   -3010.305511234923   -3010.304112393409
    58.000     84.000     0.008865     0.084340     0.052992   -3010.305636887737   -3010.304260553412
    58.000     85.000     0.007391     0.084482     0.052992   -3010.305766249487   -3010.304421991941
    58.000     86.000     0.005916     0.084598     0.052992   -3010.305899246817   -3010.304596575815
    58.000     87.000     0.004438     0.084689     0.052992   -3010.306035801554   -3010.304784156505
    58.000     88.000     0.002960     0.084753     0.052992   -3010.306175830980   -3010.304984570204
    58.000     89.000     0.001480     0.084792     0.052992   -3010.306319247999   -3010.305197637970
    59.000     69.000     0.030718     0.080023     0.051504   -3010.303554448555   -3010.302774319917
    59.000     70.000     0.029317     0.080547     0.051504   -3010.303620238293   -3010.302729943020
    59.000     71.000     0.027907     0.081047     0.051504   -3010.303690236769   -3010.302699344462
    59.000     72.000     0.026488     0.081521     0.051504   -3010.303764446322   -3010.302682604171
    59.000     73.000     0.025061     0.081971     0.051504   -3010.303842864072   -3010.302679787459
    59.000     74.000     0.023627     0.082396     0.051504   -3010.303925481849   -3010.302690944801
    59.000     75.000     0.022185     0.082796     0.051504   -3010.304012286086   -3010.302716111688
    59.000     76.000     0.020737     0.083171     0.051504   -3010.304103257798   -3010.302755308417
    59.000     77.000     0.019282     0.083520     0.051504   -3010.304198372502   -3010.302808539958
    59.000     78.000     0.017822     0.083844     0.051504   -3010.304297600188   -3010.302875795812
    59.000     79.000     0.016356     0.084142     0.051504   -3010.304400905301   -3010.302957049917
    59.000     80.000     0.014885     0.084415     0.051504   -3010.304508246730   -3010.303052260499
    59.000     81.000     0.013409     0.084661     0.051504   -3010.304619577854   -3010.303161370046
    59.000     82.000     0.011929     0.084883     0.051504   -3010.304734846549   -3010.303284305212
    59.000     83.000     0.010446     0.085078     0.051504   -3010.304853995277   -3010.303420976808
    59.000     84.000     0.008960     0.085247     0.051504   -3010.304976961208   -3010.303571279782
    59.000     85.000     0.007471     0.085391     0.051504   -3010.305103676298   -3010.303735093244
    59.000     86.000     0.005979     0.085508     0.051504   -3010.305234067500   -3010.303912280475
    59.000     87.000     0.004486     0.085599     0.051504   -3010.305368056915   -3010.304102689051
    59.000     88.000     0.002991     0.085665     0.051504   -3010.305505562019   -3010.304306150913
    59.000     89.000     0.001496     0.085704     0.051504   -3010.305646495917   -3010.304522482468
    60.000     69.000     0.031036     0.080850     0.050000   -3010.302955306683   -3010.302101285029
    60.000     70.000     0.029620     0.081380     0.050000   -3010.303017781926   -3010.302055665260
    60.000     71.000     0.028195     0.081884     0.050000   -3010.303084492191   -3010.302024059550
    60.000     72.000     0.026762     0.082364     0.050000   -3010.303155440838   -3010.302006549487
