
Host: CHEM9LYY31VAWS

Timers On : Mon Feb  9 11:35:24 2026
Timers Off: Mon Feb  9 11:35:24 2026

Wall Time:        0.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: CHEM9LYY31VAWS

Timers On : Mon Feb  9 11:39:46 2026
Timers Off: Mon Feb  9 11:39:46 2026

Wall Time:        0.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: CHEM9LYY31VAWS

Timers On : Mon Feb  9 11:40:58 2026
Timers Off: Mon Feb  9 11:40:58 2026

Wall Time:        0.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: CHEM9LYY31VAWS

Timers On : Mon Feb  9 14:10:45 2026
Timers Off: Mon Feb  9 14:10:46 2026

Wall Time:        0.86 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: CHEM9LYY31VAWS

Timers On : Mon Feb  9 14:19:22 2026
Timers Off: Mon Feb  9 14:37:15 2026

Wall Time:     1073.80 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.100u      0.000s      0.073w      2 calls
Libint2ERI::Libint2ERI              :      0.267u      0.000s      0.181w     14 calls
DFH: initialize()                   :      4.550u      0.283s      2.397w      2 calls
DFH: AO Construction                :      1.483u      0.033s      0.908w      2 calls
DFH: AO-Met. Contraction            :      1.133u      0.200s      0.331w      2 calls
HF: Form core H                     :      0.050u      0.000s      0.027w      2 calls
HF: Form S/X                        :      0.017u      0.017s      0.021w      2 calls
HF: Guess                           :      0.117u      0.017s      0.080w      2 calls
SAD Guess                           :      0.117u      0.017s      0.079w      2 calls
HF: Form G                          :      9.983u      1.333s      4.474w     62 calls
JK: D                               :      0.017u      0.000s      0.002w     62 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     62 calls
JK: JK                              :      9.967u      1.333s      4.468w     62 calls
DFH: compute_JK()                   :      9.967u      1.333s      4.467w     62 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     62 calls
DFH: compute_J                      :      1.817u      0.333s      0.992w     62 calls
DFH: compute_K                      :      7.950u      0.350s      2.956w     62 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     62 calls
HF: Form F                          :      0.000u      0.000s      0.002w     62 calls
HF: Form D                          :      0.000u      0.000s      0.003w     62 calls
HF: DIIS                            :      0.217u      0.150s      0.198w     60 calls
HF: Form C                          :      0.900u      0.100s      0.573w     60 calls
Grad: V T Perturb                   :      0.033u      0.000s      0.024w      1 calls
Grad: S                             :      0.000u      0.000s      0.003w      1 calls
Grad: JK                            :      5.083u      0.233s      3.077w      1 calls
JKGrad: Amn                         :      0.867u      0.083s      0.537w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      0.967u      0.050s      0.564w      1 calls
JKGrad: UV                          :      0.033u      0.000s      0.012w      1 calls
JKGrad: ABx                         :      0.050u      0.017s      0.038w      1 calls
JKGrad: Amnx                        :      3.167u      0.083s      1.922w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.100u      0.000s      0.073w      2 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.050w      2 calls
DFH: initialize()                   :      4.550u      0.283s      2.397w      2 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.042w      4 calls
| DFH: AO Construction              :      1.483u      0.033s      0.908w      2 calls
| DFH: AO-Met. Contraction          :      1.133u      0.200s      0.331w      2 calls
HF: Form core H                     :      0.050u      0.000s      0.027w      2 calls
HF: Form S/X                        :      0.017u      0.017s      0.021w      2 calls
HF: Guess                           :      0.117u      0.017s      0.080w      2 calls
| SAD Guess                         :      0.117u      0.017s      0.079w      2 calls
HF: Form G                          :      9.983u      1.333s      4.474w     62 calls
| JK: D                             :      0.017u      0.000s      0.002w     62 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     62 calls
| JK: JK                            :      9.967u      1.333s      4.468w     62 calls
| | DFH: compute_JK()               :      9.967u      1.333s      4.467w     62 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     62 calls
| | | DFH: compute_J                :      1.817u      0.333s      0.992w     62 calls
| | | DFH: compute_K                :      7.950u      0.350s      2.956w     62 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     62 calls
HF: Form F                          :      0.000u      0.000s      0.002w     62 calls
HF: Form D                          :      0.000u      0.000s      0.003w     62 calls
HF: DIIS                            :      0.217u      0.150s      0.198w     60 calls
HF: Form C                          :      0.900u      0.100s      0.573w     60 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.045w      4 calls
Grad: V T Perturb                   :      0.033u      0.000s      0.024w      1 calls
Grad: S                             :      0.000u      0.000s      0.003w      1 calls
Grad: JK                            :      5.083u      0.233s      3.077w      1 calls
| JKGrad: Amn                       :      0.867u      0.083s      0.537w      1 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.022w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :      0.967u      0.050s      0.564w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: UV                        :      0.033u      0.000s      0.012w      1 calls
| JKGrad: ABx                       :      0.050u      0.017s      0.038w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: Amnx                      :      3.167u      0.083s      1.922w      1 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.021w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************

Host: CHEM9LYY31VAWS

Timers On : Mon Feb  9 14:38:07 2026
Timers Off: Mon Feb  9 17:25:17 2026

Wall Time:    10029.87 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.883u      0.017s      0.532w     16 calls
Libint2ERI::Libint2ERI              :      2.833u      0.033s      1.705w    144 calls
DFH: initialize()                   :     37.350u      1.600s     19.307w     16 calls
DFH: AO Construction                :     11.950u      0.233s      7.308w     16 calls
DFH: AO-Met. Contraction            :      9.483u      0.967s      2.612w     16 calls
HF: Form core H                     :      0.300u      0.050s      0.185w     16 calls
HF: Form S/X                        :      0.250u      0.000s      0.163w     16 calls
HF: Guess                           :      0.800u      0.167s      0.578w     16 calls
SAD Guess                           :      0.800u      0.167s      0.569w     16 calls
HF: Form G                          :     84.783u      8.633s     36.440w    526 calls
JK: D                               :      0.033u      0.000s      0.019w    526 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    526 calls
JK: JK                              :     84.733u      8.633s     36.389w    526 calls
DFH: compute_JK()                   :     84.717u      8.633s     36.380w    526 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    526 calls
DFH: compute_J                      :     15.183u      2.183s      8.025w    526 calls
DFH: compute_K                      :     67.317u      1.200s     23.920w    526 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    526 calls
HF: Form F                          :      0.033u      0.000s      0.013w    526 calls
HF: Form D                          :      0.017u      0.017s      0.033w    526 calls
HF: DIIS                            :      1.467u      0.983s      1.671w    510 calls
HF: Form C                          :      7.633u      0.317s      4.633w    510 calls
Grad: V T Perturb                   :      0.567u      0.000s      0.334w     16 calls
Grad: S                             :      0.083u      0.000s      0.032w     16 calls
